Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-13	13	13	0	-13	13	13
1	-13	13	26	1	-13	13	26
2	-15	15	41	2	-15	15	41
3	-16	16	57	3	-16	16	57
4	-122	23	80	4	-122	23	80
5	-15	15	95	5	-15	15	95
6	-113	14	109	6	-113	14	109
7	-15	15	124	7	-15	15	124
8	-15	15	139	8	-15	15	139
9	-15	15	154	9	-15	15	154
10	-17	17	171	10	-17	17	171
11	-13	13	184	11	-13	13	184
12	-15	15	199	12	-15	15	199
13	-113	14	213	13	-113	14	213
14	-113	14	227	14	-113	14	227
15	-13	13	240	15	-13	13	240
16	-17	17	257	16	-17	17	257
17	-19	19	276	17	-19	19	276
18	-13	13	289	18	-13	13	289
19	-15	15	304	19	-15	15	304
20	-113	14	318	20	-113	14	318
21	-18	18	336	21	-18	18	336
22	-14	14	350	22	-14	14	350
23	-15	15	365	23	-15	15	365
24	-15	15	380	24	-15	15	380
25	-117	18	398	25	-117	18	398
26	-14	14	412	26	-14	14	412
27	-226	28	440	27	-226	28	440
28	-17	17	457	28	-17	17	457
29	-13	13	470	29	-13	13	470
30	-13	13	483	30	-13	13	483
31	-16	16	499	31	-16	16	499
32	-13	13	512	32	-13	13	512
33	-15	15	527	33	-15	15	527
34	-13	13	540	34	-13	13	540
35	-15	15	555	35	-15	15	555
36	-13	13	568	36	-13	13	568
37	-114	15	583	37	-114	15	583
38	-13	13	596	38	-13	13	596
39	-13	13	609	39	-13	13	609
40	-14	14	623	40	-14	14	623
41	-13	13	636	41	-13	13	636
42	-116	17	653	42	-116	17	653
43	-13	13	666	43	-13	13	666
44	-15	15	681	44	-15	15	681
45	-232	34	715	45	-232	34	715
46	-15	15	730	46	-15	15	730
47	-13	13	743	47	-13	13	743
48	-118	19	762	48	-118	19	762
49	-14	14	776	49	-14	14	776
50	-13	13	789	50	-13	13	789
51	-17	17	806	51	-17	17	806
52	-120	21	827	52	-120	21	827
53	-19	19	846	53	-19	19	846
54	-126	27	873	54	-126	27	873
55	-113	14	887	55	-113	14	887
56	-15	15	902	56	-15	15	902
57	-15	15	917	57	-15	15	917
58	-13	13	930	58	-13	13	930
59	-15	15	945	59	-15	15	945
60	-17	17	962	60	-17	17	962
61	-13	13	975	61	-13	13	975
62	-15	15	990	62	-15	15	990
63	-14	14	1004	63	-14	14	1004
64	-118	19	1023	64	-118	19	1023
65	-13	13	1036	65	-13	13	1036
66	-13	13	1049	66	-13	13	1049
67	-123	24	1073	67	-123	24	1073
68	-15	15	1088	68	-15	15	1088
69	-13	13	1101	69	-13	13	1101
70	-14	14	1115	70	-14	14	1115
71	-230	32	1147	71	-230	32	1147
72	-13	13	1160	72	-13	13	1160
73	-15	15	1175	73	-15	15	1175
74	-13	13	1188	74	-13	13	1188
75	-117	18	1206	75	-117	18	1206
76	-115	16	1222	76	-115	16	1222
77	-17	17	1239	77	-17	17	1239
78	-13	13	1252	78	-13	13	1252
79	-17	17	1269	79	-17	17	1269
80	-13	13	1282	80	-13	13	1282
81	-122	23	1305	81	-122	23	1305
82	-19	19	1324	82	-19	19	1324
83	-14	14	1338	83	-14	14	1338
84	-13	13	1351	84	-13	13	1351
85	-13	13	1364	85	-13	13	1364
86	-13	13	1377	86	-13	13	1377
87	-13	13	1390	87	-13	13	1390
88	-13	13	1403	88	-13	13	1403
89	-13	13	1416	89	-13	13	1416
90	-19	19	1435	90	-19	19	1435
91	-15	15	1450	91	-15	15	1450
92	-227	29	1479	92	-227	29	1479
93	-123	24	1503	93	-123	24	1503
94	-13	13	1516	94	-13	13	1516
95	-14	14	1530	95	-14	14	1530
96	-17	17	1547	96	-17	17	1547
97	-15	15	1562	97	-15	15	1562
98	-15	15	1577	98	-15	15	1577
99	-13	13	1590	99	-13	13	1590
100	-217	19	1609	100	-217	19	1609
101	-13	13	1622	101	-13	13	1622
102	-14	14	1636	102	-14	14	1636
103	-231	33	1669	103	-231	33	1669
104	-121	22	1691	104	-121	22	1691
105	-13	13	1704	105	-13	13	1704
106	-17	17	1721	106	-17	17	1721
107	-117	18	1739	107	-117	18	1739
108	-13	13	1752	108	-13	13	1752
109	-18	18	1770	109	-18	18	1770
110	-13	13	1783	110	-13	13	1783
111	-15	15	1798	111	-15	15	1798
112	-226	28	1826	112	-226	28	1826
113	-128	29	1855	113	-128	29	1855
114	-17	17	1872	114	-17	17	1872
115	-118	19	1891	115	-118	19	1891
116	-14	14	1905	116	-14	14	1905
117	-15	15	1920	117	-15	15	1920
118	-17	17	1937	118	-17	17	1937
119	-14	14	1951	119	-14	14	1951
120	-13	13	1964	120	-13	13	1964
121	-17	17	1981	121	-17	17	1981
122	-19	19	2000	122	-19	19	2000
123	-113	14	2014	123	-113	14	2014
124	-15	15	2029	124	-15	15	2029
125	-13	13	2042	125	-13	13	2042
126	-13	13	2055	126	-13	13	2055
127	-13	13	2068	127	-13	13	2068
128	-126	27	2095	128	-126	27	2095
129	-13	13	2108	129	-13	13	2108
130	-17	17	2125	130	-17	17	2125
131	-13	13	2138	131	-13	13	2138
132	-117	18	2156	132	-117	18	2156
133	-15	15	2171	133	-15	15	2171
134	-15	15	2186	134	-15	15	2186
135	-15	15	2201	135	-15	15	2201
136	-13	13	2214	136	-13	13	2214
137	-15	15	2229	137	-15	15	2229
138	-13	13	2242	138	-13	13	2242
139	-121	22	2264	139	-121	22	2264
140	-119	20	2284	140	-119	20	2284
141	-15	15	2299	141	-15	15	2299
142	-13	13	2312	142	-13	13	2312
143	-13	13	2325	143	-13	13	2325
144	-15	15	2340	144	-15	15	2340
145	-13	13	2353	145	-13	13	2353
146	-13	13	2366	146	-13	13	2366
147	-113	14	2380	147	-113	14	2380
148	-15	15	2395	148	-15	15	2395
149	-13	13	2408	149	-13	13	2408
150	-230	32	2440	150	-230	32	2440
151	-13	13	2453	151	-13	13	2453
152	-13	13	2466	152	-13	13	2466
153	-15	15	2481	153	-15	15	2481
154	-113	14	2495	154	-113	14	2495
155	-17	17	2512	155	-17	17	2512
156	-13	13	2525	156	-13	13	2525
157	-17	17	2542	157	-17	17	2542
158	-15	15	2557	158	-15	15	2557
159	-15	15	2572	159	-15	15	2572
160	-13	13	2585	160	-13	13	2585
161	-15	15	2600	161	-15	15	2600
162	-126	27	2627	162	-126	27	2627
163	-13	13	2640	163	-13	13	2640
164	-17	17	2657	164	-17	17	2657
165	-119	20	2677	165	-119	20	2677
166	-15	15	2692	166	-15	15	2692
167	-113	14	2706	167	-113	14	2706
168	-13	13	2719	168	-13	13	2719
169	-13	13	2732	169	-13	13	2732
170	-15	15	2747	170	-15	15	2747
171	-13	13	2760	171	-13	13	2760
172	-119	20	2780	172	-119	20	2780
173	-13	13	2793	173	-13	13	2793
174	-13	13	2806	174	-13	13	2806
175	-117	18	2824	175	-117	18	2824
176	-121	22	2846	176	-121	22	2846
177	-14	14	2860	177	-14	14	2860
178	-13	13	2873	178	-13	13	2873
179	-17	17	2890	179	-17	17	2890
180	-13	13	2903	180	-13	13	2903
181	-13	13	2916	181	-13	13	2916
182	-532	37	2953	182	-532	37	2953
183	-13	13	2966	183	-13	13	2966
184	-13	13	2979	184	-13	13	2979
185	-13	13	2992	185	-13	13	2992
186	-13	13	3005	186	-13	13	3005
187	-13	13	3018	187	-13	13	3018
188	-122	23	3041	188	-122	23	3041
189	-15	15	3056	189	-15	15	3056
190	-118	19	3075	190	-118	19	3075
191	-14	14	3089	191	-14	14	3089
192	-15	15	3104	192	-15	15	3104
193	-15	15	3119	193	-15	15	3119
194	-231	33	3152	194	-231	33	3152
195	-15	15	3167	195	-15	15	3167
196	-13	13	3180	196	-13	13	3180
197	-17	17	3197	197	-17	17	3197
198	-124	25	3222	198	-124	25	3222
199	-15	15	3237	199	-15	15	3237
