Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15
1	-17	17	32	1	-17	17	32	1	-17	17	32	1	-17	17	32	1	-17	17	32
2	-13	13	45	2	-13	13	45	2	-13	13	45	2	-13	13	45	2	-13	13	45
3	-17	17	62	3	-17	17	62	3	-17	17	62	3	-17	17	62	3	-17	17	62
4	-321	24	86	4	-321	24	86	4	-321	24	86	4	-321	24	86	4	-321	24	86
5	-224	26	112	5	-224	26	112	5	-224	26	112	5	-224	26	112	5	-224	26	112
6	-14	14	126	6	-14	14	126	6	-14	14	126	6	-14	14	126	6	-14	14	126
7	-15	15	141	7	-15	15	141	7	-15	15	141	7	-15	15	141	7	-15	15	141
8	-15	15	156	8	-15	15	156	8	-15	15	156	8	-15	15	156	8	-15	15	156
9	-15	15	171	9	-15	15	171	9	-15	15	171	9	-15	15	171	9	-15	15	171
10	-15	15	186	10	-15	15	186	10	-15	15	186	10	-15	15	186	10	-15	15	186
11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199
12	-13	13	212	12	-13	13	212	12	-13	13	212	12	-13	13	212	12	-13	13	212
13	-13	13	225	13	-13	13	225	13	-13	13	225	13	-13	13	225	13	-13	13	225
14	-15	15	240	14	-15	15	240	14	-15	15	240	14	-15	15	240	14	-15	15	240
15	-116	17	257	15	-116	17	257	15	-116	17	257	15	-116	17	257	15	-116	17	257
16	-13	13	270	16	-13	13	270	16	-13	13	270	16	-13	13	270	16	-13	13	270
17	-15	15	285	17	-15	15	285	17	-15	15	285	17	-15	15	285	17	-15	15	285
18	-17	17	302	18	-17	17	302	18	-17	17	302	18	-17	17	302	18	-17	17	302
19	-13	13	315	19	-13	13	315	19	-13	13	315	19	-13	13	315	19	-13	13	315
20	-129	30	345	20	-129	30	345	20	-129	30	345	20	-129	30	345	20	-129	30	345
21	-17	17	362	21	-17	17	362	21	-17	17	362	21	-17	17	362	21	-17	17	362
22	-13	13	375	22	-13	13	375	22	-13	13	375	22	-13	13	375	22	-13	13	375
23	-13	13	388	23	-13	13	388	23	-13	13	388	23	-13	13	388	23	-13	13	388
24	-15	15	403	24	-15	15	403	24	-15	15	403	24	-15	15	403	24	-15	15	403
25	-15	15	418	25	-15	15	418	25	-15	15	418	25	-15	15	418	25	-15	15	418
26	-13	13	431	26	-13	13	431	26	-13	13	431	26	-13	13	431	26	-13	13	431
27	-123	24	455	27	-123	24	455	27	-123	24	455	27	-123	24	455	27	-123	24	455
28	-15	15	470	28	-15	15	470	28	-15	15	470	28	-15	15	470	28	-15	15	470
29	-117	18	488	29	-117	18	488	29	-117	18	488	29	-117	18	488	29	-117	18	488
30	-118	19	507	30	-118	19	507	30	-118	19	507	30	-118	19	507	30	-118	19	507
31	-15	15	522	31	-15	15	522	31	-15	15	522	31	-15	15	522	31	-15	15	522
32	-15	15	537	32	-15	15	537	32	-15	15	537	32	-15	15	537	32	-15	15	537
33	-13	13	550	33	-13	13	550	33	-13	13	550	33	-13	13	550	33	-13	13	550
34	-120	21	571	34	-120	21	571	34	-120	21	571	34	-120	21	571	34	-120	21	571
35	-13	13	584	35	-13	13	584	35	-13	13	584	35	-13	13	584	35	-13	13	584
36	-15	15	599	36	-15	15	599	36	-15	15	599	36	-15	15	599	36	-15	15	599
37	-15	15	614	37	-15	15	614	37	-15	15	614	37	-15	15	614	37	-15	15	614
38	-17	17	631	38	-17	17	631	38	-17	17	631	38	-17	17	631	38	-17	17	631
39	-13	13	644	39	-13	13	644	39	-13	13	644	39	-13	13	644	39	-13	13	644
40	-13	13	657	40	-13	13	657	40	-13	13	657	40	-13	13	657	40	-13	13	657
41	-17	17	674	41	-17	17	674	41	-17	17	674	41	-17	17	674	41	-17	17	674
42	-17	17	691	42	-17	17	691	42	-17	17	691	42	-17	17	691	42	-17	17	691
43	-117	18	709	43	-117	18	709	43	-117	18	709	43	-117	18	709	43	-117	18	709
44	-119	20	729	44	-119	20	729	44	-119	20	729	44	-119	20	729	44	-119	20	729
45	-13	13	742	45	-13	13	742	45	-13	13	742	45	-13	13	742	45	-13	13	742
46	-15	15	757	46	-15	15	757	46	-15	15	757	46	-15	15	757	46	-15	15	757
47	-17	17	774	47	-17	17	774	47	-17	17	774	47	-17	17	774	47	-17	17	774
48	-119	20	794	48	-119	20	794	48	-119	20	794	48	-119	20	794	48	-119	20	794
49	-113	14	808	49	-113	14	808	49	-113	14	808	49	-113	14	808	49	-113	14	808
50	-13	13	821	50	-13	13	821	50	-13	13	821	50	-13	13	821	50	-13	13	821
51	-15	15	836	51	-15	15	836	51	-15	15	836	51	-15	15	836	51	-15	15	836
52	-13	13	849	52	-13	13	849	52	-13	13	849	52	-13	13	849	52	-13	13	849
53	-13	13	862	53	-13	13	862	53	-13	13	862	53	-13	13	862	53	-13	13	862
54	-120	21	883	54	-120	21	883	54	-120	21	883	54	-120	21	883	54	-120	21	883
55	-16	16	899	55	-16	16	899	55	-16	16	899	55	-16	16	899	55	-16	16	899
56	-14	14	913	56	-14	14	913	56	-14	14	913	56	-14	14	913	56	-14	14	913
57	-15	15	928	57	-15	15	928	57	-15	15	928	57	-15	15	928	57	-15	15	928
58	-13	13	941	58	-13	13	941	58	-13	13	941	58	-13	13	941	58	-13	13	941
59	-16	16	957	59	-16	16	957	59	-16	16	957	59	-16	16	957	59	-16	16	957
60	-13	13	970	60	-13	13	970	60	-13	13	970	60	-13	13	970	60	-13	13	970
61	-19	19	989	61	-19	19	989	61	-19	19	989	61	-19	19	989	61	-19	19	989
62	-13	13	1002	62	-13	13	1002	62	-13	13	1002	62	-13	13	1002	62	-13	13	1002
63	-115	16	1018	63	-115	16	1018	63	-115	16	1018	63	-115	16	1018	63	-115	16	1018
64	-15	15	1033	64	-15	15	1033	64	-15	15	1033	64	-15	15	1033	64	-15	15	1033
65	-14	14	1047	65	-14	14	1047	65	-14	14	1047	65	-14	14	1047	65	-14	14	1047
66	-13	13	1060	66	-13	13	1060	66	-13	13	1060	66	-13	13	1060	66	-13	13	1060
67	-13	13	1073	67	-13	13	1073	67	-13	13	1073	67	-13	13	1073	67	-13	13	1073
68	-13	13	1086	68	-13	13	1086	68	-13	13	1086	68	-13	13	1086	68	-13	13	1086
69	-13	13	1099	69	-13	13	1099	69	-13	13	1099	69	-13	13	1099	69	-13	13	1099
70	-15	15	1114	70	-15	15	1114	70	-15	15	1114	70	-15	15	1114	70	-15	15	1114
71	-13	13	1127	71	-13	13	1127	71	-13	13	1127	71	-13	13	1127	71	-13	13	1127
72	-13	13	1140	72	-13	13	1140	72	-13	13	1140	72	-13	13	1140	72	-13	13	1140
73	-15	15	1155	73	-15	15	1155	73	-15	15	1155	73	-15	15	1155	73	-15	15	1155
74	-115	16	1171	74	-115	16	1171	74	-115	16	1171	74	-115	16	1171	74	-115	16	1171
75	-20	20	1191	75	-20	20	1191	75	-20	20	1191	75	-20	20	1191	75	-20	20	1191
76	-13	13	1204	76	-13	13	1204	76	-13	13	1204	76	-13	13	1204	76	-13	13	1204
77	-13	13	1217	77	-13	13	1217	77	-13	13	1217	77	-13	13	1217	77	-13	13	1217
78	-13	13	1230	78	-13	13	1230	78	-13	13	1230	78	-13	13	1230	78	-13	13	1230
79	-15	15	1245	79	-15	15	1245	79	-15	15	1245	79	-15	15	1245	79	-15	15	1245
80	-15	15	1260	80	-15	15	1260	80	-15	15	1260	80	-15	15	1260	80	-15	15	1260
81	-13	13	1273	81	-13	13	1273	81	-13	13	1273	81	-13	13	1273	81	-13	13	1273
82	-13	13	1286	82	-13	13	1286	82	-13	13	1286	82	-13	13	1286	82	-13	13	1286
83	-125	26	1312	83	-125	26	1312	83	-125	26	1312	83	-125	26	1312	83	-125	26	1312
84	-13	13	1325	84	-13	13	1325	84	-13	13	1325	84	-13	13	1325	84	-13	13	1325
85	-15	15	1340	85	-15	15	1340	85	-15	15	1340	85	-15	15	1340	85	-15	15	1340
86	-15	15	1355	86	-15	15	1355	86	-15	15	1355	86	-15	15	1355	86	-15	15	1355
