Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-121	22	22	0	-121	22	22	0	-121	22	22	0	-121	22	22	0	-121	22	22	0	-121	22	22	0	-121	22	22	0	-121	22	22
1	-13	13	35	1	-13	13	35	1	-13	13	35	1	-13	13	35	1	-13	13	35	1	-13	13	35	1	-13	13	35	1	-13	13	35
2	-116	17	52	2	-116	17	52	2	-116	17	52	2	-116	17	52	2	-116	17	52	2	-116	17	52	2	-116	17	52	2	-116	17	52
3	-16	16	68	3	-16	16	68	3	-16	16	68	3	-16	16	68	3	-16	16	68	3	-16	16	68	3	-16	16	68	3	-16	16	68
4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81
5	-13	13	94	5	-13	13	94	5	-13	13	94	5	-13	13	94	5	-13	13	94	5	-13	13	94	5	-13	13	94	5	-13	13	94
6	-15	15	109	6	-15	15	109	6	-15	15	109	6	-15	15	109	6	-15	15	109	6	-15	15	109	6	-15	15	109	6	-15	15	109
7	-15	15	124	7	-15	15	124	7	-15	15	124	7	-15	15	124	7	-15	15	124	7	-15	15	124	7	-15	15	124	7	-15	15	124
8	-15	15	139	8	-15	15	139	8	-15	15	139	8	-15	15	139	8	-15	15	139	8	-15	15	139	8	-15	15	139	8	-15	15	139
9	-15	15	154	9	-15	15	154	9	-15	15	154	9	-15	15	154	9	-15	15	154	9	-15	15	154	9	-15	15	154	9	-15	15	154
10	-13	13	167	10	-13	13	167	10	-13	13	167	10	-13	13	167	10	-13	13	167	10	-13	13	167	10	-13	13	167	10	-13	13	167
11	-17	17	184	11	-17	17	184	11	-17	17	184	11	-17	17	184	11	-17	17	184	11	-17	17	184	11	-17	17	184	11	-17	17	184
12	-15	15	199	12	-15	15	199	12	-15	15	199	12	-15	15	199	12	-15	15	199	12	-15	15	199	12	-15	15	199	12	-15	15	199
13	-13	13	212	13	-13	13	212	13	-13	13	212	13	-13	13	212	13	-13	13	212	13	-13	13	212	13	-13	13	212	13	-13	13	212
14	-13	13	225	14	-13	13	225	14	-13	13	225	14	-13	13	225	14	-13	13	225	14	-13	13	225	14	-13	13	225	14	-13	13	225
15	-21	21	246	15	-21	21	246	15	-21	21	246	15	-21	21	246	15	-21	21	246	15	-21	21	246	15	-21	21	246	15	-21	21	246
16	-13	13	259	16	-13	13	259	16	-13	13	259	16	-13	13	259	16	-13	13	259	16	-13	13	259	16	-13	13	259	16	-13	13	259
17	-15	15	274	17	-15	15	274	17	-15	15	274	17	-15	15	274	17	-15	15	274	17	-15	15	274	17	-15	15	274	17	-15	15	274
18	-17	17	291	18	-17	17	291	18	-17	17	291	18	-17	17	291	18	-17	17	291	18	-17	17	291	18	-17	17	291	18	-17	17	291
19	-14	14	305	19	-14	14	305	19	-14	14	305	19	-14	14	305	19	-14	14	305	19	-14	14	305	19	-14	14	305	19	-14	14	305
20	-13	13	318	20	-13	13	318	20	-13	13	318	20	-13	13	318	20	-13	13	318	20	-13	13	318	20	-13	13	318	20	-13	13	318
21	-118	19	337	21	-118	19	337	21	-118	19	337	21	-118	19	337	21	-118	19	337	21	-118	19	337	21	-118	19	337	21	-118	19	337
22	-115	16	353	22	-115	16	353	22	-115	16	353	22	-115	16	353	22	-115	16	353	22	-115	16	353	22	-115	16	353	22	-115	16	353
23	-13	13	366	23	-13	13	366	23	-13	13	366	23	-13	13	366	23	-13	13	366	23	-13	13	366	23	-13	13	366	23	-13	13	366
24	-14	14	380	24	-14	14	380	24	-14	14	380	24	-14	14	380	24	-14	14	380	24	-14	14	380	24	-14	14	380	24	-14	14	380
25	-113	14	394	25	-113	14	394	25	-113	14	394	25	-113	14	394	25	-113	14	394	25	-113	14	394	25	-113	14	394	25	-113	14	394
26	-15	15	409	26	-15	15	409	26	-15	15	409	26	-15	15	409	26	-15	15	409	26	-15	15	409	26	-15	15	409	26	-15	15	409
27	-13	13	422	27	-13	13	422	27	-13	13	422	27	-13	13	422	27	-13	13	422	27	-13	13	422	27	-13	13	422	27	-13	13	422
28	-14	14	436	28	-14	14	436	28	-14	14	436	28	-14	14	436	28	-14	14	436	28	-14	14	436	28	-14	14	436	28	-14	14	436
29	-15	15	451	29	-15	15	451	29	-15	15	451	29	-15	15	451	29	-15	15	451	29	-15	15	451	29	-15	15	451	29	-15	15	451
30	-118	19	470	30	-118	19	470	30	-118	19	470	30	-118	19	470	30	-118	19	470	30	-118	19	470	30	-118	19	470	30	-118	19	470
31	-15	15	485	31	-15	15	485	31	-15	15	485	31	-15	15	485	31	-15	15	485	31	-15	15	485	31	-15	15	485	31	-15	15	485
32	-117	18	503	32	-117	18	503	32	-117	18	503	32	-117	18	503	32	-117	18	503	32	-117	18	503	32	-117	18	503	32	-117	18	503
33	-113	14	517	33	-113	14	517	33	-113	14	517	33	-113	14	517	33	-113	14	517	33	-113	14	517	33	-113	14	517	33	-113	14	517
34	-14	14	531	34	-14	14	531	34	-14	14	531	34	-14	14	531	34	-14	14	531	34	-14	14	531	34	-14	14	531	34	-14	14	531
35	-15	15	546	35	-15	15	546	35	-15	15	546	35	-15	15	546	35	-15	15	546	35	-15	15	546	35	-15	15	546	35	-15	15	546
36	-13	13	559	36	-13	13	559	36	-13	13	559	36	-13	13	559	36	-13	13	559	36	-13	13	559	36	-13	13	559	36	-13	13	559
37	-15	15	574	37	-15	15	574	37	-15	15	574	37	-15	15	574	37	-15	15	574	37	-15	15	574	37	-15	15	574	37	-15	15	574
38	-13	13	587	38	-13	13	587	38	-13	13	587	38	-13	13	587	38	-13	13	587	38	-13	13	587	38	-13	13	587	38	-13	13	587
39	-17	17	604	39	-17	17	604	39	-17	17	604	39	-17	17	604	39	-17	17	604	39	-17	17	604	39	-17	17	604	39	-17	17	604
40	-121	22	626	40	-121	22	626	40	-121	22	626	40	-121	22	626	40	-121	22	626	40	-121	22	626	40	-121	22	626	40	-121	22	626
41	-17	17	643	41	-17	17	643	41	-17	17	643	41	-17	17	643	41	-17	17	643	41	-17	17	643	41	-17	17	643	41	-17	17	643
42	-15	15	658	42	-15	15	658	42	-15	15	658	42	-15	15	658	42	-15	15	658	42	-15	15	658	42	-15	15	658	42	-15	15	658
