Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13
1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26
2	-17	17	43	2	-17	17	43	2	-17	17	43	2	-17	17	43	2	-17	17	43	2	-17	17	43	2	-17	17	43	2	-17	17	43	2	-17	17	43	2	-17	17	43	2	-17	17	43
3	-17	17	60	3	-17	17	60	3	-17	17	60	3	-17	17	60	3	-17	17	60	3	-17	17	60	3	-17	17	60	3	-17	17	60	3	-17	17	60	3	-17	17	60	3	-17	17	60
4	-121	22	82	4	-121	22	82	4	-121	22	82	4	-121	22	82	4	-121	22	82	4	-121	22	82	4	-121	22	82	4	-121	22	82	4	-121	22	82	4	-121	22	82	4	-121	22	82
5	-18	18	100	5	-18	18	100	5	-18	18	100	5	-18	18	100	5	-18	18	100	5	-18	18	100	5	-18	18	100	5	-18	18	100	5	-18	18	100	5	-18	18	100	5	-18	18	100
6	-13	13	113	6	-13	13	113	6	-13	13	113	6	-13	13	113	6	-13	13	113	6	-13	13	113	6	-13	13	113	6	-13	13	113	6	-13	13	113	6	-13	13	113	6	-13	13	113
7	-14	14	127	7	-14	14	127	7	-14	14	127	7	-14	14	127	7	-14	14	127	7	-14	14	127	7	-14	14	127	7	-14	14	127	7	-14	14	127	7	-14	14	127	7	-14	14	127
8	-14	14	141	8	-14	14	141	8	-14	14	141	8	-14	14	141	8	-14	14	141	8	-14	14	141	8	-14	14	141	8	-14	14	141	8	-14	14	141	8	-14	14	141	8	-14	14	141
9	-15	15	156	9	-15	15	156	9	-15	15	156	9	-15	15	156	9	-15	15	156	9	-15	15	156	9	-15	15	156	9	-15	15	156	9	-15	15	156	9	-15	15	156	9	-15	15	156
10	-116	17	173	10	-116	17	173	10	-116	17	173	10	-116	17	173	10	-116	17	173	10	-116	17	173	10	-116	17	173	10	-116	17	173	10	-116	17	173	10	-116	17	173	10	-116	17	173
11	-116	17	190	11	-116	17	190	11	-116	17	190	11	-116	17	190	11	-116	17	190	11	-116	17	190	11	-116	17	190	11	-116	17	190	11	-116	17	190	11	-116	17	190	11	-116	17	190
12	-15	15	205	12	-15	15	205	12	-15	15	205	12	-15	15	205	12	-15	15	205	12	-15	15	205	12	-15	15	205	12	-15	15	205	12	-15	15	205	12	-15	15	205	12	-15	15	205
13	-13	13	218	13	-13	13	218	13	-13	13	218	13	-13	13	218	13	-13	13	218	13	-13	13	218	13	-13	13	218	13	-13	13	218	13	-13	13	218	13	-13	13	218	13	-13	13	218
14	-13	13	231	14	-13	13	231	14	-13	13	231	14	-13	13	231	14	-13	13	231	14	-13	13	231	14	-13	13	231	14	-13	13	231	14	-13	13	231	14	-13	13	231	14	-13	13	231
15	-17	17	248	15	-17	17	248	15	-17	17	248	15	-17	17	248	15	-17	17	248	15	-17	17	248	15	-17	17	248	15	-17	17	248	15	-17	17	248	15	-17	17	248	15	-17	17	248
16	-13	13	261	16	-13	13	261	16	-13	13	261	16	-13	13	261	16	-13	13	261	16	-13	13	261	16	-13	13	261	16	-13	13	261	16	-13	13	261	16	-13	13	261	16	-13	13	261
17	-13	13	274	17	-13	13	274	17	-13	13	274	17	-13	13	274	17	-13	13	274	17	-13	13	274	17	-13	13	274	17	-13	13	274	17	-13	13	274	17	-13	13	274	17	-13	13	274
18	-13	13	287	18	-13	13	287	18	-13	13	287	18	-13	13	287	18	-13	13	287	18	-13	13	287	18	-13	13	287	18	-13	13	287	18	-13	13	287	18	-13	13	287	18	-13	13	287
19	-13	13	300	19	-13	13	300	19	-13	13	300	19	-13	13	300	19	-13	13	300	19	-13	13	300	19	-13	13	300	19	-13	13	300	19	-13	13	300	19	-13	13	300	19	-13	13	300
20	-15	15	315	20	-15	15	315	20	-15	15	315	20	-15	15	315	20	-15	15	315	20	-15	15	315	20	-15	15	315	20	-15	15	315	20	-15	15	315	20	-15	15	315	20	-15	15	315
21	-13	13	328	21	-13	13	328	21	-13	13	328	21	-13	13	328	21	-13	13	328	21	-13	13	328	21	-13	13	328	21	-13	13	328	21	-13	13	328	21	-13	13	328	21	-13	13	328
22	-120	21	349	22	-120	21	349	22	-120	21	349	22	-120	21	349	22	-120	21	349	22	-120	21	349	22	-120	21	349	22	-120	21	349	22	-120	21	349	22	-120	21	349	22	-120	21	349
23	-13	13	362	23	-13	13	362	23	-13	13	362	23	-13	13	362	23	-13	13	362	23	-13	13	362	23	-13	13	362	23	-13	13	362	23	-13	13	362	23	-13	13	362	23	-13	13	362
24	-15	15	377	24	-15	15	377	24	-15	15	377	24	-15	15	377	24	-15	15	377	24	-15	15	377	24	-15	15	377	24	-15	15	377	24	-15	15	377	24	-15	15	377	24	-15	15	377
25	-13	13	390	25	-13	13	390	25	-13	13	390	25	-13	13	390	25	-13	13	390	25	-13	13	390	25	-13	13	390	25	-13	13	390	25	-13	13	390	25	-13	13	390	25	-13	13	390
26	-17	17	407	26	-17	17	407	26	-17	17	407	26	-17	17	407	26	-17	17	407	26	-17	17	407	26	-17	17	407	26	-17	17	407	26	-17	17	407	26	-17	17	407	26	-17	17	407
27	-13	13	420	27	-13	13	420	27	-13	13	420	27	-13	13	420	27	-13	13	420	27	-13	13	420	27	-13	13	420	27	-13	13	420	27	-13	13	420	27	-13	13	420	27	-13	13	420
28	-13	13	433	28	-13	13	433	28	-13	13	433	28	-13	13	433	28	-13	13	433	28	-13	13	433	28	-13	13	433	28	-13	13	433	28	-13	13	433	28	-13	13	433	28	-13	13	433
29	-13	13	446	29	-13	13	446	29	-13	13	446	29	-13	13	446	29	-13	13	446	29	-13	13	446	29	-13	13	446	29	-13	13	446	29	-13	13	446	29	-13	13	446	29	-13	13	446
30	-15	15	461	30	-15	15	461	30	-15	15	461	30	-15	15	461	30	-15	15	461	30	-15	15	461	30	-15	15	461	30	-15	15	461	30	-15	15	461	30	-15	15	461	30	-15	15	461
31	-13	13	474	31	-13	13	474	31	-13	13	474	31	-13	13	474	31	-13	13	474	31	-13	13	474	31	-13	13	474	31	-13	13	474	31	-13	13	474	31	-13	13	474	31	-13	13	474
32	-19	19	493	32	-19	19	493	32	-19	19	493	32	-19	19	493	32	-19	19	493	32	-19	19	493	32	-19	19	493	32	-19	19	493	32	-19	19	493	32	-19	19	493	32	-19	19	493
33	-19	19	512	33	-19	19	512	33	-19	19	512	33	-19	19	512	33	-19	19	512	33	-19	19	512	33	-19	19	512	33	-19	19	512	33	-19	19	512	33	-19	19	512	33	-19	19	512
34	-17	17	529	34	-17	17	529	34	-17	17	529	34	-17	17	529	34	-17	17	529	34	-17	17	529	34	-17	17	529	34	-17	17	529	34	-17	17	529	34	-17	17	529	34	-17	17	529
35	-20	20	549	35	-20	20	549	35	-20	20	549	35	-20	20	549	35	-20	20	549	35	-20	20	549	35	-20	20	549	35	-20	20	549	35	-20	20	549	35	-20	20	549	35	-20	20	549
36	-122	23	572	36	-122	23	572	36	-122	23	572	36	-122	23	572	36	-122	23	572	36	-122	23	572	36	-122	23	572	36	-122	23	572	36	-122	23	572	36	-122	23	572	36	-122	23	572
37	-13	13	585	37	-13	13	585	37	-13	13	585	37	-13	13	585	37	-13	13	585	37	-13	13	585	37	-13	13	585	37	-13	13	585	37	-13	13	585	37	-13	13	585	37	-13	13	585
38	-125	26	611	38	-125	26	611	38	-125	26	611	38	-125	26	611	38	-125	26	611	38	-125	26	611	38	-125	26	611	38	-125	26	611	38	-125	26	611	38	-125	26	611	38	-125	26	611
39	-13	13	624	39	-13	13	624	39	-13	13	624	39	-13	13	624	39	-13	13	624	39	-13	13	624	39	-13	13	624	39	-13	13	624	39	-13	13	624	39	-13	13	624	39	-13	13	624
40	-13	13	637	40	-13	13	637	40	-13	13	637	40	-13	13	637	40	-13	13	637	40	-13	13	637	40	-13	13	637	40	-13	13	637	40	-13	13	637	40	-13	13	637	40	-13	13	637
41	-15	15	652	41	-15	15	652	41	-15	15	652	41	-15	15	652	41	-15	15	652	41	-15	15	652	41	-15	15	652	41	-15	15	652	41	-15	15	652	41	-15	15	652	41	-15	15	652
42	-15	15	667	42	-15	15	667	42	-15	15	667	42	-15	15	667	42	-15	15	667	42	-15	15	667	42	-15	15	667	42	-15	15	667	42	-15	15	667	42	-15	15	667	42	-15	15	667
