Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-229	31	31	0	-229	31	31	0	-229	31	31	0	-229	31	31	0	-229	31	31	0	-229	31	31	0	-229	31	31	0	-229	31	31	0	-229	31	31	0	-229	31	31	0	-229	31	31	0	-229	31	31	0	-229	31	31	0	-229	31	31
1	-13	13	44	1	-13	13	44	1	-13	13	44	1	-13	13	44	1	-13	13	44	1	-13	13	44	1	-13	13	44	1	-13	13	44	1	-13	13	44	1	-13	13	44	1	-13	13	44	1	-13	13	44	1	-13	13	44	1	-13	13	44
2	-15	15	59	2	-15	15	59	2	-15	15	59	2	-15	15	59	2	-15	15	59	2	-15	15	59	2	-15	15	59	2	-15	15	59	2	-15	15	59	2	-15	15	59	2	-15	15	59	2	-15	15	59	2	-15	15	59	2	-15	15	59
3	-13	13	72	3	-13	13	72	3	-13	13	72	3	-13	13	72	3	-13	13	72	3	-13	13	72	3	-13	13	72	3	-13	13	72	3	-13	13	72	3	-13	13	72	3	-13	13	72	3	-13	13	72	3	-13	13	72	3	-13	13	72
4	-15	15	87	4	-15	15	87	4	-15	15	87	4	-15	15	87	4	-15	15	87	4	-15	15	87	4	-15	15	87	4	-15	15	87	4	-15	15	87	4	-15	15	87	4	-15	15	87	4	-15	15	87	4	-15	15	87	4	-15	15	87
5	-13	13	100	5	-13	13	100	5	-13	13	100	5	-13	13	100	5	-13	13	100	5	-13	13	100	5	-13	13	100	5	-13	13	100	5	-13	13	100	5	-13	13	100	5	-13	13	100	5	-13	13	100	5	-13	13	100	5	-13	13	100
6	-13	13	113	6	-13	13	113	6	-13	13	113	6	-13	13	113	6	-13	13	113	6	-13	13	113	6	-13	13	113	6	-13	13	113	6	-13	13	113	6	-13	13	113	6	-13	13	113	6	-13	13	113	6	-13	13	113	6	-13	13	113
7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126
8	-130	31	157	8	-130	31	157	8	-130	31	157	8	-130	31	157	8	-130	31	157	8	-130	31	157	8	-130	31	157	8	-130	31	157	8	-130	31	157	8	-130	31	157	8	-130	31	157	8	-130	31	157	8	-130	31	157	8	-130	31	157
9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170
10	-13	13	183	10	-13	13	183	10	-13	13	183	10	-13	13	183	10	-13	13	183	10	-13	13	183	10	-13	13	183	10	-13	13	183	10	-13	13	183	10	-13	13	183	10	-13	13	183	10	-13	13	183	10	-13	13	183	10	-13	13	183
11	-15	15	198	11	-15	15	198	11	-15	15	198	11	-15	15	198	11	-15	15	198	11	-15	15	198	11	-15	15	198	11	-15	15	198	11	-15	15	198	11	-15	15	198	11	-15	15	198	11	-15	15	198	11	-15	15	198	11	-15	15	198
12	-17	17	215	12	-17	17	215	12	-17	17	215	12	-17	17	215	12	-17	17	215	12	-17	17	215	12	-17	17	215	12	-17	17	215	12	-17	17	215	12	-17	17	215	12	-17	17	215	12	-17	17	215	12	-17	17	215	12	-17	17	215
13	-13	13	228	13	-13	13	228	13	-13	13	228	13	-13	13	228	13	-13	13	228	13	-13	13	228	13	-13	13	228	13	-13	13	228	13	-13	13	228	13	-13	13	228	13	-13	13	228	13	-13	13	228	13	-13	13	228	13	-13	13	228
14	-15	15	243	14	-15	15	243	14	-15	15	243	14	-15	15	243	14	-15	15	243	14	-15	15	243	14	-15	15	243	14	-15	15	243	14	-15	15	243	14	-15	15	243	14	-15	15	243	14	-15	15	243	14	-15	15	243	14	-15	15	243
15	-216	18	261	15	-216	18	261	15	-216	18	261	15	-216	18	261	15	-216	18	261	15	-216	18	261	15	-216	18	261	15	-216	18	261	15	-216	18	261	15	-216	18	261	15	-216	18	261	15	-216	18	261	15	-216	18	261	15	-216	18	261
16	-13	13	274	16	-13	13	274	16	-13	13	274	16	-13	13	274	16	-13	13	274	16	-13	13	274	16	-13	13	274	16	-13	13	274	16	-13	13	274	16	-13	13	274	16	-13	13	274	16	-13	13	274	16	-13	13	274	16	-13	13	274
17	-18	18	292	17	-18	18	292	17	-18	18	292	17	-18	18	292	17	-18	18	292	17	-18	18	292	17	-18	18	292	17	-18	18	292	17	-18	18	292	17	-18	18	292	17	-18	18	292	17	-18	18	292	17	-18	18	292	17	-18	18	292
18	-15	15	307	18	-15	15	307	18	-15	15	307	18	-15	15	307	18	-15	15	307	18	-15	15	307	18	-15	15	307	18	-15	15	307	18	-15	15	307	18	-15	15	307	18	-15	15	307	18	-15	15	307	18	-15	15	307	18	-15	15	307
19	-328	31	338	19	-328	31	338	19	-328	31	338	19	-328	31	338	19	-328	31	338	19	-328	31	338	19	-328	31	338	19	-328	31	338	19	-328	31	338	19	-328	31	338	19	-328	31	338	19	-328	31	338	19	-328	31	338	19	-328	31	338
20	-15	15	353	20	-15	15	353	20	-15	15	353	20	-15	15	353	20	-15	15	353	20	-15	15	353	20	-15	15	353	20	-15	15	353	20	-15	15	353	20	-15	15	353	20	-15	15	353	20	-15	15	353	20	-15	15	353	20	-15	15	353
21	-119	20	373	21	-119	20	373	21	-119	20	373	21	-119	20	373	21	-119	20	373	21	-119	20	373	21	-119	20	373	21	-119	20	373	21	-119	20	373	21	-119	20	373	21	-119	20	373	21	-119	20	373	21	-119	20	373	21	-119	20	373
22	-13	13	386	22	-13	13	386	22	-13	13	386	22	-13	13	386	22	-13	13	386	22	-13	13	386	22	-13	13	386	22	-13	13	386	22	-13	13	386	22	-13	13	386	22	-13	13	386	22	-13	13	386	22	-13	13	386	22	-13	13	386
23	-13	13	399	23	-13	13	399	23	-13	13	399	23	-13	13	399	23	-13	13	399	23	-13	13	399	23	-13	13	399	23	-13	13	399	23	-13	13	399	23	-13	13	399	23	-13	13	399	23	-13	13	399	23	-13	13	399	23	-13	13	399
24	-123	24	423	24	-123	24	423	24	-123	24	423	24	-123	24	423	24	-123	24	423	24	-123	24	423	24	-123	24	423	24	-123	24	423	24	-123	24	423	24	-123	24	423	24	-123	24	423	24	-123	24	423	24	-123	24	423	24	-123	24	423
25	-19	19	442	25	-19	19	442	25	-19	19	442	25	-19	19	442	25	-19	19	442	25	-19	19	442	25	-19	19	442	25	-19	19	442	25	-19	19	442	25	-19	19	442	25	-19	19	442	25	-19	19	442	25	-19	19	442	25	-19	19	442
26	-13	13	455	26	-13	13	455	26	-13	13	455	26	-13	13	455	26	-13	13	455	26	-13	13	455	26	-13	13	455	26	-13	13	455	26	-13	13	455	26	-13	13	455	26	-13	13	455	26	-13	13	455	26	-13	13	455	26	-13	13	455
27	-13	13	468	27	-13	13	468	27	-13	13	468	27	-13	13	468	27	-13	13	468	27	-13	13	468	27	-13	13	468	27	-13	13	468	27	-13	13	468	27	-13	13	468	27	-13	13	468	27	-13	13	468	27	-13	13	468	27	-13	13	468
28	-13	13	481	28	-13	13	481	28	-13	13	481	28	-13	13	481	28	-13	13	481	28	-13	13	481	28	-13	13	481	28	-13	13	481	28	-13	13	481	28	-13	13	481	28	-13	13	481	28	-13	13	481	28	-13	13	481	28	-13	13	481
29	-15	15	496	29	-15	15	496	29	-15	15	496	29	-15	15	496	29	-15	15	496	29	-15	15	496	29	-15	15	496	29	-15	15	496	29	-15	15	496	29	-15	15	496	29	-15	15	496	29	-15	15	496	29	-15	15	496	29	-15	15	496
30	-123	24	520	30	-123	24	520	30	-123	24	520	30	-123	24	520	30	-123	24	520	30	-123	24	520	30	-123	24	520	30	-123	24	520	30	-123	24	520	30	-123	24	520	30	-123	24	520	30	-123	24	520	30	-123	24	520	30	-123	24	520
31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533
32	-221	23	556	32	-221	23	556	32	-221	23	556	32	-221	23	556	32	-221	23	556	32	-221	23	556	32	-221	23	556	32	-221	23	556	32	-221	23	556	32	-221	23	556	32	-221	23	556	32	-221	23	556	32	-221	23	556	32	-221	23	556
33	-15	15	571	33	-15	15	571	33	-15	15	571	33	-15	15	571	33	-15	15	571	33	-15	15	571	33	-15	15	571	33	-15	15	571	33	-15	15	571	33	-15	15	571	33	-15	15	571	33	-15	15	571	33	-15	15	571	33	-15	15	571
34	-124	25	596	34	-124	25	596	34	-124	25	596	34	-124	25	596	34	-124	25	596	34	-124	25	596	34	-124	25	596	34	-124	25	596	34	-124	25	596	34	-124	25	596	34	-124	25	596	34	-124	25	596	34	-124	25	596	34	-124	25	596
35	-121	22	618	35	-121	22	618	35	-121	22	618	35	-121	22	618	35	-121	22	618	35	-121	22	618	35	-121	22	618	35	-121	22	618	35	-121	22	618	35	-121	22	618	35	-121	22	618	35	-121	22	618	35	-121	22	618	35	-121	22	618
36	-16	16	634	36	-16	16	634	36	-16	16	634	36	-16	16	634	36	-16	16	634	36	-16	16	634	36	-16	16	634	36	-16	16	634	36	-16	16	634	36	-16	16	634	36	-16	16	634	36	-16	16	634	36	-16	16	634	36	-16	16	634
37	-14	14	648	37	-14	14	648	37	-14	14	648	37	-14	14	648	37	-14	14	648	37	-14	14	648	37	-14	14	648	37	-14	14	648	37	-14	14	648	37	-14	14	648	37	-14	14	648	37	-14	14	648	37	-14	14	648	37	-14	14	648
