Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13
1	-116	17	30	1	-116	17	30	1	-116	17	30	1	-116	17	30	1	-116	17	30	1	-116	17	30	1	-116	17	30	1	-116	17	30	1	-116	17	30	1	-116	17	30	1	-116	17	30	1	-116	17	30	1	-116	17	30	1	-116	17	30	1	-116	17	30	1	-116	17	30	1	-116	17	30
2	-19	19	49	2	-19	19	49	2	-19	19	49	2	-19	19	49	2	-19	19	49	2	-19	19	49	2	-19	19	49	2	-19	19	49	2	-19	19	49	2	-19	19	49	2	-19	19	49	2	-19	19	49	2	-19	19	49	2	-19	19	49	2	-19	19	49	2	-19	19	49	2	-19	19	49
3	-16	16	65	3	-16	16	65	3	-16	16	65	3	-16	16	65	3	-16	16	65	3	-16	16	65	3	-16	16	65	3	-16	16	65	3	-16	16	65	3	-16	16	65	3	-16	16	65	3	-16	16	65	3	-16	16	65	3	-16	16	65	3	-16	16	65	3	-16	16	65	3	-16	16	65
4	-15	15	80	4	-15	15	80	4	-15	15	80	4	-15	15	80	4	-15	15	80	4	-15	15	80	4	-15	15	80	4	-15	15	80	4	-15	15	80	4	-15	15	80	4	-15	15	80	4	-15	15	80	4	-15	15	80	4	-15	15	80	4	-15	15	80	4	-15	15	80	4	-15	15	80
5	-13	13	93	5	-13	13	93	5	-13	13	93	5	-13	13	93	5	-13	13	93	5	-13	13	93	5	-13	13	93	5	-13	13	93	5	-13	13	93	5	-13	13	93	5	-13	13	93	5	-13	13	93	5	-13	13	93	5	-13	13	93	5	-13	13	93	5	-13	13	93	5	-13	13	93
6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106
7	-13	13	119	7	-13	13	119	7	-13	13	119	7	-13	13	119	7	-13	13	119	7	-13	13	119	7	-13	13	119	7	-13	13	119	7	-13	13	119	7	-13	13	119	7	-13	13	119	7	-13	13	119	7	-13	13	119	7	-13	13	119	7	-13	13	119	7	-13	13	119	7	-13	13	119
8	-13	13	132	8	-13	13	132	8	-13	13	132	8	-13	13	132	8	-13	13	132	8	-13	13	132	8	-13	13	132	8	-13	13	132	8	-13	13	132	8	-13	13	132	8	-13	13	132	8	-13	13	132	8	-13	13	132	8	-13	13	132	8	-13	13	132	8	-13	13	132	8	-13	13	132
9	-25	25	157	9	-25	25	157	9	-25	25	157	9	-25	25	157	9	-25	25	157	9	-25	25	157	9	-25	25	157	9	-25	25	157	9	-25	25	157	9	-25	25	157	9	-25	25	157	9	-25	25	157	9	-25	25	157	9	-25	25	157	9	-25	25	157	9	-25	25	157	9	-25	25	157
