Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-113	14	14	0	-113	14	14	0	-113	14	14	0	-113	14	14	0	-113	14	14	0	-113	14	14	0	-113	14	14	0	-113	14	14	0	-113	14	14	0	-113	14	14	0	-113	14	14	0	-113	14	14	0	-113	14	14	0	-113	14	14	0	-113	14	14	0	-113	14	14	0	-113	14	14	0	-113	14	14	0	-113	14	14	0	-113	14	14
1	-129	30	44	1	-129	30	44	1	-129	30	44	1	-129	30	44	1	-129	30	44	1	-129	30	44	1	-129	30	44	1	-129	30	44	1	-129	30	44	1	-129	30	44	1	-129	30	44	1	-129	30	44	1	-129	30	44	1	-129	30	44	1	-129	30	44	1	-129	30	44	1	-129	30	44	1	-129	30	44	1	-129	30	44	1	-129	30	44
2	-13	13	57	2	-13	13	57	2	-13	13	57	2	-13	13	57	2	-13	13	57	2	-13	13	57	2	-13	13	57	2	-13	13	57	2	-13	13	57	2	-13	13	57	2	-13	13	57	2	-13	13	57	2	-13	13	57	2	-13	13	57	2	-13	13	57	2	-13	13	57	2	-13	13	57	2	-13	13	57	2	-13	13	57	2	-13	13	57
3	-17	17	74	3	-17	17	74	3	-17	17	74	3	-17	17	74	3	-17	17	74	3	-17	17	74	3	-17	17	74	3	-17	17	74	3	-17	17	74	3	-17	17	74	3	-17	17	74	3	-17	17	74	3	-17	17	74	3	-17	17	74	3	-17	17	74	3	-17	17	74	3	-17	17	74	3	-17	17	74	3	-17	17	74	3	-17	17	74
4	-17	17	91	4	-17	17	91	4	-17	17	91	4	-17	17	91	4	-17	17	91	4	-17	17	91	4	-17	17	91	4	-17	17	91	4	-17	17	91	4	-17	17	91	4	-17	17	91	4	-17	17	91	4	-17	17	91	4	-17	17	91	4	-17	17	91	4	-17	17	91	4	-17	17	91	4	-17	17	91	4	-17	17	91	4	-17	17	91
5	-17	17	108	5	-17	17	108	5	-17	17	108	5	-17	17	108	5	-17	17	108	5	-17	17	108	5	-17	17	108	5	-17	17	108	5	-17	17	108	5	-17	17	108	5	-17	17	108	5	-17	17	108	5	-17	17	108	5	-17	17	108	5	-17	17	108	5	-17	17	108	5	-17	17	108	5	-17	17	108	5	-17	17	108	5	-17	17	108
6	-18	18	126	6	-18	18	126	6	-18	18	126	6	-18	18	126	6	-18	18	126	6	-18	18	126	6	-18	18	126	6	-18	18	126	6	-18	18	126	6	-18	18	126	6	-18	18	126	6	-18	18	126	6	-18	18	126	6	-18	18	126	6	-18	18	126	6	-18	18	126	6	-18	18	126	6	-18	18	126	6	-18	18	126	6	-18	18	126
7	-228	30	156	7	-228	30	156	7	-228	30	156	7	-228	30	156	7	-228	30	156	7	-228	30	156	7	-228	30	156	7	-228	30	156	7	-228	30	156	7	-228	30	156	7	-228	30	156	7	-228	30	156	7	-228	30	156	7	-228	30	156	7	-228	30	156	7	-228	30	156	7	-228	30	156	7	-228	30	156	7	-228	30	156	7	-228	30	156
8	-15	15	171	8	-15	15	171	8	-15	15	171	8	-15	15	171	8	-15	15	171	8	-15	15	171	8	-15	15	171	8	-15	15	171	8	-15	15	171	8	-15	15	171	8	-15	15	171	8	-15	15	171	8	-15	15	171	8	-15	15	171	8	-15	15	171	8	-15	15	171	8	-15	15	171	8	-15	15	171	8	-15	15	171	8	-15	15	171
9	-13	13	184	9	-13	13	184	9	-13	13	184	9	-13	13	184	9	-13	13	184	9	-13	13	184	9	-13	13	184	9	-13	13	184	9	-13	13	184	9	-13	13	184	9	-13	13	184	9	-13	13	184	9	-13	13	184	9	-13	13	184	9	-13	13	184	9	-13	13	184	9	-13	13	184	9	-13	13	184	9	-13	13	184	9	-13	13	184
10	-13	13	197	10	-13	13	197	10	-13	13	197	10	-13	13	197	10	-13	13	197	10	-13	13	197	10	-13	13	197	10	-13	13	197	10	-13	13	197	10	-13	13	197	10	-13	13	197	10	-13	13	197	10	-13	13	197	10	-13	13	197	10	-13	13	197	10	-13	13	197	10	-13	13	197	10	-13	13	197	10	-13	13	197	10	-13	13	197
11	-19	19	216	11	-19	19	216	11	-19	19	216	11	-19	19	216	11	-19	19	216	11	-19	19	216	11	-19	19	216	11	-19	19	216	11	-19	19	216	11	-19	19	216	11	-19	19	216	11	-19	19	216	11	-19	19	216	11	-19	19	216	11	-19	19	216	11	-19	19	216	11	-19	19	216	11	-19	19	216	11	-19	19	216	11	-19	19	216
12	-224	26	242	12	-224	26	242	12	-224	26	242	12	-224	26	242	12	-224	26	242	12	-224	26	242	12	-224	26	242	12	-224	26	242	12	-224	26	242	12	-224	26	242	12	-224	26	242	12	-224	26	242	12	-224	26	242	12	-224	26	242	12	-224	26	242	12	-224	26	242	12	-224	26	242	12	-224	26	242	12	-224	26	242	12	-224	26	242
13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255
14	-15	15	270	14	-15	15	270	14	-15	15	270	14	-15	15	270	14	-15	15	270	14	-15	15	270	14	-15	15	270	14	-15	15	270	14	-15	15	270	14	-15	15	270	14	-15	15	270	14	-15	15	270	14	-15	15	270	14	-15	15	270	14	-15	15	270	14	-15	15	270	14	-15	15	270	14	-15	15	270	14	-15	15	270	14	-15	15	270
15	-13	13	283	15	-13	13	283	15	-13	13	283	15	-13	13	283	15	-13	13	283	15	-13	13	283	15	-13	13	283	15	-13	13	283	15	-13	13	283	15	-13	13	283	15	-13	13	283	15	-13	13	283	15	-13	13	283	15	-13	13	283	15	-13	13	283	15	-13	13	283	15	-13	13	283	15	-13	13	283	15	-13	13	283	15	-13	13	283
