Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-126	27	27	0	-126	27	27	0	-126	27	27	0	-126	27	27	0	-126	27	27	0	-126	27	27	0	-126	27	27	0	-126	27	27	0	-126	27	27	0	-126	27	27	0	-126	27	27	0	-126	27	27	0	-126	27	27	0	-126	27	27	0	-126	27	27	0	-126	27	27	0	-126	27	27	0	-126	27	27	0	-126	27	27	0	-126	27	27	0	-126	27	27	0	-126	27	27	0	-126	27	27
1	-115	16	43	1	-115	16	43	1	-115	16	43	1	-115	16	43	1	-115	16	43	1	-115	16	43	1	-115	16	43	1	-115	16	43	1	-115	16	43	1	-115	16	43	1	-115	16	43	1	-115	16	43	1	-115	16	43	1	-115	16	43	1	-115	16	43	1	-115	16	43	1	-115	16	43	1	-115	16	43	1	-115	16	43	1	-115	16	43	1	-115	16	43	1	-115	16	43	1	-115	16	43
2	-15	15	58	2	-15	15	58	2	-15	15	58	2	-15	15	58	2	-15	15	58	2	-15	15	58	2	-15	15	58	2	-15	15	58	2	-15	15	58	2	-15	15	58	2	-15	15	58	2	-15	15	58	2	-15	15	58	2	-15	15	58	2	-15	15	58	2	-15	15	58	2	-15	15	58	2	-15	15	58	2	-15	15	58	2	-15	15	58	2	-15	15	58	2	-15	15	58	2	-15	15	58
3	-15	15	73	3	-15	15	73	3	-15	15	73	3	-15	15	73	3	-15	15	73	3	-15	15	73	3	-15	15	73	3	-15	15	73	3	-15	15	73	3	-15	15	73	3	-15	15	73	3	-15	15	73	3	-15	15	73	3	-15	15	73	3	-15	15	73	3	-15	15	73	3	-15	15	73	3	-15	15	73	3	-15	15	73	3	-15	15	73	3	-15	15	73	3	-15	15	73	3	-15	15	73
4	-232	34	107	4	-232	34	107	4	-232	34	107	4	-232	34	107	4	-232	34	107	4	-232	34	107	4	-232	34	107	4	-232	34	107	4	-232	34	107	4	-232	34	107	4	-232	34	107	4	-232	34	107	4	-232	34	107	4	-232	34	107	4	-232	34	107	4	-232	34	107	4	-232	34	107	4	-232	34	107	4	-232	34	107	4	-232	34	107	4	-232	34	107	4	-232	34	107	4	-232	34	107
5	-15	15	122	5	-15	15	122	5	-15	15	122	5	-15	15	122	5	-15	15	122	5	-15	15	122	5	-15	15	122	5	-15	15	122	5	-15	15	122	5	-15	15	122	5	-15	15	122	5	-15	15	122	5	-15	15	122	5	-15	15	122	5	-15	15	122	5	-15	15	122	5	-15	15	122	5	-15	15	122	5	-15	15	122	5	-15	15	122	5	-15	15	122	5	-15	15	122	5	-15	15	122
6	-15	15	137	6	-15	15	137	6	-15	15	137	6	-15	15	137	6	-15	15	137	6	-15	15	137	6	-15	15	137	6	-15	15	137	6	-15	15	137	6	-15	15	137	6	-15	15	137	6	-15	15	137	6	-15	15	137	6	-15	15	137	6	-15	15	137	6	-15	15	137	6	-15	15	137	6	-15	15	137	6	-15	15	137	6	-15	15	137	6	-15	15	137	6	-15	15	137	6	-15	15	137
7	-15	15	152	7	-15	15	152	7	-15	15	152	7	-15	15	152	7	-15	15	152	7	-15	15	152	7	-15	15	152	7	-15	15	152	7	-15	15	152	7	-15	15	152	7	-15	15	152	7	-15	15	152	7	-15	15	152	7	-15	15	152	7	-15	15	152	7	-15	15	152	7	-15	15	152	7	-15	15	152	7	-15	15	152	7	-15	15	152	7	-15	15	152	7	-15	15	152	7	-15	15	152
8	-13	13	165	8	-13	13	165	8	-13	13	165	8	-13	13	165	8	-13	13	165	8	-13	13	165	8	-13	13	165	8	-13	13	165	8	-13	13	165	8	-13	13	165	8	-13	13	165	8	-13	13	165	8	-13	13	165	8	-13	13	165	8	-13	13	165	8	-13	13	165	8	-13	13	165	8	-13	13	165	8	-13	13	165	8	-13	13	165	8	-13	13	165	8	-13	13	165	8	-13	13	165
9	-13	13	178	9	-13	13	178	9	-13	13	178	9	-13	13	178	9	-13	13	178	9	-13	13	178	9	-13	13	178	9	-13	13	178	9	-13	13	178	9	-13	13	178	9	-13	13	178	9	-13	13	178	9	-13	13	178	9	-13	13	178	9	-13	13	178	9	-13	13	178	9	-13	13	178	9	-13	13	178	9	-13	13	178	9	-13	13	178	9	-13	13	178	9	-13	13	178	9	-13	13	178
10	-13	13	191	10	-13	13	191	10	-13	13	191	10	-13	13	191	10	-13	13	191	10	-13	13	191	10	-13	13	191	10	-13	13	191	10	-13	13	191	10	-13	13	191	10	-13	13	191	10	-13	13	191	10	-13	13	191	10	-13	13	191	10	-13	13	191	10	-13	13	191	10	-13	13	191	10	-13	13	191	10	-13	13	191	10	-13	13	191	10	-13	13	191	10	-13	13	191	10	-13	13	191
11	-14	14	205	11	-14	14	205	11	-14	14	205	11	-14	14	205	11	-14	14	205	11	-14	14	205	11	-14	14	205	11	-14	14	205	11	-14	14	205	11	-14	14	205	11	-14	14	205	11	-14	14	205	11	-14	14	205	11	-14	14	205	11	-14	14	205	11	-14	14	205	11	-14	14	205	11	-14	14	205	11	-14	14	205	11	-14	14	205	11	-14	14	205	11	-14	14	205	11	-14	14	205
12	-17	17	222	12	-17	17	222	12	-17	17	222	12	-17	17	222	12	-17	17	222	12	-17	17	222	12	-17	17	222	12	-17	17	222	12	-17	17	222	12	-17	17	222	12	-17	17	222	12	-17	17	222	12	-17	17	222	12	-17	17	222	12	-17	17	222	12	-17	17	222	12	-17	17	222	12	-17	17	222	12	-17	17	222	12	-17	17	222	12	-17	17	222	12	-17	17	222	12	-17	17	222
13	-15	15	237	13	-15	15	237	13	-15	15	237	13	-15	15	237	13	-15	15	237	13	-15	15	237	13	-15	15	237	13	-15	15	237	13	-15	15	237	13	-15	15	237	13	-15	15	237	13	-15	15	237	13	-15	15	237	13	-15	15	237	13	-15	15	237	13	-15	15	237	13	-15	15	237	13	-15	15	237	13	-15	15	237	13	-15	15	237	13	-15	15	237	13	-15	15	237	13	-15	15	237
14	-123	24	261	14	-123	24	261	14	-123	24	261	14	-123	24	261	14	-123	24	261	14	-123	24	261	14	-123	24	261	14	-123	24	261	14	-123	24	261	14	-123	24	261	14	-123	24	261	14	-123	24	261	14	-123	24	261	14	-123	24	261	14	-123	24	261	14	-123	24	261	14	-123	24	261	14	-123	24	261	14	-123	24	261	14	-123	24	261	14	-123	24	261	14	-123	24	261	14	-123	24	261
15	-13	13	274	15	-13	13	274	15	-13	13	274	15	-13	13	274	15	-13	13	274	15	-13	13	274	15	-13	13	274	15	-13	13	274	15	-13	13	274	15	-13	13	274	15	-13	13	274	15	-13	13	274	15	-13	13	274	15	-13	13	274	15	-13	13	274	15	-13	13	274	15	-13	13	274	15	-13	13	274	15	-13	13	274	15	-13	13	274	15	-13	13	274	15	-13	13	274	15	-13	13	274
16	-13	13	287	16	-13	13	287	16	-13	13	287	16	-13	13	287	16	-13	13	287	16	-13	13	287	16	-13	13	287	16	-13	13	287	16	-13	13	287	16	-13	13	287	16	-13	13	287	16	-13	13	287	16	-13	13	287	16	-13	13	287	16	-13	13	287	16	-13	13	287	16	-13	13	287	16	-13	13	287	16	-13	13	287	16	-13	13	287	16	-13	13	287	16	-13	13	287	16	-13	13	287
17	-118	19	306	17	-118	19	306	17	-118	19	306	17	-118	19	306	17	-118	19	306	17	-118	19	306	17	-118	19	306	17	-118	19	306	17	-118	19	306	17	-118	19	306	17	-118	19	306	17	-118	19	306	17	-118	19	306	17	-118	19	306	17	-118	19	306	17	-118	19	306	17	-118	19	306	17	-118	19	306	17	-118	19	306	17	-118	19	306	17	-118	19	306	17	-118	19	306	17	-118	19	306
18	-13	13	319	18	-13	13	319	18	-13	13	319	18	-13	13	319	18	-13	13	319	18	-13	13	319	18	-13	13	319	18	-13	13	319	18	-13	13	319	18	-13	13	319	18	-13	13	319	18	-13	13	319	18	-13	13	319	18	-13	13	319	18	-13	13	319	18	-13	13	319	18	-13	13	319	18	-13	13	319	18	-13	13	319	18	-13	13	319	18	-13	13	319	18	-13	13	319	18	-13	13	319
19	-219	21	340	19	-219	21	340	19	-219	21	340	19	-219	21	340	19	-219	21	340	19	-219	21	340	19	-219	21	340	19	-219	21	340	19	-219	21	340	19	-219	21	340	19	-219	21	340	19	-219	21	340	19	-219	21	340	19	-219	21	340	19	-219	21	340	19	-219	21	340	19	-219	21	340	19	-219	21	340	19	-219	21	340	19	-219	21	340	19	-219	21	340	19	-219	21	340	19	-219	21	340
20	-120	21	361	20	-120	21	361	20	-120	21	361	20	-120	21	361	20	-120	21	361	20	-120	21	361	20	-120	21	361	20	-120	21	361	20	-120	21	361	20	-120	21	361	20	-120	21	361	20	-120	21	361	20	-120	21	361	20	-120	21	361	20	-120	21	361	20	-120	21	361	20	-120	21	361	20	-120	21	361	20	-120	21	361	20	-120	21	361	20	-120	21	361	20	-120	21	361	20	-120	21	361
21	-15	15	376	21	-15	15	376	21	-15	15	376	21	-15	15	376	21	-15	15	376	21	-15	15	376	21	-15	15	376	21	-15	15	376	21	-15	15	376	21	-15	15	376	21	-15	15	376	21	-15	15	376	21	-15	15	376	21	-15	15	376	21	-15	15	376	21	-15	15	376	21	-15	15	376	21	-15	15	376	21	-15	15	376	21	-15	15	376	21	-15	15	376	21	-15	15	376	21	-15	15	376
22	-120	21	397	22	-120	21	397	22	-120	21	397	22	-120	21	397	22	-120	21	397	22	-120	21	397	22	-120	21	397	22	-120	21	397	22	-120	21	397	22	-120	21	397	22	-120	21	397	22	-120	21	397	22	-120	21	397	22	-120	21	397	22	-120	21	397	22	-120	21	397	22	-120	21	397	22	-120	21	397	22	-120	21	397	22	-120	21	397	22	-120	21	397	22	-120	21	397	22	-120	21	397
23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410
24	-15	15	425	24	-15	15	425	24	-15	15	425	24	-15	15	425	24	-15	15	425	24	-15	15	425	24	-15	15	425	24	-15	15	425	24	-15	15	425	24	-15	15	425	24	-15	15	425	24	-15	15	425	24	-15	15	425	24	-15	15	425	24	-15	15	425	24	-15	15	425	24	-15	15	425	24	-15	15	425	24	-15	15	425	24	-15	15	425	24	-15	15	425	24	-15	15	425	24	-15	15	425
25	-13	13	438	25	-13	13	438	25	-13	13	438	25	-13	13	438	25	-13	13	438	25	-13	13	438	25	-13	13	438	25	-13	13	438	25	-13	13	438	25	-13	13	438	25	-13	13	438	25	-13	13	438	25	-13	13	438	25	-13	13	438	25	-13	13	438	25	-13	13	438	25	-13	13	438	25	-13	13	438	25	-13	13	438	25	-13	13	438	25	-13	13	438	25	-13	13	438	25	-13	13	438
26	-13	13	451	26	-13	13	451	26	-13	13	451	26	-13	13	451	26	-13	13	451	26	-13	13	451	26	-13	13	451	26	-13	13	451	26	-13	13	451	26	-13	13	451	26	-13	13	451	26	-13	13	451	26	-13	13	451	26	-13	13	451	26	-13	13	451	26	-13	13	451	26	-13	13	451	26	-13	13	451	26	-13	13	451	26	-13	13	451	26	-13	13	451	26	-13	13	451	26	-13	13	451
27	-17	17	468	27	-17	17	468	27	-17	17	468	27	-17	17	468	27	-17	17	468	27	-17	17	468	27	-17	17	468	27	-17	17	468	27	-17	17	468	27	-17	17	468	27	-17	17	468	27	-17	17	468	27	-17	17	468	27	-17	17	468	27	-17	17	468	27	-17	17	468	27	-17	17	468	27	-17	17	468	27	-17	17	468	27	-17	17	468	27	-17	17	468	27	-17	17	468	27	-17	17	468
28	-124	25	493	28	-124	25	493	28	-124	25	493	28	-124	25	493	28	-124	25	493	28	-124	25	493	28	-124	25	493	28	-124	25	493	28	-124	25	493	28	-124	25	493	28	-124	25	493	28	-124	25	493	28	-124	25	493	28	-124	25	493	28	-124	25	493	28	-124	25	493	28	-124	25	493	28	-124	25	493	28	-124	25	493	28	-124	25	493	28	-124	25	493	28	-124	25	493	28	-124	25	493
29	-15	15	508	29	-15	15	508	29	-15	15	508	29	-15	15	508	29	-15	15	508	29	-15	15	508	29	-15	15	508	29	-15	15	508	29	-15	15	508	29	-15	15	508	29	-15	15	508	29	-15	15	508	29	-15	15	508	29	-15	15	508	29	-15	15	508	29	-15	15	508	29	-15	15	508	29	-15	15	508	29	-15	15	508	29	-15	15	508	29	-15	15	508	29	-15	15	508	29	-15	15	508
30	-230	32	540	30	-230	32	540	30	-230	32	540	30	-230	32	540	30	-230	32	540	30	-230	32	540	30	-230	32	540	30	-230	32	540	30	-230	32	540	30	-230	32	540	30	-230	32	540	30	-230	32	540	30	-230	32	540	30	-230	32	540	30	-230	32	540	30	-230	32	540	30	-230	32	540	30	-230	32	540	30	-230	32	540	30	-230	32	540	30	-230	32	540	30	-230	32	540	30	-230	32	540
31	-13	13	553	31	-13	13	553	31	-13	13	553	31	-13	13	553	31	-13	13	553	31	-13	13	553	31	-13	13	553	31	-13	13	553	31	-13	13	553	31	-13	13	553	31	-13	13	553	31	-13	13	553	31	-13	13	553	31	-13	13	553	31	-13	13	553	31	-13	13	553	31	-13	13	553	31	-13	13	553	31	-13	13	553	31	-13	13	553	31	-13	13	553	31	-13	13	553	31	-13	13	553
32	-15	15	568	32	-15	15	568	32	-15	15	568	32	-15	15	568	32	-15	15	568	32	-15	15	568	32	-15	15	568	32	-15	15	568	32	-15	15	568	32	-15	15	568	32	-15	15	568	32	-15	15	568	32	-15	15	568	32	-15	15	568	32	-15	15	568	32	-15	15	568	32	-15	15	568	32	-15	15	568	32	-15	15	568	32	-15	15	568	32	-15	15	568	32	-15	15	568	32	-15	15	568
33	-14	14	582	33	-14	14	582	33	-14	14	582	33	-14	14	582	33	-14	14	582	33	-14	14	582	33	-14	14	582	33	-14	14	582	33	-14	14	582	33	-14	14	582	33	-14	14	582	33	-14	14	582	33	-14	14	582	33	-14	14	582	33	-14	14	582	33	-14	14	582	33	-14	14	582	33	-14	14	582	33	-14	14	582	33	-14	14	582	33	-14	14	582	33	-14	14	582	33	-14	14	582
34	-17	17	599	34	-17	17	599	34	-17	17	599	34	-17	17	599	34	-17	17	599	34	-17	17	599	34	-17	17	599	34	-17	17	599	34	-17	17	599	34	-17	17	599	34	-17	17	599	34	-17	17	599	34	-17	17	599	34	-17	17	599	34	-17	17	599	34	-17	17	599	34	-17	17	599	34	-17	17	599	34	-17	17	599	34	-17	17	599	34	-17	17	599	34	-17	17	599	34	-17	17	599
35	-13	13	612	35	-13	13	612	35	-13	13	612	35	-13	13	612	35	-13	13	612	35	-13	13	612	35	-13	13	612	35	-13	13	612	35	-13	13	612	35	-13	13	612	35	-13	13	612	35	-13	13	612	35	-13	13	612	35	-13	13	612	35	-13	13	612	35	-13	13	612	35	-13	13	612	35	-13	13	612	35	-13	13	612	35	-13	13	612	35	-13	13	612	35	-13	13	612	35	-13	13	612
