Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-124	25	25	0	-124	25	25	0	-124	25	25	0	-124	25	25	0	-124	25	25	0	-124	25	25	0	-124	25	25	0	-124	25	25	0	-124	25	25	0	-124	25	25	0	-124	25	25	0	-124	25	25	0	-124	25	25	0	-124	25	25	0	-124	25	25	0	-124	25	25	0	-124	25	25	0	-124	25	25	0	-124	25	25	0	-124	25	25	0	-124	25	25	0	-124	25	25	0	-124	25	25	0	-124	25	25	0	-124	25	25	0	-124	25	25
1	-13	13	38	1	-13	13	38	1	-13	13	38	1	-13	13	38	1	-13	13	38	1	-13	13	38	1	-13	13	38	1	-13	13	38	1	-13	13	38	1	-13	13	38	1	-13	13	38	1	-13	13	38	1	-13	13	38	1	-13	13	38	1	-13	13	38	1	-13	13	38	1	-13	13	38	1	-13	13	38	1	-13	13	38	1	-13	13	38	1	-13	13	38	1	-13	13	38	1	-13	13	38	1	-13	13	38	1	-13	13	38	1	-13	13	38
2	-13	13	51	2	-13	13	51	2	-13	13	51	2	-13	13	51	2	-13	13	51	2	-13	13	51	2	-13	13	51	2	-13	13	51	2	-13	13	51	2	-13	13	51	2	-13	13	51	2	-13	13	51	2	-13	13	51	2	-13	13	51	2	-13	13	51	2	-13	13	51	2	-13	13	51	2	-13	13	51	2	-13	13	51	2	-13	13	51	2	-13	13	51	2	-13	13	51	2	-13	13	51	2	-13	13	51	2	-13	13	51	2	-13	13	51
3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66
4	-117	18	84	4	-117	18	84	4	-117	18	84	4	-117	18	84	4	-117	18	84	4	-117	18	84	4	-117	18	84	4	-117	18	84	4	-117	18	84	4	-117	18	84	4	-117	18	84	4	-117	18	84	4	-117	18	84	4	-117	18	84	4	-117	18	84	4	-117	18	84	4	-117	18	84	4	-117	18	84	4	-117	18	84	4	-117	18	84	4	-117	18	84	4	-117	18	84	4	-117	18	84	4	-117	18	84	4	-117	18	84	4	-117	18	84
5	-119	20	104	5	-119	20	104	5	-119	20	104	5	-119	20	104	5	-119	20	104	5	-119	20	104	5	-119	20	104	5	-119	20	104	5	-119	20	104	5	-119	20	104	5	-119	20	104	5	-119	20	104	5	-119	20	104	5	-119	20	104	5	-119	20	104	5	-119	20	104	5	-119	20	104	5	-119	20	104	5	-119	20	104	5	-119	20	104	5	-119	20	104	5	-119	20	104	5	-119	20	104	5	-119	20	104	5	-119	20	104	5	-119	20	104
6	-15	15	119	6	-15	15	119	6	-15	15	119	6	-15	15	119	6	-15	15	119	6	-15	15	119	6	-15	15	119	6	-15	15	119	6	-15	15	119	6	-15	15	119	6	-15	15	119	6	-15	15	119	6	-15	15	119	6	-15	15	119	6	-15	15	119	6	-15	15	119	6	-15	15	119	6	-15	15	119	6	-15	15	119	6	-15	15	119	6	-15	15	119	6	-15	15	119	6	-15	15	119	6	-15	15	119	6	-15	15	119	6	-15	15	119
7	-13	13	132	7	-13	13	132	7	-13	13	132	7	-13	13	132	7	-13	13	132	7	-13	13	132	7	-13	13	132	7	-13	13	132	7	-13	13	132	7	-13	13	132	7	-13	13	132	7	-13	13	132	7	-13	13	132	7	-13	13	132	7	-13	13	132	7	-13	13	132	7	-13	13	132	7	-13	13	132	7	-13	13	132	7	-13	13	132	7	-13	13	132	7	-13	13	132	7	-13	13	132	7	-13	13	132	7	-13	13	132	7	-13	13	132
8	-15	15	147	8	-15	15	147	8	-15	15	147	8	-15	15	147	8	-15	15	147	8	-15	15	147	8	-15	15	147	8	-15	15	147	8	-15	15	147	8	-15	15	147	8	-15	15	147	8	-15	15	147	8	-15	15	147	8	-15	15	147	8	-15	15	147	8	-15	15	147	8	-15	15	147	8	-15	15	147	8	-15	15	147	8	-15	15	147	8	-15	15	147	8	-15	15	147	8	-15	15	147	8	-15	15	147	8	-15	15	147	8	-15	15	147
9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162
