Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15
1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31	1	-16	16	31
2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55	2	-123	24	55
3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68	3	-13	13	68
4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87	4	-19	19	87
5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107	5	-119	20	107
6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122	6	-15	15	122
7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143	7	-318	21	143
8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156	8	-13	13	156
9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169	9	-13	13	169
