Episode	Accumulated Reward	Length	Steps
0	-1366	277	277
1	-1021	526	803
2	-234	135	938
3	-263	164	1102
4	-190	91	1193
5	-99	99	1292
6	-45	45	1337
7	-127	127	1464
8	-173	74	1538
9	-197	98	1636
10	-55	55	1691
11	-97	97	1788
12	-48	48	1836
13	-329	131	1967
14	-38	38	2005
15	-77	77	2082
16	-45	45	2127
17	-193	94	2221
18	-92	92	2313
19	-52	52	2365
20	-86	86	2451
21	-144	45	2496
22	-75	75	2571
23	-39	39	2610
24	-72	72	2682
25	-30	30	2712
26	-231	132	2844
27	-41	41	2885
28	-51	51	2936
29	-41	41	2977
30	-59	59	3036
31	-55	55	3091
32	-33	33	3124
33	-57	57	3181
34	-28	28	3209
35	-41	41	3250
36	-43	43	3293
37	-36	36	3329
38	-43	43	3372
39	-39	39	3411
40	-34	34	3445
41	-38	38	3483
42	-30	30	3513
43	-28	28	3541
44	-53	53	3594
45	-25	25	3619
46	-35	35	3654
47	-28	28	3682
48	-21	21	3703
49	-51	51	3754
50	-142	43	3797
51	-37	37	3834
52	-29	29	3863
53	-151	52	3915
54	-148	49	3964
55	-38	38	4002
56	-31	31	4033
57	-26	26	4059
58	-233	35	4094
59	-24	24	4118
60	-32	32	4150
61	-22	22	4172
62	-34	34	4206
63	-19	19	4225
64	-38	38	4263
65	-29	29	4292
66	-30	30	4322
67	-34	34	4356
68	-28	28	4384
69	-29	29	4413
70	-18	18	4431
71	-25	25	4456
72	-26	26	4482
73	-23	23	4505
74	-36	36	4541
75	-34	34	4575
76	-21	21	4596
77	-24	24	4620
78	-132	33	4653
79	-31	31	4684
80	-19	19	4703
81	-122	23	4726
82	-30	30	4756
83	-31	31	4787
84	-27	27	4814
85	-28	28	4842
86	-42	42	4884
87	-27	27	4911
88	-122	23	4934
89	-27	27	4961
90	-32	32	4993
91	-26	26	5019
92	-21	21	5040
93	-24	24	5064
94	-23	23	5087
95	-20	20	5107
96	-20	20	5127
97	-25	25	5152
98	-18	18	5170
99	-24	24	5194
100	-19	19	5213
101	-15	15	5228
102	-20	20	5248
103	-18	18	5266
104	-18	18	5284
105	-21	21	5305
106	-20	20	5325
107	-19	19	5344
108	-17	17	5361
109	-23	23	5384
110	-19	19	5403
111	-31	31	5434
112	-18	18	5452
113	-18	18	5470
114	-20	20	5490
115	-26	26	5516
116	-24	24	5540
117	-142	43	5583
118	-26	26	5609
119	-21	21	5630
120	-23	23	5653
121	-125	26	5679
122	-24	24	5703
123	-22	22	5725
124	-19	19	5744
125	-19	19	5763
126	-25	25	5788
127	-33	33	5821
128	-18	18	5839
129	-30	30	5869
130	-22	22	5891
131	-17	17	5908
132	-18	18	5926
133	-19	19	5945
134	-144	45	5990
135	-23	23	6013
136	-22	22	6035
137	-20	20	6055
138	-17	17	6072
139	-22	22	6094
140	-231	33	6127
141	-21	21	6148
142	-18	18	6166
143	-129	30	6196
144	-28	28	6224
145	-19	19	6243
146	-27	27	6270
147	-19	19	6289
148	-21	21	6310
149	-26	26	6336
150	-19	19	6355
151	-21	21	6376
152	-36	36	6412
153	-69	69	6481
154	-21	21	6502
155	-26	26	6528
156	-18	18	6546
157	-17	17	6563
158	-21	21	6584
159	-20	20	6604
160	-17	17	6621
161	-17	17	6638
162	-17	17	6655
163	-23	23	6678
164	-19	19	6697
165	-17	17	6714
166	-19	19	6733
167	-27	27	6760
168	-18	18	6778
169	-23	23	6801
170	-19	19	6820
171	-22	22	6842
172	-21	21	6863
173	-23	23	6886
174	-24	24	6910
175	-23	23	6933
176	-32	32	6965
177	-37	37	7002
178	-17	17	7019
179	-20	20	7039
180	-18	18	7057
181	-25	25	7082
182	-19	19	7101
183	-122	23	7124
184	-119	20	7144
185	-21	21	7165
186	-18	18	7183
187	-19	19	7202
188	-18	18	7220
189	-20	20	7240
190	-22	22	7262
191	-22	22	7284
192	-27	27	7311
193	-23	23	7334
194	-18	18	7352
195	-18	18	7370
196	-20	20	7390
197	-17	17	7407
198	-17	17	7424
199	-25	25	7449
200	-23	23	7472
201	-17	17	7489
202	-17	17	7506
203	-26	26	7532
204	-17	17	7549
205	-19	19	7568
206	-17	17	7585
207	-19	19	7604
208	-19	19	7623
209	-17	17	7640
210	-18	18	7658
211	-25	25	7683
212	-24	24	7707
213	-19	19	7726
214	-18	18	7744
215	-20	20	7764
216	-17	17	7781
217	-20	20	7801
218	-19	19	7820
219	-120	21	7841
220	-118	19	7860
221	-17	17	7877
222	-19	19	7896
223	-22	22	7918
224	-28	28	7946
225	-23	23	7969
226	-17	17	7986
227	-17	17	8003
228	-17	17	8020
229	-20	20	8040
230	-19	19	8059
231	-17	17	8076
232	-19	19	8095
233	-21	21	8116
234	-20	20	8136
235	-17	17	8153
236	-18	18	8171
237	-19	19	8190
238	-20	20	8210
239	-21	21	8231
240	-18	18	8249
241	-22	22	8271
242	-17	17	8288
243	-17	17	8305
244	-18	18	8323
245	-18	18	8341
246	-19	19	8360
247	-20	20	8380
248	-23	23	8403
249	-20	20	8423
250	-26	26	8449
251	-21	21	8470
252	-20	20	8490
253	-25	25	8515
254	-18	18	8533
255	-17	17	8550
256	-20	20	8570
257	-19	19	8589
258	-17	17	8606
259	-22	22	8628
260	-22	22	8650
261	-18	18	8668
262	-18	18	8686
263	-17	17	8703
264	-21	21	8724
265	-19	19	8743
266	-20	20	8763
267	-25	25	8788
268	-22	22	8810
269	-20	20	8830
270	-19	19	8849
271	-22	22	8871
272	-18	18	8889
273	-23	23	8912
274	-17	17	8929
275	-19	19	8948
276	-17	17	8965
277	-24	24	8989
278	-19	19	9008
279	-21	21	9029
280	-120	21	9050
281	-19	19	9069
282	-19	19	9088
283	-17	17	9105
284	-20	20	9125
285	-17	17	9142
286	-18	18	9160
287	-17	17	9177
288	-25	25	9202
289	-24	24	9226
290	-25	25	9251
291	-23	23	9274
292	-25	25	9299
293	-17	17	9316
294	-17	17	9333
295	-19	19	9352
296	-17	17	9369
297	-21	21	9390
298	-20	20	9410
299	-17	17	9427
300	-21	21	9448
301	-21	21	9469
302	-19	19	9488
303	-20	20	9508
304	-120	21	9529
305	-19	19	9548
306	-118	19	9567
307	-17	17	9584
308	-22	22	9606
309	-17	17	9623
310	-18	18	9641
311	-19	19	9660
312	-21	21	9681
313	-17	17	9698
314	-17	17	9715
315	-19	19	9734
316	-21	21	9755
317	-19	19	9774
318	-22	22	9796
319	-18	18	9814
320	-20	20	9834
321	-23	23	9857
322	-17	17	9874
323	-24	24	9898
324	-18	18	9916
325	-19	19	9935
326	-17	17	9952
327	-17	17	9969
328	-19	19	9988
329	-18	18	10006
330	-21	21	10027
331	-21	21	10048
332	-23	23	10071
333	-21	21	10092
334	-17	17	10109
335	-20	20	10129
336	-18	18	10147
337	-21	21	10168
338	-23	23	10191
339	-117	18	10209
340	-17	17	10226
341	-17	17	10243
342	-17	17	10260
343	-18	18	10278
344	-17	17	10295
