Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1911	525	525	0	-1911	525	525	0	-1911	525	525	0	-1911	525	525
1	-399	201	726	1	-399	201	726	1	-399	201	726	1	-399	201	726
2	-120	120	846	2	-120	120	846	2	-120	120	846	2	-120	120	846
3	-265	166	1012	3	-265	166	1012	3	-265	166	1012	3	-265	166	1012
4	-94	94	1106	4	-94	94	1106	4	-94	94	1106	4	-94	94	1106
5	-97	97	1203	5	-97	97	1203	5	-97	97	1203	5	-97	97	1203
6	-89	89	1292	6	-89	89	1292	6	-89	89	1292	6	-89	89	1292
7	-104	104	1396	7	-104	104	1396	7	-104	104	1396	7	-104	104	1396
8	-202	103	1499	8	-202	103	1499	8	-202	103	1499	8	-202	103	1499
9	-27	27	1526	9	-27	27	1526	9	-27	27	1526	9	-27	27	1526
10	-87	87	1613	10	-87	87	1613	10	-87	87	1613	10	-87	87	1613
11	-202	103	1716	11	-202	103	1716	11	-202	103	1716	11	-202	103	1716
12	-85	85	1801	12	-85	85	1801	12	-85	85	1801	12	-85	85	1801
13	-216	117	1918	13	-216	117	1918	13	-216	117	1918	13	-216	117	1918
14	-26	26	1944	14	-26	26	1944	14	-26	26	1944	14	-26	26	1944
15	-320	122	2066	15	-320	122	2066	15	-320	122	2066	15	-320	122	2066
16	-202	103	2169	16	-202	103	2169	16	-202	103	2169	16	-202	103	2169
17	-93	93	2262	17	-93	93	2262	17	-93	93	2262	17	-93	93	2262
18	-75	75	2337	18	-75	75	2337	18	-75	75	2337	18	-75	75	2337
19	-78	78	2415	19	-78	78	2415	19	-78	78	2415	19	-78	78	2415
20	-169	70	2485	20	-169	70	2485	20	-169	70	2485	20	-169	70	2485
21	-70	70	2555	21	-70	70	2555	21	-70	70	2555	21	-70	70	2555
22	-67	67	2622	22	-67	67	2622	22	-67	67	2622	22	-67	67	2622
23	-40	40	2662	23	-40	40	2662	23	-40	40	2662	23	-40	40	2662
24	-64	64	2726	24	-64	64	2726	24	-64	64	2726	24	-64	64	2726
25	-137	38	2764	25	-137	38	2764	25	-137	38	2764	25	-137	38	2764
26	-35	35	2799	26	-35	35	2799	26	-35	35	2799	26	-35	35	2799
27	-45	45	2844	27	-45	45	2844	27	-45	45	2844	27	-45	45	2844
28	-55	55	2899	28	-55	55	2899	28	-55	55	2899	28	-55	55	2899
29	-28	28	2927	29	-28	28	2927	29	-28	28	2927	29	-28	28	2927
30	-31	31	2958	30	-31	31	2958	30	-31	31	2958	30	-31	31	2958
31	-55	55	3013	31	-55	55	3013	31	-55	55	3013	31	-55	55	3013
32	-49	49	3062	32	-49	49	3062	32	-49	49	3062	32	-49	49	3062
33	-205	106	3168	33	-205	106	3168	33	-205	106	3168	33	-205	106	3168
34	-34	34	3202	34	-34	34	3202	34	-34	34	3202	34	-34	34	3202
35	-40	40	3242	35	-40	40	3242	35	-40	40	3242	35	-40	40	3242
36	-51	51	3293	36	-51	51	3293	36	-51	51	3293	36	-51	51	3293
37	-158	59	3352	37	-158	59	3352	37	-158	59	3352	37	-158	59	3352
38	-46	46	3398	38	-46	46	3398	38	-46	46	3398	38	-46	46	3398
39	-57	57	3455	39	-57	57	3455	39	-57	57	3455	39	-57	57	3455
40	-58	58	3513	40	-58	58	3513	40	-58	58	3513	40	-58	58	3513
41	-53	53	3566	41	-53	53	3566	41	-53	53	3566	41	-53	53	3566
42	-142	43	3609	42	-142	43	3609	42	-142	43	3609	42	-142	43	3609
43	-279	81	3690	43	-279	81	3690	43	-279	81	3690	43	-279	81	3690
44	-39	39	3729	44	-39	39	3729	44	-39	39	3729	44	-39	39	3729
45	-32	32	3761	45	-32	32	3761	45	-32	32	3761	45	-32	32	3761
46	-173	74	3835	46	-173	74	3835	46	-173	74	3835	46	-173	74	3835
47	-41	41	3876	47	-41	41	3876	47	-41	41	3876	47	-41	41	3876
48	-30	30	3906	48	-30	30	3906	48	-30	30	3906	48	-30	30	3906
49	-50	50	3956	49	-50	50	3956	49	-50	50	3956	49	-50	50	3956
50	-32	32	3988	50	-32	32	3988	50	-32	32	3988	50	-32	32	3988
51	-27	27	4015	51	-27	27	4015	51	-27	27	4015	51	-27	27	4015
52	-29	29	4044	52	-29	29	4044	52	-29	29	4044	52	-29	29	4044
53	-31	31	4075	53	-31	31	4075	53	-31	31	4075	53	-31	31	4075
54	-38	38	4113	54	-38	38	4113	54	-38	38	4113	54	-38	38	4113
55	-23	23	4136	55	-23	23	4136	55	-23	23	4136	55	-23	23	4136
56	-29	29	4165	56	-29	29	4165	56	-29	29	4165	56	-29	29	4165
57	-31	31	4196	57	-31	31	4196	57	-31	31	4196	57	-31	31	4196
58	-22	22	4218	58	-22	22	4218	58	-22	22	4218	58	-22	22	4218
59	-145	46	4264	59	-145	46	4264	59	-145	46	4264	59	-145	46	4264
60	-52	52	4316	60	-52	52	4316	60	-52	52	4316	60	-52	52	4316
61	-26	26	4342	61	-26	26	4342	61	-26	26	4342	61	-26	26	4342
62	-31	31	4373	62	-31	31	4373	62	-31	31	4373	62	-31	31	4373
63	-21	21	4394	63	-21	21	4394	63	-21	21	4394	63	-21	21	4394
64	-28	28	4422	64	-28	28	4422	64	-28	28	4422	64	-28	28	4422
65	-34	34	4456	65	-34	34	4456	65	-34	34	4456	65	-34	34	4456
66	-34	34	4490	66	-34	34	4490	66	-34	34	4490	66	-34	34	4490
67	-27	27	4517	67	-27	27	4517	67	-27	27	4517	67	-27	27	4517
68	-31	31	4548	68	-31	31	4548	68	-31	31	4548	68	-31	31	4548
69	-32	32	4580	69	-32	32	4580	69	-32	32	4580	69	-32	32	4580
70	-134	35	4615	70	-134	35	4615	70	-134	35	4615	70	-134	35	4615
71	-27	27	4642	71	-27	27	4642	71	-27	27	4642	71	-27	27	4642
72	-19	19	4661	72	-19	19	4661	72	-19	19	4661	72	-19	19	4661
73	-15	15	4676	73	-15	15	4676	73	-15	15	4676	73	-15	15	4676
74	-29	29	4705	74	-29	29	4705	74	-29	29	4705	74	-29	29	4705
75	-22	22	4727	75	-22	22	4727	75	-22	22	4727	75	-22	22	4727
76	-19	19	4746	76	-19	19	4746	76	-19	19	4746	76	-19	19	4746
77	-23	23	4769	77	-23	23	4769	77	-23	23	4769	77	-23	23	4769
78	-38	38	4807	78	-38	38	4807	78	-38	38	4807	78	-38	38	4807
79	-23	23	4830	79	-23	23	4830	79	-23	23	4830	79	-23	23	4830
80	-25	25	4855	80	-25	25	4855	80	-25	25	4855	80	-25	25	4855
81	-25	25	4880	81	-25	25	4880	81	-25	25	4880	81	-25	25	4880
82	-25	25	4905	82	-25	25	4905	82	-25	25	4905	82	-25	25	4905
83	-20	20	4925	83	-20	20	4925	83	-20	20	4925	83	-20	20	4925
84	-26	26	4951	84	-26	26	4951	84	-26	26	4951	84	-26	26	4951
85	-25	25	4976	85	-25	25	4976	85	-25	25	4976	85	-25	25	4976
86	-28	28	5004	86	-28	28	5004	86	-28	28	5004	86	-28	28	5004
87	-27	27	5031	87	-27	27	5031	87	-27	27	5031	87	-27	27	5031
88	-26	26	5057	88	-26	26	5057	88	-26	26	5057	88	-26	26	5057
89	-27	27	5084	89	-27	27	5084	89	-27	27	5084	89	-27	27	5084
90	-31	31	5115	90	-31	31	5115	90	-31	31	5115	90	-31	31	5115
91	-30	30	5145	91	-30	30	5145	91	-30	30	5145	91	-30	30	5145
92	-21	21	5166	92	-21	21	5166	92	-21	21	5166	92	-21	21	5166
93	-25	25	5191	93	-25	25	5191	93	-25	25	5191	93	-25	25	5191
94	-18	18	5209	94	-18	18	5209	94	-18	18	5209	94	-18	18	5209
95	-25	25	5234	95	-25	25	5234	95	-25	25	5234	95	-25	25	5234
96	-22	22	5256	96	-22	22	5256	96	-22	22	5256	96	-22	22	5256
97	-19	19	5275	97	-19	19	5275	97	-19	19	5275	97	-19	19	5275
98	-23	23	5298	98	-23	23	5298	98	-23	23	5298	98	-23	23	5298
99	-24	24	5322	99	-24	24	5322	99	-24	24	5322	99	-24	24	5322
100	-19	19	5341	100	-19	19	5341	100	-19	19	5341	100	-19	19	5341
101	-22	22	5363	101	-22	22	5363	101	-22	22	5363	101	-22	22	5363
102	-18	18	5381	102	-18	18	5381	102	-18	18	5381	102	-18	18	5381
103	-16	16	5397	103	-16	16	5397	103	-16	16	5397	103	-16	16	5397
104	-15	15	5412	104	-15	15	5412	104	-15	15	5412	104	-15	15	5412
105	-27	27	5439	105	-27	27	5439	105	-27	27	5439	105	-27	27	5439
106	-130	31	5470	106	-130	31	5470	106	-130	31	5470	106	-130	31	5470
107	-15	15	5485	107	-15	15	5485	107	-15	15	5485	107	-15	15	5485
108	-23	23	5508	108	-23	23	5508	108	-23	23	5508	108	-23	23	5508
109	-18	18	5526	109	-18	18	5526	109	-18	18	5526	109	-18	18	5526
110	-16	16	5542	110	-16	16	5542	110	-16	16	5542	110	-16	16	5542
111	-18	18	5560	111	-18	18	5560	111	-18	18	5560	111	-18	18	5560
112	-19	19	5579	112	-19	19	5579	112	-19	19	5579	112	-19	19	5579
113	-17	17	5596	113	-17	17	5596	113	-17	17	5596	113	-17	17	5596
114	-19	19	5615	114	-19	19	5615	114	-19	19	5615	114	-19	19	5615
115	-120	21	5636	115	-120	21	5636	115	-120	21	5636	115	-120	21	5636
116	-22	22	5658	116	-22	22	5658	116	-22	22	5658	116	-22	22	5658
117	-24	24	5682	117	-24	24	5682	117	-24	24	5682	117	-24	24	5682
118	-22	22	5704	118	-22	22	5704	118	-22	22	5704	118	-22	22	5704
119	-20	20	5724	119	-20	20	5724	119	-20	20	5724	119	-20	20	5724
120	-124	25	5749	120	-124	25	5749	120	-124	25	5749	120	-124	25	5749
121	-17	17	5766	121	-17	17	5766	121	-17	17	5766	121	-17	17	5766
122	-23	23	5789	122	-23	23	5789	122	-23	23	5789	122	-23	23	5789
123	-20	20	5809	123	-20	20	5809	123	-20	20	5809	123	-20	20	5809
124	-23	23	5832	124	-23	23	5832	124	-23	23	5832	124	-23	23	5832
125	-19	19	5851	125	-19	19	5851	125	-19	19	5851	125	-19	19	5851
126	-18	18	5869	126	-18	18	5869	126	-18	18	5869	126	-18	18	5869
127	-18	18	5887	127	-18	18	5887	127	-18	18	5887	127	-18	18	5887
128	-25	25	5912	128	-25	25	5912	128	-25	25	5912	128	-25	25	5912
129	-121	22	5934	129	-121	22	5934	129	-121	22	5934	129	-121	22	5934
130	-17	17	5951	130	-17	17	5951	130	-17	17	5951	130	-17	17	5951
131	-124	25	5976	131	-124	25	5976	131	-124	25	5976	131	-124	25	5976
132	-22	22	5998	132	-22	22	5998	132	-22	22	5998	132	-22	22	5998
133	-22	22	6020	133	-22	22	6020	133	-22	22	6020	133	-22	22	6020
134	-19	19	6039	134	-19	19	6039	134	-19	19	6039	134	-19	19	6039
135	-20	20	6059	135	-20	20	6059	135	-20	20	6059	135	-20	20	6059
136	-21	21	6080	136	-21	21	6080	136	-21	21	6080	136	-21	21	6080
137	-46	46	6126	137	-46	46	6126	137	-46	46	6126	137	-46	46	6126
138	-23	23	6149	138	-23	23	6149	138	-23	23	6149	138	-23	23	6149
139	-19	19	6168	139	-19	19	6168	139	-19	19	6168	139	-19	19	6168
140	-25	25	6193	140	-25	25	6193	140	-25	25	6193	140	-25	25	6193
141	-22	22	6215	141	-22	22	6215	141	-22	22	6215	141	-22	22	6215
142	-18	18	6233	142	-18	18	6233	142	-18	18	6233	142	-18	18	6233
143	-20	20	6253	143	-20	20	6253	143	-20	20	6253	143	-20	20	6253
144	-19	19	6272	144	-19	19	6272	144	-19	19	6272	144	-19	19	6272
145	-18	18	6290	145	-18	18	6290	145	-18	18	6290	145	-18	18	6290
146	-21	21	6311	146	-21	21	6311	146	-21	21	6311	146	-21	21	6311
147	-19	19	6330	147	-19	19	6330	147	-19	19	6330	147	-19	19	6330
148	-19	19	6349	148	-19	19	6349	148	-19	19	6349	148	-19	19	6349
149	-25	25	6374	149	-25	25	6374	149	-25	25	6374	149	-25	25	6374
150	-17	17	6391	150	-17	17	6391	150	-17	17	6391	150	-17	17	6391
151	-17	17	6408	151	-17	17	6408	151	-17	17	6408	151	-17	17	6408
152	-20	20	6428	152	-20	20	6428	152	-20	20	6428	152	-20	20	6428
