Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1233	342	342	0	-1233	342	342	0	-1233	342	342	0	-1233	342	342	0	-1233	342	342	0	-1233	342	342	0	-1233	342	342
1	-1069	475	817	1	-1069	475	817	1	-1069	475	817	1	-1069	475	817	1	-1069	475	817	1	-1069	475	817	1	-1069	475	817
2	-121	121	938	2	-121	121	938	2	-121	121	938	2	-121	121	938	2	-121	121	938	2	-121	121	938	2	-121	121	938
3	-413	215	1153	3	-413	215	1153	3	-413	215	1153	3	-413	215	1153	3	-413	215	1153	3	-413	215	1153	3	-413	215	1153
4	-368	170	1323	4	-368	170	1323	4	-368	170	1323	4	-368	170	1323	4	-368	170	1323	4	-368	170	1323	4	-368	170	1323
5	-115	115	1438	5	-115	115	1438	5	-115	115	1438	5	-115	115	1438	5	-115	115	1438	5	-115	115	1438	5	-115	115	1438
6	-158	158	1596	6	-158	158	1596	6	-158	158	1596	6	-158	158	1596	6	-158	158	1596	6	-158	158	1596	6	-158	158	1596
7	-66	66	1662	7	-66	66	1662	7	-66	66	1662	7	-66	66	1662	7	-66	66	1662	7	-66	66	1662	7	-66	66	1662
8	-175	76	1738	8	-175	76	1738	8	-175	76	1738	8	-175	76	1738	8	-175	76	1738	8	-175	76	1738	8	-175	76	1738
9	-239	140	1878	9	-239	140	1878	9	-239	140	1878	9	-239	140	1878	9	-239	140	1878	9	-239	140	1878	9	-239	140	1878
10	-55	55	1933	10	-55	55	1933	10	-55	55	1933	10	-55	55	1933	10	-55	55	1933	10	-55	55	1933	10	-55	55	1933
11	-195	96	2029	11	-195	96	2029	11	-195	96	2029	11	-195	96	2029	11	-195	96	2029	11	-195	96	2029	11	-195	96	2029
12	-62	62	2091	12	-62	62	2091	12	-62	62	2091	12	-62	62	2091	12	-62	62	2091	12	-62	62	2091	12	-62	62	2091
13	-72	72	2163	13	-72	72	2163	13	-72	72	2163	13	-72	72	2163	13	-72	72	2163	13	-72	72	2163	13	-72	72	2163
14	-55	55	2218	14	-55	55	2218	14	-55	55	2218	14	-55	55	2218	14	-55	55	2218	14	-55	55	2218	14	-55	55	2218
15	-168	69	2287	15	-168	69	2287	15	-168	69	2287	15	-168	69	2287	15	-168	69	2287	15	-168	69	2287	15	-168	69	2287
16	-29	29	2316	16	-29	29	2316	16	-29	29	2316	16	-29	29	2316	16	-29	29	2316	16	-29	29	2316	16	-29	29	2316
17	-65	65	2381	17	-65	65	2381	17	-65	65	2381	17	-65	65	2381	17	-65	65	2381	17	-65	65	2381	17	-65	65	2381
18	-169	70	2451	18	-169	70	2451	18	-169	70	2451	18	-169	70	2451	18	-169	70	2451	18	-169	70	2451	18	-169	70	2451
19	-44	44	2495	19	-44	44	2495	19	-44	44	2495	19	-44	44	2495	19	-44	44	2495	19	-44	44	2495	19	-44	44	2495
20	-61	61	2556	20	-61	61	2556	20	-61	61	2556	20	-61	61	2556	20	-61	61	2556	20	-61	61	2556	20	-61	61	2556
21	-170	71	2627	21	-170	71	2627	21	-170	71	2627	21	-170	71	2627	21	-170	71	2627	21	-170	71	2627	21	-170	71	2627
22	-45	45	2672	22	-45	45	2672	22	-45	45	2672	22	-45	45	2672	22	-45	45	2672	22	-45	45	2672	22	-45	45	2672
23	-196	97	2769	23	-196	97	2769	23	-196	97	2769	23	-196	97	2769	23	-196	97	2769	23	-196	97	2769	23	-196	97	2769
24	-45	45	2814	24	-45	45	2814	24	-45	45	2814	24	-45	45	2814	24	-45	45	2814	24	-45	45	2814	24	-45	45	2814
25	-130	31	2845	25	-130	31	2845	25	-130	31	2845	25	-130	31	2845	25	-130	31	2845	25	-130	31	2845	25	-130	31	2845
26	-39	39	2884	26	-39	39	2884	26	-39	39	2884	26	-39	39	2884	26	-39	39	2884	26	-39	39	2884	26	-39	39	2884
27	-166	67	2951	27	-166	67	2951	27	-166	67	2951	27	-166	67	2951	27	-166	67	2951	27	-166	67	2951	27	-166	67	2951
28	-149	50	3001	28	-149	50	3001	28	-149	50	3001	28	-149	50	3001	28	-149	50	3001	28	-149	50	3001	28	-149	50	3001
29	-37	37	3038	29	-37	37	3038	29	-37	37	3038	29	-37	37	3038	29	-37	37	3038	29	-37	37	3038	29	-37	37	3038
30	-59	59	3097	30	-59	59	3097	30	-59	59	3097	30	-59	59	3097	30	-59	59	3097	30	-59	59	3097	30	-59	59	3097
31	-30	30	3127	31	-30	30	3127	31	-30	30	3127	31	-30	30	3127	31	-30	30	3127	31	-30	30	3127	31	-30	30	3127
32	-23	23	3150	32	-23	23	3150	32	-23	23	3150	32	-23	23	3150	32	-23	23	3150	32	-23	23	3150	32	-23	23	3150
33	-45	45	3195	33	-45	45	3195	33	-45	45	3195	33	-45	45	3195	33	-45	45	3195	33	-45	45	3195	33	-45	45	3195
34	-45	45	3240	34	-45	45	3240	34	-45	45	3240	34	-45	45	3240	34	-45	45	3240	34	-45	45	3240	34	-45	45	3240
35	-41	41	3281	35	-41	41	3281	35	-41	41	3281	35	-41	41	3281	35	-41	41	3281	35	-41	41	3281	35	-41	41	3281
36	-35	35	3316	36	-35	35	3316	36	-35	35	3316	36	-35	35	3316	36	-35	35	3316	36	-35	35	3316	36	-35	35	3316
37	-142	43	3359	37	-142	43	3359	37	-142	43	3359	37	-142	43	3359	37	-142	43	3359	37	-142	43	3359	37	-142	43	3359
38	-32	32	3391	38	-32	32	3391	38	-32	32	3391	38	-32	32	3391	38	-32	32	3391	38	-32	32	3391	38	-32	32	3391
39	-45	45	3436	39	-45	45	3436	39	-45	45	3436	39	-45	45	3436	39	-45	45	3436	39	-45	45	3436	39	-45	45	3436
40	-40	40	3476	40	-40	40	3476	40	-40	40	3476	40	-40	40	3476	40	-40	40	3476	40	-40	40	3476	40	-40	40	3476
41	-39	39	3515	41	-39	39	3515	41	-39	39	3515	41	-39	39	3515	41	-39	39	3515	41	-39	39	3515	41	-39	39	3515
42	-30	30	3545	42	-30	30	3545	42	-30	30	3545	42	-30	30	3545	42	-30	30	3545	42	-30	30	3545	42	-30	30	3545
43	-29	29	3574	43	-29	29	3574	43	-29	29	3574	43	-29	29	3574	43	-29	29	3574	43	-29	29	3574	43	-29	29	3574
44	-75	75	3649	44	-75	75	3649	44	-75	75	3649	44	-75	75	3649	44	-75	75	3649	44	-75	75	3649	44	-75	75	3649
45	-162	63	3712	45	-162	63	3712	45	-162	63	3712	45	-162	63	3712	45	-162	63	3712	45	-162	63	3712	45	-162	63	3712
46	-152	53	3765	46	-152	53	3765	46	-152	53	3765	46	-152	53	3765	46	-152	53	3765	46	-152	53	3765	46	-152	53	3765
47	-26	26	3791	47	-26	26	3791	47	-26	26	3791	47	-26	26	3791	47	-26	26	3791	47	-26	26	3791	47	-26	26	3791
48	-28	28	3819	48	-28	28	3819	48	-28	28	3819	48	-28	28	3819	48	-28	28	3819	48	-28	28	3819	48	-28	28	3819
49	-39	39	3858	49	-39	39	3858	49	-39	39	3858	49	-39	39	3858	49	-39	39	3858	49	-39	39	3858	49	-39	39	3858
50	-33	33	3891	50	-33	33	3891	50	-33	33	3891	50	-33	33	3891	50	-33	33	3891	50	-33	33	3891	50	-33	33	3891
51	-50	50	3941	51	-50	50	3941	51	-50	50	3941	51	-50	50	3941	51	-50	50	3941	51	-50	50	3941	51	-50	50	3941
52	-33	33	3974	52	-33	33	3974	52	-33	33	3974	52	-33	33	3974	52	-33	33	3974	52	-33	33	3974	52	-33	33	3974
53	-27	27	4001	53	-27	27	4001	53	-27	27	4001	53	-27	27	4001	53	-27	27	4001	53	-27	27	4001	53	-27	27	4001
54	-20	20	4021	54	-20	20	4021	54	-20	20	4021	54	-20	20	4021	54	-20	20	4021	54	-20	20	4021	54	-20	20	4021
55	-22	22	4043	55	-22	22	4043	55	-22	22	4043	55	-22	22	4043	55	-22	22	4043	55	-22	22	4043	55	-22	22	4043
56	-20	20	4063	56	-20	20	4063	56	-20	20	4063	56	-20	20	4063	56	-20	20	4063	56	-20	20	4063	56	-20	20	4063
57	-23	23	4086	57	-23	23	4086	57	-23	23	4086	57	-23	23	4086	57	-23	23	4086	57	-23	23	4086	57	-23	23	4086
58	-34	34	4120	58	-34	34	4120	58	-34	34	4120	58	-34	34	4120	58	-34	34	4120	58	-34	34	4120	58	-34	34	4120
59	-117	18	4138	59	-117	18	4138	59	-117	18	4138	59	-117	18	4138	59	-117	18	4138	59	-117	18	4138	59	-117	18	4138
60	-26	26	4164	60	-26	26	4164	60	-26	26	4164	60	-26	26	4164	60	-26	26	4164	60	-26	26	4164	60	-26	26	4164
61	-26	26	4190	61	-26	26	4190	61	-26	26	4190	61	-26	26	4190	61	-26	26	4190	61	-26	26	4190	61	-26	26	4190
62	-25	25	4215	62	-25	25	4215	62	-25	25	4215	62	-25	25	4215	62	-25	25	4215	62	-25	25	4215	62	-25	25	4215
63	-24	24	4239	63	-24	24	4239	63	-24	24	4239	63	-24	24	4239	63	-24	24	4239	63	-24	24	4239	63	-24	24	4239
64	-24	24	4263	64	-24	24	4263	64	-24	24	4263	64	-24	24	4263	64	-24	24	4263	64	-24	24	4263	64	-24	24	4263
65	-16	16	4279	65	-16	16	4279	65	-16	16	4279	65	-16	16	4279	65	-16	16	4279	65	-16	16	4279	65	-16	16	4279
66	-24	24	4303	66	-24	24	4303	66	-24	24	4303	66	-24	24	4303	66	-24	24	4303	66	-24	24	4303	66	-24	24	4303
67	-38	38	4341	67	-38	38	4341	67	-38	38	4341	67	-38	38	4341	67	-38	38	4341	67	-38	38	4341	67	-38	38	4341
68	-19	19	4360	68	-19	19	4360	68	-19	19	4360	68	-19	19	4360	68	-19	19	4360	68	-19	19	4360	68	-19	19	4360
69	-15	15	4375	69	-15	15	4375	69	-15	15	4375	69	-15	15	4375	69	-15	15	4375	69	-15	15	4375	69	-15	15	4375
70	-30	30	4405	70	-30	30	4405	70	-30	30	4405	70	-30	30	4405	70	-30	30	4405	70	-30	30	4405	70	-30	30	4405
71	-31	31	4436	71	-31	31	4436	71	-31	31	4436	71	-31	31	4436	71	-31	31	4436	71	-31	31	4436	71	-31	31	4436
72	-18	18	4454	72	-18	18	4454	72	-18	18	4454	72	-18	18	4454	72	-18	18	4454	72	-18	18	4454	72	-18	18	4454
73	-33	33	4487	73	-33	33	4487	73	-33	33	4487	73	-33	33	4487	73	-33	33	4487	73	-33	33	4487	73	-33	33	4487
74	-23	23	4510	74	-23	23	4510	74	-23	23	4510	74	-23	23	4510	74	-23	23	4510	74	-23	23	4510	74	-23	23	4510
75	-26	26	4536	75	-26	26	4536	75	-26	26	4536	75	-26	26	4536	75	-26	26	4536	75	-26	26	4536	75	-26	26	4536
76	-26	26	4562	76	-26	26	4562	76	-26	26	4562	76	-26	26	4562	76	-26	26	4562	76	-26	26	4562	76	-26	26	4562
77	-26	26	4588	77	-26	26	4588	77	-26	26	4588	77	-26	26	4588	77	-26	26	4588	77	-26	26	4588	77	-26	26	4588
78	-23	23	4611	78	-23	23	4611	78	-23	23	4611	78	-23	23	4611	78	-23	23	4611	78	-23	23	4611	78	-23	23	4611
79	-28	28	4639	79	-28	28	4639	79	-28	28	4639	79	-28	28	4639	79	-28	28	4639	79	-28	28	4639	79	-28	28	4639
