Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1832	644	644	0	-1832	644	644	0	-1832	644	644	0	-1832	644	644	0	-1832	644	644	0	-1832	644	644	0	-1832	644	644	0	-1832	644	644	0	-1832	644	644	0	-1832	644	644
1	-297	198	842	1	-297	198	842	1	-297	198	842	1	-297	198	842	1	-297	198	842	1	-297	198	842	1	-297	198	842	1	-297	198	842	1	-297	198	842	1	-297	198	842
2	-109	109	951	2	-109	109	951	2	-109	109	951	2	-109	109	951	2	-109	109	951	2	-109	109	951	2	-109	109	951	2	-109	109	951	2	-109	109	951	2	-109	109	951
3	-653	257	1208	3	-653	257	1208	3	-653	257	1208	3	-653	257	1208	3	-653	257	1208	3	-653	257	1208	3	-653	257	1208	3	-653	257	1208	3	-653	257	1208	3	-653	257	1208
4	-108	108	1316	4	-108	108	1316	4	-108	108	1316	4	-108	108	1316	4	-108	108	1316	4	-108	108	1316	4	-108	108	1316	4	-108	108	1316	4	-108	108	1316	4	-108	108	1316
5	-82	82	1398	5	-82	82	1398	5	-82	82	1398	5	-82	82	1398	5	-82	82	1398	5	-82	82	1398	5	-82	82	1398	5	-82	82	1398	5	-82	82	1398	5	-82	82	1398
6	-185	185	1583	6	-185	185	1583	6	-185	185	1583	6	-185	185	1583	6	-185	185	1583	6	-185	185	1583	6	-185	185	1583	6	-185	185	1583	6	-185	185	1583	6	-185	185	1583
7	-46	46	1629	7	-46	46	1629	7	-46	46	1629	7	-46	46	1629	7	-46	46	1629	7	-46	46	1629	7	-46	46	1629	7	-46	46	1629	7	-46	46	1629	7	-46	46	1629
8	-431	233	1862	8	-431	233	1862	8	-431	233	1862	8	-431	233	1862	8	-431	233	1862	8	-431	233	1862	8	-431	233	1862	8	-431	233	1862	8	-431	233	1862	8	-431	233	1862
9	-97	97	1959	9	-97	97	1959	9	-97	97	1959	9	-97	97	1959	9	-97	97	1959	9	-97	97	1959	9	-97	97	1959	9	-97	97	1959	9	-97	97	1959	9	-97	97	1959
10	-32	32	1991	10	-32	32	1991	10	-32	32	1991	10	-32	32	1991	10	-32	32	1991	10	-32	32	1991	10	-32	32	1991	10	-32	32	1991	10	-32	32	1991	10	-32	32	1991
11	-112	112	2103	11	-112	112	2103	11	-112	112	2103	11	-112	112	2103	11	-112	112	2103	11	-112	112	2103	11	-112	112	2103	11	-112	112	2103	11	-112	112	2103	11	-112	112	2103
12	-173	74	2177	12	-173	74	2177	12	-173	74	2177	12	-173	74	2177	12	-173	74	2177	12	-173	74	2177	12	-173	74	2177	12	-173	74	2177	12	-173	74	2177	12	-173	74	2177
13	-189	90	2267	13	-189	90	2267	13	-189	90	2267	13	-189	90	2267	13	-189	90	2267	13	-189	90	2267	13	-189	90	2267	13	-189	90	2267	13	-189	90	2267	13	-189	90	2267
14	-294	96	2363	14	-294	96	2363	14	-294	96	2363	14	-294	96	2363	14	-294	96	2363	14	-294	96	2363	14	-294	96	2363	14	-294	96	2363	14	-294	96	2363	14	-294	96	2363
15	-38	38	2401	15	-38	38	2401	15	-38	38	2401	15	-38	38	2401	15	-38	38	2401	15	-38	38	2401	15	-38	38	2401	15	-38	38	2401	15	-38	38	2401	15	-38	38	2401
16	-34	34	2435	16	-34	34	2435	16	-34	34	2435	16	-34	34	2435	16	-34	34	2435	16	-34	34	2435	16	-34	34	2435	16	-34	34	2435	16	-34	34	2435	16	-34	34	2435
17	-103	103	2538	17	-103	103	2538	17	-103	103	2538	17	-103	103	2538	17	-103	103	2538	17	-103	103	2538	17	-103	103	2538	17	-103	103	2538	17	-103	103	2538	17	-103	103	2538
18	-309	111	2649	18	-309	111	2649	18	-309	111	2649	18	-309	111	2649	18	-309	111	2649	18	-309	111	2649	18	-309	111	2649	18	-309	111	2649	18	-309	111	2649	18	-309	111	2649
19	-66	66	2715	19	-66	66	2715	19	-66	66	2715	19	-66	66	2715	19	-66	66	2715	19	-66	66	2715	19	-66	66	2715	19	-66	66	2715	19	-66	66	2715	19	-66	66	2715
20	-56	56	2771	20	-56	56	2771	20	-56	56	2771	20	-56	56	2771	20	-56	56	2771	20	-56	56	2771	20	-56	56	2771	20	-56	56	2771	20	-56	56	2771	20	-56	56	2771
21	-64	64	2835	21	-64	64	2835	21	-64	64	2835	21	-64	64	2835	21	-64	64	2835	21	-64	64	2835	21	-64	64	2835	21	-64	64	2835	21	-64	64	2835	21	-64	64	2835
22	-33	33	2868	22	-33	33	2868	22	-33	33	2868	22	-33	33	2868	22	-33	33	2868	22	-33	33	2868	22	-33	33	2868	22	-33	33	2868	22	-33	33	2868	22	-33	33	2868
23	-169	70	2938	23	-169	70	2938	23	-169	70	2938	23	-169	70	2938	23	-169	70	2938	23	-169	70	2938	23	-169	70	2938	23	-169	70	2938	23	-169	70	2938	23	-169	70	2938
24	-41	41	2979	24	-41	41	2979	24	-41	41	2979	24	-41	41	2979	24	-41	41	2979	24	-41	41	2979	24	-41	41	2979	24	-41	41	2979	24	-41	41	2979	24	-41	41	2979
25	-49	49	3028	25	-49	49	3028	25	-49	49	3028	25	-49	49	3028	25	-49	49	3028	25	-49	49	3028	25	-49	49	3028	25	-49	49	3028	25	-49	49	3028	25	-49	49	3028
26	-45	45	3073	26	-45	45	3073	26	-45	45	3073	26	-45	45	3073	26	-45	45	3073	26	-45	45	3073	26	-45	45	3073	26	-45	45	3073	26	-45	45	3073	26	-45	45	3073
27	-149	50	3123	27	-149	50	3123	27	-149	50	3123	27	-149	50	3123	27	-149	50	3123	27	-149	50	3123	27	-149	50	3123	27	-149	50	3123	27	-149	50	3123	27	-149	50	3123
28	-163	64	3187	28	-163	64	3187	28	-163	64	3187	28	-163	64	3187	28	-163	64	3187	28	-163	64	3187	28	-163	64	3187	28	-163	64	3187	28	-163	64	3187	28	-163	64	3187
29	-48	48	3235	29	-48	48	3235	29	-48	48	3235	29	-48	48	3235	29	-48	48	3235	29	-48	48	3235	29	-48	48	3235	29	-48	48	3235	29	-48	48	3235	29	-48	48	3235
30	-37	37	3272	30	-37	37	3272	30	-37	37	3272	30	-37	37	3272	30	-37	37	3272	30	-37	37	3272	30	-37	37	3272	30	-37	37	3272	30	-37	37	3272	30	-37	37	3272
31	-71	71	3343	31	-71	71	3343	31	-71	71	3343	31	-71	71	3343	31	-71	71	3343	31	-71	71	3343	31	-71	71	3343	31	-71	71	3343	31	-71	71	3343	31	-71	71	3343
32	-28	28	3371	32	-28	28	3371	32	-28	28	3371	32	-28	28	3371	32	-28	28	3371	32	-28	28	3371	32	-28	28	3371	32	-28	28	3371	32	-28	28	3371	32	-28	28	3371
33	-49	49	3420	33	-49	49	3420	33	-49	49	3420	33	-49	49	3420	33	-49	49	3420	33	-49	49	3420	33	-49	49	3420	33	-49	49	3420	33	-49	49	3420	33	-49	49	3420
34	-26	26	3446	34	-26	26	3446	34	-26	26	3446	34	-26	26	3446	34	-26	26	3446	34	-26	26	3446	34	-26	26	3446	34	-26	26	3446	34	-26	26	3446	34	-26	26	3446
35	-95	95	3541	35	-95	95	3541	35	-95	95	3541	35	-95	95	3541	35	-95	95	3541	35	-95	95	3541	35	-95	95	3541	35	-95	95	3541	35	-95	95	3541	35	-95	95	3541
36	-27	27	3568	36	-27	27	3568	36	-27	27	3568	36	-27	27	3568	36	-27	27	3568	36	-27	27	3568	36	-27	27	3568	36	-27	27	3568	36	-27	27	3568	36	-27	27	3568
37	-33	33	3601	37	-33	33	3601	37	-33	33	3601	37	-33	33	3601	37	-33	33	3601	37	-33	33	3601	37	-33	33	3601	37	-33	33	3601	37	-33	33	3601	37	-33	33	3601
38	-44	44	3645	38	-44	44	3645	38	-44	44	3645	38	-44	44	3645	38	-44	44	3645	38	-44	44	3645	38	-44	44	3645	38	-44	44	3645	38	-44	44	3645	38	-44	44	3645
39	-28	28	3673	39	-28	28	3673	39	-28	28	3673	39	-28	28	3673	39	-28	28	3673	39	-28	28	3673	39	-28	28	3673	39	-28	28	3673	39	-28	28	3673	39	-28	28	3673
40	-30	30	3703	40	-30	30	3703	40	-30	30	3703	40	-30	30	3703	40	-30	30	3703	40	-30	30	3703	40	-30	30	3703	40	-30	30	3703	40	-30	30	3703	40	-30	30	3703
41	-33	33	3736	41	-33	33	3736	41	-33	33	3736	41	-33	33	3736	41	-33	33	3736	41	-33	33	3736	41	-33	33	3736	41	-33	33	3736	41	-33	33	3736	41	-33	33	3736
42	-377	80	3816	42	-377	80	3816	42	-377	80	3816	42	-377	80	3816	42	-377	80	3816	42	-377	80	3816	42	-377	80	3816	42	-377	80	3816	42	-377	80	3816	42	-377	80	3816
43	-29	29	3845	43	-29	29	3845	43	-29	29	3845	43	-29	29	3845	43	-29	29	3845	43	-29	29	3845	43	-29	29	3845	43	-29	29	3845	43	-29	29	3845	43	-29	29	3845
44	-19	19	3864	44	-19	19	3864	44	-19	19	3864	44	-19	19	3864	44	-19	19	3864	44	-19	19	3864	44	-19	19	3864	44	-19	19	3864	44	-19	19	3864	44	-19	19	3864
45	-35	35	3899	45	-35	35	3899	45	-35	35	3899	45	-35	35	3899	45	-35	35	3899	45	-35	35	3899	45	-35	35	3899	45	-35	35	3899	45	-35	35	3899	45	-35	35	3899
46	-152	53	3952	46	-152	53	3952	46	-152	53	3952	46	-152	53	3952	46	-152	53	3952	46	-152	53	3952	46	-152	53	3952	46	-152	53	3952	46	-152	53	3952	46	-152	53	3952
47	-22	22	3974	47	-22	22	3974	47	-22	22	3974	47	-22	22	3974	47	-22	22	3974	47	-22	22	3974	47	-22	22	3974	47	-22	22	3974	47	-22	22	3974	47	-22	22	3974
48	-23	23	3997	48	-23	23	3997	48	-23	23	3997	48	-23	23	3997	48	-23	23	3997	48	-23	23	3997	48	-23	23	3997	48	-23	23	3997	48	-23	23	3997	48	-23	23	3997
49	-36	36	4033	49	-36	36	4033	49	-36	36	4033	49	-36	36	4033	49	-36	36	4033	49	-36	36	4033	49	-36	36	4033	49	-36	36	4033	49	-36	36	4033	49	-36	36	4033
50	-20	20	4053	50	-20	20	4053	50	-20	20	4053	50	-20	20	4053	50	-20	20	4053	50	-20	20	4053	50	-20	20	4053	50	-20	20	4053	50	-20	20	4053	50	-20	20	4053
51	-42	42	4095	51	-42	42	4095	51	-42	42	4095	51	-42	42	4095	51	-42	42	4095	51	-42	42	4095	51	-42	42	4095	51	-42	42	4095	51	-42	42	4095	51	-42	42	4095
52	-147	48	4143	52	-147	48	4143	52	-147	48	4143	52	-147	48	4143	52	-147	48	4143	52	-147	48	4143	52	-147	48	4143	52	-147	48	4143	52	-147	48	4143	52	-147	48	4143
53	-31	31	4174	53	-31	31	4174	53	-31	31	4174	53	-31	31	4174	53	-31	31	4174	53	-31	31	4174	53	-31	31	4174	53	-31	31	4174	53	-31	31	4174	53	-31	31	4174
54	-16	16	4190	54	-16	16	4190	54	-16	16	4190	54	-16	16	4190	54	-16	16	4190	54	-16	16	4190	54	-16	16	4190	54	-16	16	4190	54	-16	16	4190	54	-16	16	4190
55	-158	59	4249	55	-158	59	4249	55	-158	59	4249	55	-158	59	4249	55	-158	59	4249	55	-158	59	4249	55	-158	59	4249	55	-158	59	4249	55	-158	59	4249	55	-158	59	4249
56	-24	24	4273	56	-24	24	4273	56	-24	24	4273	56	-24	24	4273	56	-24	24	4273	56	-24	24	4273	56	-24	24	4273	56	-24	24	4273	56	-24	24	4273	56	-24	24	4273
57	-26	26	4299	57	-26	26	4299	57	-26	26	4299	57	-26	26	4299	57	-26	26	4299	57	-26	26	4299	57	-26	26	4299	57	-26	26	4299	57	-26	26	4299	57	-26	26	4299
58	-25	25	4324	58	-25	25	4324	58	-25	25	4324	58	-25	25	4324	58	-25	25	4324	58	-25	25	4324	58	-25	25	4324	58	-25	25	4324	58	-25	25	4324	58	-25	25	4324
59	-42	42	4366	59	-42	42	4366	59	-42	42	4366	59	-42	42	4366	59	-42	42	4366	59	-42	42	4366	59	-42	42	4366	59	-42	42	4366	59	-42	42	4366	59	-42	42	4366
60	-29	29	4395	60	-29	29	4395	60	-29	29	4395	60	-29	29	4395	60	-29	29	4395	60	-29	29	4395	60	-29	29	4395	60	-29	29	4395	60	-29	29	4395	60	-29	29	4395
61	-27	27	4422	61	-27	27	4422	61	-27	27	4422	61	-27	27	4422	61	-27	27	4422	61	-27	27	4422	61	-27	27	4422	61	-27	27	4422	61	-27	27	4422	61	-27	27	4422
62	-27	27	4449	62	-27	27	4449	62	-27	27	4449	62	-27	27	4449	62	-27	27	4449	62	-27	27	4449	62	-27	27	4449	62	-27	27	4449	62	-27	27	4449	62	-27	27	4449
63	-126	27	4476	63	-126	27	4476	63	-126	27	4476	63	-126	27	4476	63	-126	27	4476	63	-126	27	4476	63	-126	27	4476	63	-126	27	4476	63	-126	27	4476	63	-126	27	4476
64	-31	31	4507	64	-31	31	4507	64	-31	31	4507	64	-31	31	4507	64	-31	31	4507	64	-31	31	4507	64	-31	31	4507	64	-31	31	4507	64	-31	31	4507	64	-31	31	4507
65	-29	29	4536	65	-29	29	4536	65	-29	29	4536	65	-29	29	4536	65	-29	29	4536	65	-29	29	4536	65	-29	29	4536	65	-29	29	4536	65	-29	29	4536	65	-29	29	4536
66	-24	24	4560	66	-24	24	4560	66	-24	24	4560	66	-24	24	4560	66	-24	24	4560	66	-24	24	4560	66	-24	24	4560	66	-24	24	4560	66	-24	24	4560	66	-24	24	4560
67	-57	57	4617	67	-57	57	4617	67	-57	57	4617	67	-57	57	4617	67	-57	57	4617	67	-57	57	4617	67	-57	57	4617	67	-57	57	4617	67	-57	57	4617	67	-57	57	4617
68	-27	27	4644	68	-27	27	4644	68	-27	27	4644	68	-27	27	4644	68	-27	27	4644	68	-27	27	4644	68	-27	27	4644	68	-27	27	4644	68	-27	27	4644	68	-27	27	4644
69	-150	51	4695	69	-150	51	4695	69	-150	51	4695	69	-150	51	4695	69	-150	51	4695	69	-150	51	4695	69	-150	51	4695	69	-150	51	4695	69	-150	51	4695	69	-150	51	4695
70	-72	72	4767	70	-72	72	4767	70	-72	72	4767	70	-72	72	4767	70	-72	72	4767	70	-72	72	4767	70	-72	72	4767	70	-72	72	4767	70	-72	72	4767	70	-72	72	4767
71	-29	29	4796	71	-29	29	4796	71	-29	29	4796	71	-29	29	4796	71	-29	29	4796	71	-29	29	4796	71	-29	29	4796	71	-29	29	4796	71	-29	29	4796	71	-29	29	4796
72	-30	30	4826	72	-30	30	4826	72	-30	30	4826	72	-30	30	4826	72	-30	30	4826	72	-30	30	4826	72	-30	30	4826	72	-30	30	4826	72	-30	30	4826	72	-30	30	4826
