Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2002	616	616	0	-2002	616	616	0	-2002	616	616	0	-2002	616	616	0	-2002	616	616	0	-2002	616	616	0	-2002	616	616	0	-2002	616	616	0	-2002	616	616	0	-2002	616	616	0	-2002	616	616	0	-2002	616	616	0	-2002	616	616
1	-98	98	714	1	-98	98	714	1	-98	98	714	1	-98	98	714	1	-98	98	714	1	-98	98	714	1	-98	98	714	1	-98	98	714	1	-98	98	714	1	-98	98	714	1	-98	98	714	1	-98	98	714	1	-98	98	714
2	-161	161	875	2	-161	161	875	2	-161	161	875	2	-161	161	875	2	-161	161	875	2	-161	161	875	2	-161	161	875	2	-161	161	875	2	-161	161	875	2	-161	161	875	2	-161	161	875	2	-161	161	875	2	-161	161	875
3	-86	86	961	3	-86	86	961	3	-86	86	961	3	-86	86	961	3	-86	86	961	3	-86	86	961	3	-86	86	961	3	-86	86	961	3	-86	86	961	3	-86	86	961	3	-86	86	961	3	-86	86	961	3	-86	86	961
4	-263	164	1125	4	-263	164	1125	4	-263	164	1125	4	-263	164	1125	4	-263	164	1125	4	-263	164	1125	4	-263	164	1125	4	-263	164	1125	4	-263	164	1125	4	-263	164	1125	4	-263	164	1125	4	-263	164	1125	4	-263	164	1125
5	-115	115	1240	5	-115	115	1240	5	-115	115	1240	5	-115	115	1240	5	-115	115	1240	5	-115	115	1240	5	-115	115	1240	5	-115	115	1240	5	-115	115	1240	5	-115	115	1240	5	-115	115	1240	5	-115	115	1240	5	-115	115	1240
6	-116	116	1356	6	-116	116	1356	6	-116	116	1356	6	-116	116	1356	6	-116	116	1356	6	-116	116	1356	6	-116	116	1356	6	-116	116	1356	6	-116	116	1356	6	-116	116	1356	6	-116	116	1356	6	-116	116	1356	6	-116	116	1356
7	-56	56	1412	7	-56	56	1412	7	-56	56	1412	7	-56	56	1412	7	-56	56	1412	7	-56	56	1412	7	-56	56	1412	7	-56	56	1412	7	-56	56	1412	7	-56	56	1412	7	-56	56	1412	7	-56	56	1412	7	-56	56	1412
8	-239	140	1552	8	-239	140	1552	8	-239	140	1552	8	-239	140	1552	8	-239	140	1552	8	-239	140	1552	8	-239	140	1552	8	-239	140	1552	8	-239	140	1552	8	-239	140	1552	8	-239	140	1552	8	-239	140	1552	8	-239	140	1552
9	-194	95	1647	9	-194	95	1647	9	-194	95	1647	9	-194	95	1647	9	-194	95	1647	9	-194	95	1647	9	-194	95	1647	9	-194	95	1647	9	-194	95	1647	9	-194	95	1647	9	-194	95	1647	9	-194	95	1647	9	-194	95	1647
