Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1599	510	510	0	-1599	510	510	0	-1599	510	510	0	-1599	510	510	0	-1599	510	510	0	-1599	510	510	0	-1599	510	510	0	-1599	510	510	0	-1599	510	510	0	-1599	510	510	0	-1599	510	510	0	-1599	510	510	0	-1599	510	510	0	-1599	510	510	0	-1599	510	510	0	-1599	510	510
1	-728	332	842	1	-728	332	842	1	-728	332	842	1	-728	332	842	1	-728	332	842	1	-728	332	842	1	-728	332	842	1	-728	332	842	1	-728	332	842	1	-728	332	842	1	-728	332	842	1	-728	332	842	1	-728	332	842	1	-728	332	842	1	-728	332	842	1	-728	332	842
2	-152	152	994	2	-152	152	994	2	-152	152	994	2	-152	152	994	2	-152	152	994	2	-152	152	994	2	-152	152	994	2	-152	152	994	2	-152	152	994	2	-152	152	994	2	-152	152	994	2	-152	152	994	2	-152	152	994	2	-152	152	994	2	-152	152	994	2	-152	152	994
3	-188	188	1182	3	-188	188	1182	3	-188	188	1182	3	-188	188	1182	3	-188	188	1182	3	-188	188	1182	3	-188	188	1182	3	-188	188	1182	3	-188	188	1182	3	-188	188	1182	3	-188	188	1182	3	-188	188	1182	3	-188	188	1182	3	-188	188	1182	3	-188	188	1182	3	-188	188	1182
4	-135	135	1317	4	-135	135	1317	4	-135	135	1317	4	-135	135	1317	4	-135	135	1317	4	-135	135	1317	4	-135	135	1317	4	-135	135	1317	4	-135	135	1317	4	-135	135	1317	4	-135	135	1317	4	-135	135	1317	4	-135	135	1317	4	-135	135	1317	4	-135	135	1317	4	-135	135	1317
5	-52	52	1369	5	-52	52	1369	5	-52	52	1369	5	-52	52	1369	5	-52	52	1369	5	-52	52	1369	5	-52	52	1369	5	-52	52	1369	5	-52	52	1369	5	-52	52	1369	5	-52	52	1369	5	-52	52	1369	5	-52	52	1369	5	-52	52	1369	5	-52	52	1369	5	-52	52	1369
6	-192	192	1561	6	-192	192	1561	6	-192	192	1561	6	-192	192	1561	6	-192	192	1561	6	-192	192	1561	6	-192	192	1561	6	-192	192	1561	6	-192	192	1561	6	-192	192	1561	6	-192	192	1561	6	-192	192	1561	6	-192	192	1561	6	-192	192	1561	6	-192	192	1561	6	-192	192	1561
7	-101	101	1662	7	-101	101	1662	7	-101	101	1662	7	-101	101	1662	7	-101	101	1662	7	-101	101	1662	7	-101	101	1662	7	-101	101	1662	7	-101	101	1662	7	-101	101	1662	7	-101	101	1662	7	-101	101	1662	7	-101	101	1662	7	-101	101	1662	7	-101	101	1662	7	-101	101	1662
8	-175	76	1738	8	-175	76	1738	8	-175	76	1738	8	-175	76	1738	8	-175	76	1738	8	-175	76	1738	8	-175	76	1738	8	-175	76	1738	8	-175	76	1738	8	-175	76	1738	8	-175	76	1738	8	-175	76	1738	8	-175	76	1738	8	-175	76	1738	8	-175	76	1738	8	-175	76	1738
9	-295	196	1934	9	-295	196	1934	9	-295	196	1934	9	-295	196	1934	9	-295	196	1934	9	-295	196	1934	9	-295	196	1934	9	-295	196	1934	9	-295	196	1934	9	-295	196	1934	9	-295	196	1934	9	-295	196	1934	9	-295	196	1934	9	-295	196	1934	9	-295	196	1934	9	-295	196	1934
10	-108	108	2042	10	-108	108	2042	10	-108	108	2042	10	-108	108	2042	10	-108	108	2042	10	-108	108	2042	10	-108	108	2042	10	-108	108	2042	10	-108	108	2042	10	-108	108	2042	10	-108	108	2042	10	-108	108	2042	10	-108	108	2042	10	-108	108	2042	10	-108	108	2042	10	-108	108	2042
11	-95	95	2137	11	-95	95	2137	11	-95	95	2137	11	-95	95	2137	11	-95	95	2137	11	-95	95	2137	11	-95	95	2137	11	-95	95	2137	11	-95	95	2137	11	-95	95	2137	11	-95	95	2137	11	-95	95	2137	11	-95	95	2137	11	-95	95	2137	11	-95	95	2137	11	-95	95	2137
12	-119	119	2256	12	-119	119	2256	12	-119	119	2256	12	-119	119	2256	12	-119	119	2256	12	-119	119	2256	12	-119	119	2256	12	-119	119	2256	12	-119	119	2256	12	-119	119	2256	12	-119	119	2256	12	-119	119	2256	12	-119	119	2256	12	-119	119	2256	12	-119	119	2256	12	-119	119	2256
13	-66	66	2322	13	-66	66	2322	13	-66	66	2322	13	-66	66	2322	13	-66	66	2322	13	-66	66	2322	13	-66	66	2322	13	-66	66	2322	13	-66	66	2322	13	-66	66	2322	13	-66	66	2322	13	-66	66	2322	13	-66	66	2322	13	-66	66	2322	13	-66	66	2322	13	-66	66	2322
14	-55	55	2377	14	-55	55	2377	14	-55	55	2377	14	-55	55	2377	14	-55	55	2377	14	-55	55	2377	14	-55	55	2377	14	-55	55	2377	14	-55	55	2377	14	-55	55	2377	14	-55	55	2377	14	-55	55	2377	14	-55	55	2377	14	-55	55	2377	14	-55	55	2377	14	-55	55	2377
15	-349	151	2528	15	-349	151	2528	15	-349	151	2528	15	-349	151	2528	15	-349	151	2528	15	-349	151	2528	15	-349	151	2528	15	-349	151	2528	15	-349	151	2528	15	-349	151	2528	15	-349	151	2528	15	-349	151	2528	15	-349	151	2528	15	-349	151	2528	15	-349	151	2528	15	-349	151	2528
