Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-684	189	189	0	-684	189	189	0	-684	189	189	0	-684	189	189	0	-684	189	189	0	-684	189	189	0	-684	189	189	0	-684	189	189	0	-684	189	189	0	-684	189	189	0	-684	189	189	0	-684	189	189	0	-684	189	189	0	-684	189	189	0	-684	189	189	0	-684	189	189	0	-684	189	189	0	-684	189	189	0	-684	189	189
1	-1675	685	874	1	-1675	685	874	1	-1675	685	874	1	-1675	685	874	1	-1675	685	874	1	-1675	685	874	1	-1675	685	874	1	-1675	685	874	1	-1675	685	874	1	-1675	685	874	1	-1675	685	874	1	-1675	685	874	1	-1675	685	874	1	-1675	685	874	1	-1675	685	874	1	-1675	685	874	1	-1675	685	874	1	-1675	685	874	1	-1675	685	874
2	-79	79	953	2	-79	79	953	2	-79	79	953	2	-79	79	953	2	-79	79	953	2	-79	79	953	2	-79	79	953	2	-79	79	953	2	-79	79	953	2	-79	79	953	2	-79	79	953	2	-79	79	953	2	-79	79	953	2	-79	79	953	2	-79	79	953	2	-79	79	953	2	-79	79	953	2	-79	79	953	2	-79	79	953
3	-143	143	1096	3	-143	143	1096	3	-143	143	1096	3	-143	143	1096	3	-143	143	1096	3	-143	143	1096	3	-143	143	1096	3	-143	143	1096	3	-143	143	1096	3	-143	143	1096	3	-143	143	1096	3	-143	143	1096	3	-143	143	1096	3	-143	143	1096	3	-143	143	1096	3	-143	143	1096	3	-143	143	1096	3	-143	143	1096	3	-143	143	1096
4	-277	178	1274	4	-277	178	1274	4	-277	178	1274	4	-277	178	1274	4	-277	178	1274	4	-277	178	1274	4	-277	178	1274	4	-277	178	1274	4	-277	178	1274	4	-277	178	1274	4	-277	178	1274	4	-277	178	1274	4	-277	178	1274	4	-277	178	1274	4	-277	178	1274	4	-277	178	1274	4	-277	178	1274	4	-277	178	1274	4	-277	178	1274
5	-118	118	1392	5	-118	118	1392	5	-118	118	1392	5	-118	118	1392	5	-118	118	1392	5	-118	118	1392	5	-118	118	1392	5	-118	118	1392	5	-118	118	1392	5	-118	118	1392	5	-118	118	1392	5	-118	118	1392	5	-118	118	1392	5	-118	118	1392	5	-118	118	1392	5	-118	118	1392	5	-118	118	1392	5	-118	118	1392	5	-118	118	1392
6	-85	85	1477	6	-85	85	1477	6	-85	85	1477	6	-85	85	1477	6	-85	85	1477	6	-85	85	1477	6	-85	85	1477	6	-85	85	1477	6	-85	85	1477	6	-85	85	1477	6	-85	85	1477	6	-85	85	1477	6	-85	85	1477	6	-85	85	1477	6	-85	85	1477	6	-85	85	1477	6	-85	85	1477	6	-85	85	1477	6	-85	85	1477
7	-121	121	1598	7	-121	121	1598	7	-121	121	1598	7	-121	121	1598	7	-121	121	1598	7	-121	121	1598	7	-121	121	1598	7	-121	121	1598	7	-121	121	1598	7	-121	121	1598	7	-121	121	1598	7	-121	121	1598	7	-121	121	1598	7	-121	121	1598	7	-121	121	1598	7	-121	121	1598	7	-121	121	1598	7	-121	121	1598	7	-121	121	1598
8	-119	119	1717	8	-119	119	1717	8	-119	119	1717	8	-119	119	1717	8	-119	119	1717	8	-119	119	1717	8	-119	119	1717	8	-119	119	1717	8	-119	119	1717	8	-119	119	1717	8	-119	119	1717	8	-119	119	1717	8	-119	119	1717	8	-119	119	1717	8	-119	119	1717	8	-119	119	1717	8	-119	119	1717	8	-119	119	1717	8	-119	119	1717
9	-77	77	1794	9	-77	77	1794	9	-77	77	1794	9	-77	77	1794	9	-77	77	1794	9	-77	77	1794	9	-77	77	1794	9	-77	77	1794	9	-77	77	1794	9	-77	77	1794	9	-77	77	1794	9	-77	77	1794	9	-77	77	1794	9	-77	77	1794	9	-77	77	1794	9	-77	77	1794	9	-77	77	1794	9	-77	77	1794	9	-77	77	1794
10	-199	100	1894	10	-199	100	1894	10	-199	100	1894	10	-199	100	1894	10	-199	100	1894	10	-199	100	1894	10	-199	100	1894	10	-199	100	1894	10	-199	100	1894	10	-199	100	1894	10	-199	100	1894	10	-199	100	1894	10	-199	100	1894	10	-199	100	1894	10	-199	100	1894	10	-199	100	1894	10	-199	100	1894	10	-199	100	1894	10	-199	100	1894
11	-50	50	1944	11	-50	50	1944	11	-50	50	1944	11	-50	50	1944	11	-50	50	1944	11	-50	50	1944	11	-50	50	1944	11	-50	50	1944	11	-50	50	1944	11	-50	50	1944	11	-50	50	1944	11	-50	50	1944	11	-50	50	1944	11	-50	50	1944	11	-50	50	1944	11	-50	50	1944	11	-50	50	1944	11	-50	50	1944	11	-50	50	1944
12	-652	256	2200	12	-652	256	2200	12	-652	256	2200	12	-652	256	2200	12	-652	256	2200	12	-652	256	2200	12	-652	256	2200	12	-652	256	2200	12	-652	256	2200	12	-652	256	2200	12	-652	256	2200	12	-652	256	2200	12	-652	256	2200	12	-652	256	2200	12	-652	256	2200	12	-652	256	2200	12	-652	256	2200	12	-652	256	2200	12	-652	256	2200
13	-44	44	2244	13	-44	44	2244	13	-44	44	2244	13	-44	44	2244	13	-44	44	2244	13	-44	44	2244	13	-44	44	2244	13	-44	44	2244	13	-44	44	2244	13	-44	44	2244	13	-44	44	2244	13	-44	44	2244	13	-44	44	2244	13	-44	44	2244	13	-44	44	2244	13	-44	44	2244	13	-44	44	2244	13	-44	44	2244	13	-44	44	2244
14	-70	70	2314	14	-70	70	2314	14	-70	70	2314	14	-70	70	2314	14	-70	70	2314	14	-70	70	2314	14	-70	70	2314	14	-70	70	2314	14	-70	70	2314	14	-70	70	2314	14	-70	70	2314	14	-70	70	2314	14	-70	70	2314	14	-70	70	2314	14	-70	70	2314	14	-70	70	2314	14	-70	70	2314	14	-70	70	2314	14	-70	70	2314
15	-56	56	2370	15	-56	56	2370	15	-56	56	2370	15	-56	56	2370	15	-56	56	2370	15	-56	56	2370	15	-56	56	2370	15	-56	56	2370	15	-56	56	2370	15	-56	56	2370	15	-56	56	2370	15	-56	56	2370	15	-56	56	2370	15	-56	56	2370	15	-56	56	2370	15	-56	56	2370	15	-56	56	2370	15	-56	56	2370	15	-56	56	2370
16	-78	78	2448	16	-78	78	2448	16	-78	78	2448	16	-78	78	2448	16	-78	78	2448	16	-78	78	2448	16	-78	78	2448	16	-78	78	2448	16	-78	78	2448	16	-78	78	2448	16	-78	78	2448	16	-78	78	2448	16	-78	78	2448	16	-78	78	2448	16	-78	78	2448	16	-78	78	2448	16	-78	78	2448	16	-78	78	2448	16	-78	78	2448
17	-83	83	2531	17	-83	83	2531	17	-83	83	2531	17	-83	83	2531	17	-83	83	2531	17	-83	83	2531	17	-83	83	2531	17	-83	83	2531	17	-83	83	2531	17	-83	83	2531	17	-83	83	2531	17	-83	83	2531	17	-83	83	2531	17	-83	83	2531	17	-83	83	2531	17	-83	83	2531	17	-83	83	2531	17	-83	83	2531	17	-83	83	2531
18	-60	60	2591	18	-60	60	2591	18	-60	60	2591	18	-60	60	2591	18	-60	60	2591	18	-60	60	2591	18	-60	60	2591	18	-60	60	2591	18	-60	60	2591	18	-60	60	2591	18	-60	60	2591	18	-60	60	2591	18	-60	60	2591	18	-60	60	2591	18	-60	60	2591	18	-60	60	2591	18	-60	60	2591	18	-60	60	2591	18	-60	60	2591
19	-52	52	2643	19	-52	52	2643	19	-52	52	2643	19	-52	52	2643	19	-52	52	2643	19	-52	52	2643	19	-52	52	2643	19	-52	52	2643	19	-52	52	2643	19	-52	52	2643	19	-52	52	2643	19	-52	52	2643	19	-52	52	2643	19	-52	52	2643	19	-52	52	2643	19	-52	52	2643	19	-52	52	2643	19	-52	52	2643	19	-52	52	2643
20	-44	44	2687	20	-44	44	2687	20	-44	44	2687	20	-44	44	2687	20	-44	44	2687	20	-44	44	2687	20	-44	44	2687	20	-44	44	2687	20	-44	44	2687	20	-44	44	2687	20	-44	44	2687	20	-44	44	2687	20	-44	44	2687	20	-44	44	2687	20	-44	44	2687	20	-44	44	2687	20	-44	44	2687	20	-44	44	2687	20	-44	44	2687
21	-58	58	2745	21	-58	58	2745	21	-58	58	2745	21	-58	58	2745	21	-58	58	2745	21	-58	58	2745	21	-58	58	2745	21	-58	58	2745	21	-58	58	2745	21	-58	58	2745	21	-58	58	2745	21	-58	58	2745	21	-58	58	2745	21	-58	58	2745	21	-58	58	2745	21	-58	58	2745	21	-58	58	2745	21	-58	58	2745	21	-58	58	2745
22	-44	44	2789	22	-44	44	2789	22	-44	44	2789	22	-44	44	2789	22	-44	44	2789	22	-44	44	2789	22	-44	44	2789	22	-44	44	2789	22	-44	44	2789	22	-44	44	2789	22	-44	44	2789	22	-44	44	2789	22	-44	44	2789	22	-44	44	2789	22	-44	44	2789	22	-44	44	2789	22	-44	44	2789	22	-44	44	2789	22	-44	44	2789
23	-57	57	2846	23	-57	57	2846	23	-57	57	2846	23	-57	57	2846	23	-57	57	2846	23	-57	57	2846	23	-57	57	2846	23	-57	57	2846	23	-57	57	2846	23	-57	57	2846	23	-57	57	2846	23	-57	57	2846	23	-57	57	2846	23	-57	57	2846	23	-57	57	2846	23	-57	57	2846	23	-57	57	2846	23	-57	57	2846	23	-57	57	2846
24	-154	55	2901	24	-154	55	2901	24	-154	55	2901	24	-154	55	2901	24	-154	55	2901	24	-154	55	2901	24	-154	55	2901	24	-154	55	2901	24	-154	55	2901	24	-154	55	2901	24	-154	55	2901	24	-154	55	2901	24	-154	55	2901	24	-154	55	2901	24	-154	55	2901	24	-154	55	2901	24	-154	55	2901	24	-154	55	2901	24	-154	55	2901
25	-48	48	2949	25	-48	48	2949	25	-48	48	2949	25	-48	48	2949	25	-48	48	2949	25	-48	48	2949	25	-48	48	2949	25	-48	48	2949	25	-48	48	2949	25	-48	48	2949	25	-48	48	2949	25	-48	48	2949	25	-48	48	2949	25	-48	48	2949	25	-48	48	2949	25	-48	48	2949	25	-48	48	2949	25	-48	48	2949	25	-48	48	2949
26	-29	29	2978	26	-29	29	2978	26	-29	29	2978	26	-29	29	2978	26	-29	29	2978	26	-29	29	2978	26	-29	29	2978	26	-29	29	2978	26	-29	29	2978	26	-29	29	2978	26	-29	29	2978	26	-29	29	2978	26	-29	29	2978	26	-29	29	2978	26	-29	29	2978	26	-29	29	2978	26	-29	29	2978	26	-29	29	2978	26	-29	29	2978
27	-45	45	3023	27	-45	45	3023	27	-45	45	3023	27	-45	45	3023	27	-45	45	3023	27	-45	45	3023	27	-45	45	3023	27	-45	45	3023	27	-45	45	3023	27	-45	45	3023	27	-45	45	3023	27	-45	45	3023	27	-45	45	3023	27	-45	45	3023	27	-45	45	3023	27	-45	45	3023	27	-45	45	3023	27	-45	45	3023	27	-45	45	3023
28	-47	47	3070	28	-47	47	3070	28	-47	47	3070	28	-47	47	3070	28	-47	47	3070	28	-47	47	3070	28	-47	47	3070	28	-47	47	3070	28	-47	47	3070	28	-47	47	3070	28	-47	47	3070	28	-47	47	3070	28	-47	47	3070	28	-47	47	3070	28	-47	47	3070	28	-47	47	3070	28	-47	47	3070	28	-47	47	3070	28	-47	47	3070
29	-36	36	3106	29	-36	36	3106	29	-36	36	3106	29	-36	36	3106	29	-36	36	3106	29	-36	36	3106	29	-36	36	3106	29	-36	36	3106	29	-36	36	3106	29	-36	36	3106	29	-36	36	3106	29	-36	36	3106	29	-36	36	3106	29	-36	36	3106	29	-36	36	3106	29	-36	36	3106	29	-36	36	3106	29	-36	36	3106	29	-36	36	3106
30	-26	26	3132	30	-26	26	3132	30	-26	26	3132	30	-26	26	3132	30	-26	26	3132	30	-26	26	3132	30	-26	26	3132	30	-26	26	3132	30	-26	26	3132	30	-26	26	3132	30	-26	26	3132	30	-26	26	3132	30	-26	26	3132	30	-26	26	3132	30	-26	26	3132	30	-26	26	3132	30	-26	26	3132	30	-26	26	3132	30	-26	26	3132
31	-56	56	3188	31	-56	56	3188	31	-56	56	3188	31	-56	56	3188	31	-56	56	3188	31	-56	56	3188	31	-56	56	3188	31	-56	56	3188	31	-56	56	3188	31	-56	56	3188	31	-56	56	3188	31	-56	56	3188	31	-56	56	3188	31	-56	56	3188	31	-56	56	3188	31	-56	56	3188	31	-56	56	3188	31	-56	56	3188	31	-56	56	3188
32	-37	37	3225	32	-37	37	3225	32	-37	37	3225	32	-37	37	3225	32	-37	37	3225	32	-37	37	3225	32	-37	37	3225	32	-37	37	3225	32	-37	37	3225	32	-37	37	3225	32	-37	37	3225	32	-37	37	3225	32	-37	37	3225	32	-37	37	3225	32	-37	37	3225	32	-37	37	3225	32	-37	37	3225	32	-37	37	3225	32	-37	37	3225
33	-43	43	3268	33	-43	43	3268	33	-43	43	3268	33	-43	43	3268	33	-43	43	3268	33	-43	43	3268	33	-43	43	3268	33	-43	43	3268	33	-43	43	3268	33	-43	43	3268	33	-43	43	3268	33	-43	43	3268	33	-43	43	3268	33	-43	43	3268	33	-43	43	3268	33	-43	43	3268	33	-43	43	3268	33	-43	43	3268	33	-43	43	3268
34	-43	43	3311	34	-43	43	3311	34	-43	43	3311	34	-43	43	3311	34	-43	43	3311	34	-43	43	3311	34	-43	43	3311	34	-43	43	3311	34	-43	43	3311	34	-43	43	3311	34	-43	43	3311	34	-43	43	3311	34	-43	43	3311	34	-43	43	3311	34	-43	43	3311	34	-43	43	3311	34	-43	43	3311	34	-43	43	3311	34	-43	43	3311
35	-147	48	3359	35	-147	48	3359	35	-147	48	3359	35	-147	48	3359	35	-147	48	3359	35	-147	48	3359	35	-147	48	3359	35	-147	48	3359	35	-147	48	3359	35	-147	48	3359	35	-147	48	3359	35	-147	48	3359	35	-147	48	3359	35	-147	48	3359	35	-147	48	3359	35	-147	48	3359	35	-147	48	3359	35	-147	48	3359	35	-147	48	3359
