Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1761	474	474	0	-1761	474	474	0	-1761	474	474	0	-1761	474	474	0	-1761	474	474	0	-1761	474	474	0	-1761	474	474	0	-1761	474	474	0	-1761	474	474	0	-1761	474	474	0	-1761	474	474	0	-1761	474	474	0	-1761	474	474	0	-1761	474	474	0	-1761	474	474	0	-1761	474	474	0	-1761	474	474	0	-1761	474	474	0	-1761	474	474	0	-1761	474	474	0	-1761	474	474	0	-1761	474	474
1	-614	317	791	1	-614	317	791	1	-614	317	791	1	-614	317	791	1	-614	317	791	1	-614	317	791	1	-614	317	791	1	-614	317	791	1	-614	317	791	1	-614	317	791	1	-614	317	791	1	-614	317	791	1	-614	317	791	1	-614	317	791	1	-614	317	791	1	-614	317	791	1	-614	317	791	1	-614	317	791	1	-614	317	791	1	-614	317	791	1	-614	317	791	1	-614	317	791
2	-267	168	959	2	-267	168	959	2	-267	168	959	2	-267	168	959	2	-267	168	959	2	-267	168	959	2	-267	168	959	2	-267	168	959	2	-267	168	959	2	-267	168	959	2	-267	168	959	2	-267	168	959	2	-267	168	959	2	-267	168	959	2	-267	168	959	2	-267	168	959	2	-267	168	959	2	-267	168	959	2	-267	168	959	2	-267	168	959	2	-267	168	959	2	-267	168	959
3	-117	117	1076	3	-117	117	1076	3	-117	117	1076	3	-117	117	1076	3	-117	117	1076	3	-117	117	1076	3	-117	117	1076	3	-117	117	1076	3	-117	117	1076	3	-117	117	1076	3	-117	117	1076	3	-117	117	1076	3	-117	117	1076	3	-117	117	1076	3	-117	117	1076	3	-117	117	1076	3	-117	117	1076	3	-117	117	1076	3	-117	117	1076	3	-117	117	1076	3	-117	117	1076	3	-117	117	1076
4	-241	142	1218	4	-241	142	1218	4	-241	142	1218	4	-241	142	1218	4	-241	142	1218	4	-241	142	1218	4	-241	142	1218	4	-241	142	1218	4	-241	142	1218	4	-241	142	1218	4	-241	142	1218	4	-241	142	1218	4	-241	142	1218	4	-241	142	1218	4	-241	142	1218	4	-241	142	1218	4	-241	142	1218	4	-241	142	1218	4	-241	142	1218	4	-241	142	1218	4	-241	142	1218	4	-241	142	1218
5	-98	98	1316	5	-98	98	1316	5	-98	98	1316	5	-98	98	1316	5	-98	98	1316	5	-98	98	1316	5	-98	98	1316	5	-98	98	1316	5	-98	98	1316	5	-98	98	1316	5	-98	98	1316	5	-98	98	1316	5	-98	98	1316	5	-98	98	1316	5	-98	98	1316	5	-98	98	1316	5	-98	98	1316	5	-98	98	1316	5	-98	98	1316	5	-98	98	1316	5	-98	98	1316	5	-98	98	1316
6	-104	104	1420	6	-104	104	1420	6	-104	104	1420	6	-104	104	1420	6	-104	104	1420	6	-104	104	1420	6	-104	104	1420	6	-104	104	1420	6	-104	104	1420	6	-104	104	1420	6	-104	104	1420	6	-104	104	1420	6	-104	104	1420	6	-104	104	1420	6	-104	104	1420	6	-104	104	1420	6	-104	104	1420	6	-104	104	1420	6	-104	104	1420	6	-104	104	1420	6	-104	104	1420	6	-104	104	1420
7	-121	121	1541	7	-121	121	1541	7	-121	121	1541	7	-121	121	1541	7	-121	121	1541	7	-121	121	1541	7	-121	121	1541	7	-121	121	1541	7	-121	121	1541	7	-121	121	1541	7	-121	121	1541	7	-121	121	1541	7	-121	121	1541	7	-121	121	1541	7	-121	121	1541	7	-121	121	1541	7	-121	121	1541	7	-121	121	1541	7	-121	121	1541	7	-121	121	1541	7	-121	121	1541	7	-121	121	1541
8	-103	103	1644	8	-103	103	1644	8	-103	103	1644	8	-103	103	1644	8	-103	103	1644	8	-103	103	1644	8	-103	103	1644	8	-103	103	1644	8	-103	103	1644	8	-103	103	1644	8	-103	103	1644	8	-103	103	1644	8	-103	103	1644	8	-103	103	1644	8	-103	103	1644	8	-103	103	1644	8	-103	103	1644	8	-103	103	1644	8	-103	103	1644	8	-103	103	1644	8	-103	103	1644	8	-103	103	1644
9	-96	96	1740	9	-96	96	1740	9	-96	96	1740	9	-96	96	1740	9	-96	96	1740	9	-96	96	1740	9	-96	96	1740	9	-96	96	1740	9	-96	96	1740	9	-96	96	1740	9	-96	96	1740	9	-96	96	1740	9	-96	96	1740	9	-96	96	1740	9	-96	96	1740	9	-96	96	1740	9	-96	96	1740	9	-96	96	1740	9	-96	96	1740	9	-96	96	1740	9	-96	96	1740	9	-96	96	1740
