Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1467	477	477	0	-1467	477	477	0	-1467	477	477	0	-1467	477	477	0	-1467	477	477	0	-1467	477	477	0	-1467	477	477	0	-1467	477	477	0	-1467	477	477	0	-1467	477	477	0	-1467	477	477	0	-1467	477	477	0	-1467	477	477	0	-1467	477	477	0	-1467	477	477	0	-1467	477	477	0	-1467	477	477	0	-1467	477	477	0	-1467	477	477	0	-1467	477	477	0	-1467	477	477	0	-1467	477	477	0	-1467	477	477	0	-1467	477	477	0	-1467	477	477
1	-585	288	765	1	-585	288	765	1	-585	288	765	1	-585	288	765	1	-585	288	765	1	-585	288	765	1	-585	288	765	1	-585	288	765	1	-585	288	765	1	-585	288	765	1	-585	288	765	1	-585	288	765	1	-585	288	765	1	-585	288	765	1	-585	288	765	1	-585	288	765	1	-585	288	765	1	-585	288	765	1	-585	288	765	1	-585	288	765	1	-585	288	765	1	-585	288	765	1	-585	288	765	1	-585	288	765	1	-585	288	765
2	-126	126	891	2	-126	126	891	2	-126	126	891	2	-126	126	891	2	-126	126	891	2	-126	126	891	2	-126	126	891	2	-126	126	891	2	-126	126	891	2	-126	126	891	2	-126	126	891	2	-126	126	891	2	-126	126	891	2	-126	126	891	2	-126	126	891	2	-126	126	891	2	-126	126	891	2	-126	126	891	2	-126	126	891	2	-126	126	891	2	-126	126	891	2	-126	126	891	2	-126	126	891	2	-126	126	891	2	-126	126	891
3	-762	366	1257	3	-762	366	1257	3	-762	366	1257	3	-762	366	1257	3	-762	366	1257	3	-762	366	1257	3	-762	366	1257	3	-762	366	1257	3	-762	366	1257	3	-762	366	1257	3	-762	366	1257	3	-762	366	1257	3	-762	366	1257	3	-762	366	1257	3	-762	366	1257	3	-762	366	1257	3	-762	366	1257	3	-762	366	1257	3	-762	366	1257	3	-762	366	1257	3	-762	366	1257	3	-762	366	1257	3	-762	366	1257	3	-762	366	1257	3	-762	366	1257
4	-351	153	1410	4	-351	153	1410	4	-351	153	1410	4	-351	153	1410	4	-351	153	1410	4	-351	153	1410	4	-351	153	1410	4	-351	153	1410	4	-351	153	1410	4	-351	153	1410	4	-351	153	1410	4	-351	153	1410	4	-351	153	1410	4	-351	153	1410	4	-351	153	1410	4	-351	153	1410	4	-351	153	1410	4	-351	153	1410	4	-351	153	1410	4	-351	153	1410	4	-351	153	1410	4	-351	153	1410	4	-351	153	1410	4	-351	153	1410	4	-351	153	1410
5	-65	65	1475	5	-65	65	1475	5	-65	65	1475	5	-65	65	1475	5	-65	65	1475	5	-65	65	1475	5	-65	65	1475	5	-65	65	1475	5	-65	65	1475	5	-65	65	1475	5	-65	65	1475	5	-65	65	1475	5	-65	65	1475	5	-65	65	1475	5	-65	65	1475	5	-65	65	1475	5	-65	65	1475	5	-65	65	1475	5	-65	65	1475	5	-65	65	1475	5	-65	65	1475	5	-65	65	1475	5	-65	65	1475	5	-65	65	1475	5	-65	65	1475
6	-91	91	1566	6	-91	91	1566	6	-91	91	1566	6	-91	91	1566	6	-91	91	1566	6	-91	91	1566	6	-91	91	1566	6	-91	91	1566	6	-91	91	1566	6	-91	91	1566	6	-91	91	1566	6	-91	91	1566	6	-91	91	1566	6	-91	91	1566	6	-91	91	1566	6	-91	91	1566	6	-91	91	1566	6	-91	91	1566	6	-91	91	1566	6	-91	91	1566	6	-91	91	1566	6	-91	91	1566	6	-91	91	1566	6	-91	91	1566	6	-91	91	1566
7	-71	71	1637	7	-71	71	1637	7	-71	71	1637	7	-71	71	1637	7	-71	71	1637	7	-71	71	1637	7	-71	71	1637	7	-71	71	1637	7	-71	71	1637	7	-71	71	1637	7	-71	71	1637	7	-71	71	1637	7	-71	71	1637	7	-71	71	1637	7	-71	71	1637	7	-71	71	1637	7	-71	71	1637	7	-71	71	1637	7	-71	71	1637	7	-71	71	1637	7	-71	71	1637	7	-71	71	1637	7	-71	71	1637	7	-71	71	1637	7	-71	71	1637
8	-196	97	1734	8	-196	97	1734	8	-196	97	1734	8	-196	97	1734	8	-196	97	1734	8	-196	97	1734	8	-196	97	1734	8	-196	97	1734	8	-196	97	1734	8	-196	97	1734	8	-196	97	1734	8	-196	97	1734	8	-196	97	1734	8	-196	97	1734	8	-196	97	1734	8	-196	97	1734	8	-196	97	1734	8	-196	97	1734	8	-196	97	1734	8	-196	97	1734	8	-196	97	1734	8	-196	97	1734	8	-196	97	1734	8	-196	97	1734	8	-196	97	1734
9	-254	155	1889	9	-254	155	1889	9	-254	155	1889	9	-254	155	1889	9	-254	155	1889	9	-254	155	1889	9	-254	155	1889	9	-254	155	1889	9	-254	155	1889	9	-254	155	1889	9	-254	155	1889	9	-254	155	1889	9	-254	155	1889	9	-254	155	1889	9	-254	155	1889	9	-254	155	1889	9	-254	155	1889	9	-254	155	1889	9	-254	155	1889	9	-254	155	1889	9	-254	155	1889	9	-254	155	1889	9	-254	155	1889	9	-254	155	1889	9	-254	155	1889
10	-84	84	1973	10	-84	84	1973	10	-84	84	1973	10	-84	84	1973	10	-84	84	1973	10	-84	84	1973	10	-84	84	1973	10	-84	84	1973	10	-84	84	1973	10	-84	84	1973	10	-84	84	1973	10	-84	84	1973	10	-84	84	1973	10	-84	84	1973	10	-84	84	1973	10	-84	84	1973	10	-84	84	1973	10	-84	84	1973	10	-84	84	1973	10	-84	84	1973	10	-84	84	1973	10	-84	84	1973	10	-84	84	1973	10	-84	84	1973	10	-84	84	1973
11	-94	94	2067	11	-94	94	2067	11	-94	94	2067	11	-94	94	2067	11	-94	94	2067	11	-94	94	2067	11	-94	94	2067	11	-94	94	2067	11	-94	94	2067	11	-94	94	2067	11	-94	94	2067	11	-94	94	2067	11	-94	94	2067	11	-94	94	2067	11	-94	94	2067	11	-94	94	2067	11	-94	94	2067	11	-94	94	2067	11	-94	94	2067	11	-94	94	2067	11	-94	94	2067	11	-94	94	2067	11	-94	94	2067	11	-94	94	2067	11	-94	94	2067
12	-58	58	2125	12	-58	58	2125	12	-58	58	2125	12	-58	58	2125	12	-58	58	2125	12	-58	58	2125	12	-58	58	2125	12	-58	58	2125	12	-58	58	2125	12	-58	58	2125	12	-58	58	2125	12	-58	58	2125	12	-58	58	2125	12	-58	58	2125	12	-58	58	2125	12	-58	58	2125	12	-58	58	2125	12	-58	58	2125	12	-58	58	2125	12	-58	58	2125	12	-58	58	2125	12	-58	58	2125	12	-58	58	2125	12	-58	58	2125	12	-58	58	2125
13	-399	102	2227	13	-399	102	2227	13	-399	102	2227	13	-399	102	2227	13	-399	102	2227	13	-399	102	2227	13	-399	102	2227	13	-399	102	2227	13	-399	102	2227	13	-399	102	2227	13	-399	102	2227	13	-399	102	2227	13	-399	102	2227	13	-399	102	2227	13	-399	102	2227	13	-399	102	2227	13	-399	102	2227	13	-399	102	2227	13	-399	102	2227	13	-399	102	2227	13	-399	102	2227	13	-399	102	2227	13	-399	102	2227	13	-399	102	2227	13	-399	102	2227
14	-184	85	2312	14	-184	85	2312	14	-184	85	2312	14	-184	85	2312	14	-184	85	2312	14	-184	85	2312	14	-184	85	2312	14	-184	85	2312	14	-184	85	2312	14	-184	85	2312	14	-184	85	2312	14	-184	85	2312	14	-184	85	2312	14	-184	85	2312	14	-184	85	2312	14	-184	85	2312	14	-184	85	2312	14	-184	85	2312	14	-184	85	2312	14	-184	85	2312	14	-184	85	2312	14	-184	85	2312	14	-184	85	2312	14	-184	85	2312	14	-184	85	2312
15	-46	46	2358	15	-46	46	2358	15	-46	46	2358	15	-46	46	2358	15	-46	46	2358	15	-46	46	2358	15	-46	46	2358	15	-46	46	2358	15	-46	46	2358	15	-46	46	2358	15	-46	46	2358	15	-46	46	2358	15	-46	46	2358	15	-46	46	2358	15	-46	46	2358	15	-46	46	2358	15	-46	46	2358	15	-46	46	2358	15	-46	46	2358	15	-46	46	2358	15	-46	46	2358	15	-46	46	2358	15	-46	46	2358	15	-46	46	2358	15	-46	46	2358
16	-53	53	2411	16	-53	53	2411	16	-53	53	2411	16	-53	53	2411	16	-53	53	2411	16	-53	53	2411	16	-53	53	2411	16	-53	53	2411	16	-53	53	2411	16	-53	53	2411	16	-53	53	2411	16	-53	53	2411	16	-53	53	2411	16	-53	53	2411	16	-53	53	2411	16	-53	53	2411	16	-53	53	2411	16	-53	53	2411	16	-53	53	2411	16	-53	53	2411	16	-53	53	2411	16	-53	53	2411	16	-53	53	2411	16	-53	53	2411	16	-53	53	2411
17	-183	84	2495	17	-183	84	2495	17	-183	84	2495	17	-183	84	2495	17	-183	84	2495	17	-183	84	2495	17	-183	84	2495	17	-183	84	2495	17	-183	84	2495	17	-183	84	2495	17	-183	84	2495	17	-183	84	2495	17	-183	84	2495	17	-183	84	2495	17	-183	84	2495	17	-183	84	2495	17	-183	84	2495	17	-183	84	2495	17	-183	84	2495	17	-183	84	2495	17	-183	84	2495	17	-183	84	2495	17	-183	84	2495	17	-183	84	2495	17	-183	84	2495
