Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371	0	-1262	371	371
1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860	1	-1083	489	860
2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157	2	-495	297	1157
3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298	3	-240	141	1298
4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397	4	-99	99	1397
5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507	5	-110	110	1507
6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602	6	-95	95	1602
7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709	7	-107	107	1709
8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754	8	-45	45	1754
9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825	9	-71	71	1825
10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937	10	-310	112	1937
11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114	11	-474	177	2114
12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213	12	-198	99	2213
13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286	13	-73	73	2286
