Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269	0	-1061	269	269
1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770	1	-1095	501	770
2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074	2	-700	304	1074
3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162	3	-88	88	1162
4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293	4	-329	131	1293
5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404	5	-111	111	1404
6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482	6	-78	78	1482
7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580	7	-197	98	1580
8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737	8	-355	157	1737
9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785	9	-48	48	1785
