Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691	0	-2275	691	691
1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886	1	-294	195	886
2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959	2	-73	73	959
3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024	3	-65	65	1024
4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223	4	-199	199	1223
5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296	5	-73	73	1296
6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382	6	-86	86	1382
7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516	7	-233	134	1516
8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564	8	-48	48	1564
9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661	9	-97	97	1661
