Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623	0	-1910	623	623
1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717	1	-94	94	717
2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990	2	-471	273	990
3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063	3	-271	73	1063
4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127	4	-64	64	1127
5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267	5	-140	140	1267
6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331	6	-64	64	1331
7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421	7	-90	90	1421
8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473	8	-52	52	1473
9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592	9	-119	119	1592
10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787	10	-492	195	1787
11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894	11	-404	107	1894
12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963	12	-168	69	1963
