Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436	0	-1426	436	436
1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781	1	-642	345	781
2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929	2	-148	148	929
3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052	3	-123	123	1052
4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258	4	-305	206	1258
5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402	5	-342	144	1402
6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526	6	-223	124	1526
7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595	7	-69	69	1595
8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681	8	-86	86	1681
9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822	9	-240	141	1822
