Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709	0	-2194	709	709
1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803	1	-94	94	803
2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053	2	-448	250	1053
3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124	3	-71	71	1124
4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281	4	-355	157	1281
5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371	5	-90	90	1371
6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529	6	-356	158	1529
7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603	7	-74	74	1603
8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729	8	-324	126	1729
9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789	9	-60	60	1789
10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895	10	-205	106	1895
11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941	11	-46	46	1941
