Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564	0	-2049	564	564
1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882	1	-714	318	882
2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031	2	-248	149	1031
3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302	3	-568	271	1302
4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349	4	-47	47	1349
5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460	5	-210	111	1460
6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541	6	-81	81	1541
7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618	7	-77	77	1618
8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716	8	-98	98	1716
9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789	9	-271	73	1789
