Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866	0	-2747	866	866
1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028	1	-261	162	1028
2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229	2	-399	201	1229
3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334	3	-105	105	1334
4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407	4	-73	73	1407
5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485	5	-177	78	1485
6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538	6	-53	53	1538
7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656	7	-118	118	1656
8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731	8	-75	75	1731
9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765	9	-34	34	1765
10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888	10	-222	123	1888
