Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1840	652	652	0	-1840	652	652
1	-499	202	854	1	-499	202	854
2	-254	155	1009	2	-254	155	1009
3	-385	187	1196	3	-385	187	1196
4	-81	81	1277	4	-81	81	1277
5	-109	109	1386	5	-109	109	1386
6	-388	190	1576	6	-388	190	1576
7	-141	42	1618	7	-141	42	1618
8	-349	151	1769	8	-349	151	1769
9	-169	70	1839	9	-169	70	1839
10	-145	145	1984	10	-145	145	1984
11	-31	31	2015	11	-31	31	2015
12	-225	126	2141	12	-225	126	2141
13	-75	75	2216	13	-75	75	2216
14	-39	39	2255	14	-39	39	2255
15	-191	92	2347	15	-191	92	2347
16	-42	42	2389	16	-42	42	2389
17	-69	69	2458	17	-69	69	2458
18	-150	51	2509	18	-150	51	2509
19	-57	57	2566	19	-57	57	2566
20	-66	66	2632	20	-66	66	2632
21	-138	39	2671	21	-138	39	2671
22	-58	58	2729	22	-58	58	2729
23	-51	51	2780	23	-51	51	2780
24	-34	34	2814	24	-34	34	2814
25	-41	41	2855	25	-41	41	2855
26	-190	91	2946	26	-190	91	2946
27	-63	63	3009	27	-63	63	3009
28	-63	63	3072	28	-63	63	3072
29	-40	40	3112	29	-40	40	3112
30	-64	64	3176	30	-64	64	3176
31	-180	81	3257	31	-180	81	3257
32	-23	23	3280	32	-23	23	3280
33	-21	21	3301	33	-21	21	3301
34	-61	61	3362	34	-61	61	3362
35	-51	51	3413	35	-51	51	3413
36	-139	40	3453	36	-139	40	3453
37	-30	30	3483	37	-30	30	3483
38	-35	35	3518	38	-35	35	3518
39	-39	39	3557	39	-39	39	3557
40	-37	37	3594	40	-37	37	3594
41	-41	41	3635	41	-41	41	3635
42	-27	27	3662	42	-27	27	3662
43	-41	41	3703	43	-41	41	3703
44	-40	40	3743	44	-40	40	3743
45	-27	27	3770	45	-27	27	3770
46	-41	41	3811	46	-41	41	3811
47	-35	35	3846	47	-35	35	3846
48	-49	49	3895	48	-49	49	3895
49	-30	30	3925	49	-30	30	3925
50	-41	41	3966	50	-41	41	3966
51	-21	21	3987	51	-21	21	3987
52	-51	51	4038	52	-51	51	4038
53	-44	44	4082	53	-44	44	4082
54	-19	19	4101	54	-19	19	4101
55	-27	27	4128	55	-27	27	4128
56	-130	31	4159	56	-130	31	4159
57	-56	56	4215	57	-56	56	4215
