Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2238	753	753	0	-2238	753	753	0	-2238	753	753	0	-2238	753	753	0	-2238	753	753
1	-52	52	805	1	-52	52	805	1	-52	52	805	1	-52	52	805	1	-52	52	805
2	-243	144	949	2	-243	144	949	2	-243	144	949	2	-243	144	949	2	-243	144	949
3	-120	120	1069	3	-120	120	1069	3	-120	120	1069	3	-120	120	1069	3	-120	120	1069
4	-291	192	1261	4	-291	192	1261	4	-291	192	1261	4	-291	192	1261	4	-291	192	1261
5	-74	74	1335	5	-74	74	1335	5	-74	74	1335	5	-74	74	1335	5	-74	74	1335
6	-67	67	1402	6	-67	67	1402	6	-67	67	1402	6	-67	67	1402	6	-67	67	1402
7	-230	131	1533	7	-230	131	1533	7	-230	131	1533	7	-230	131	1533	7	-230	131	1533
8	-55	55	1588	8	-55	55	1588	8	-55	55	1588	8	-55	55	1588	8	-55	55	1588
9	-62	62	1650	9	-62	62	1650	9	-62	62	1650	9	-62	62	1650	9	-62	62	1650
10	-225	126	1776	10	-225	126	1776	10	-225	126	1776	10	-225	126	1776	10	-225	126	1776
11	-290	92	1868	11	-290	92	1868	11	-290	92	1868	11	-290	92	1868	11	-290	92	1868
12	-71	71	1939	12	-71	71	1939	12	-71	71	1939	12	-71	71	1939	12	-71	71	1939
13	-81	81	2020	13	-81	81	2020	13	-81	81	2020	13	-81	81	2020	13	-81	81	2020
14	-265	67	2087	14	-265	67	2087	14	-265	67	2087	14	-265	67	2087	14	-265	67	2087
15	-48	48	2135	15	-48	48	2135	15	-48	48	2135	15	-48	48	2135	15	-48	48	2135
16	-138	39	2174	16	-138	39	2174	16	-138	39	2174	16	-138	39	2174	16	-138	39	2174
17	-186	87	2261	17	-186	87	2261	17	-186	87	2261	17	-186	87	2261	17	-186	87	2261
18	-153	54	2315	18	-153	54	2315	18	-153	54	2315	18	-153	54	2315	18	-153	54	2315
19	-193	94	2409	19	-193	94	2409	19	-193	94	2409	19	-193	94	2409	19	-193	94	2409
20	-127	28	2437	20	-127	28	2437	20	-127	28	2437	20	-127	28	2437	20	-127	28	2437
21	-287	89	2526	21	-287	89	2526	21	-287	89	2526	21	-287	89	2526	21	-287	89	2526
22	-183	84	2610	22	-183	84	2610	22	-183	84	2610	22	-183	84	2610	22	-183	84	2610
23	-22	22	2632	23	-22	22	2632	23	-22	22	2632	23	-22	22	2632	23	-22	22	2632
24	-63	63	2695	24	-63	63	2695	24	-63	63	2695	24	-63	63	2695	24	-63	63	2695
25	-72	72	2767	25	-72	72	2767	25	-72	72	2767	25	-72	72	2767	25	-72	72	2767
26	-23	23	2790	26	-23	23	2790	26	-23	23	2790	26	-23	23	2790	26	-23	23	2790
27	-66	66	2856	27	-66	66	2856	27	-66	66	2856	27	-66	66	2856	27	-66	66	2856
28	-46	46	2902	28	-46	46	2902	28	-46	46	2902	28	-46	46	2902	28	-46	46	2902
29	-335	137	3039	29	-335	137	3039	29	-335	137	3039	29	-335	137	3039	29	-335	137	3039
30	-27	27	3066	30	-27	27	3066	30	-27	27	3066	30	-27	27	3066	30	-27	27	3066
31	-41	41	3107	31	-41	41	3107	31	-41	41	3107	31	-41	41	3107	31	-41	41	3107
32	-100	100	3207	32	-100	100	3207	32	-100	100	3207	32	-100	100	3207	32	-100	100	3207
33	-48	48	3255	33	-48	48	3255	33	-48	48	3255	33	-48	48	3255	33	-48	48	3255
34	-47	47	3302	34	-47	47	3302	34	-47	47	3302	34	-47	47	3302	34	-47	47	3302
35	-74	74	3376	35	-74	74	3376	35	-74	74	3376	35	-74	74	3376	35	-74	74	3376
36	-39	39	3415	36	-39	39	3415	36	-39	39	3415	36	-39	39	3415	36	-39	39	3415
37	-35	35	3450	37	-35	35	3450	37	-35	35	3450	37	-35	35	3450	37	-35	35	3450
38	-39	39	3489	38	-39	39	3489	38	-39	39	3489	38	-39	39	3489	38	-39	39	3489
