Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2079	693	693	0	-2079	693	693	0	-2079	693	693	0	-2079	693	693	0	-2079	693	693	0	-2079	693	693	0	-2079	693	693	0	-2079	693	693
1	-113	113	806	1	-113	113	806	1	-113	113	806	1	-113	113	806	1	-113	113	806	1	-113	113	806	1	-113	113	806	1	-113	113	806
2	-382	184	990	2	-382	184	990	2	-382	184	990	2	-382	184	990	2	-382	184	990	2	-382	184	990	2	-382	184	990	2	-382	184	990
3	-517	220	1210	3	-517	220	1210	3	-517	220	1210	3	-517	220	1210	3	-517	220	1210	3	-517	220	1210	3	-517	220	1210	3	-517	220	1210
4	-276	177	1387	4	-276	177	1387	4	-276	177	1387	4	-276	177	1387	4	-276	177	1387	4	-276	177	1387	4	-276	177	1387	4	-276	177	1387
5	-41	41	1428	5	-41	41	1428	5	-41	41	1428	5	-41	41	1428	5	-41	41	1428	5	-41	41	1428	5	-41	41	1428	5	-41	41	1428
6	-313	115	1543	6	-313	115	1543	6	-313	115	1543	6	-313	115	1543	6	-313	115	1543	6	-313	115	1543	6	-313	115	1543	6	-313	115	1543
7	-324	126	1669	7	-324	126	1669	7	-324	126	1669	7	-324	126	1669	7	-324	126	1669	7	-324	126	1669	7	-324	126	1669	7	-324	126	1669
8	-508	310	1979	8	-508	310	1979	8	-508	310	1979	8	-508	310	1979	8	-508	310	1979	8	-508	310	1979	8	-508	310	1979	8	-508	310	1979
9	-133	133	2112	9	-133	133	2112	9	-133	133	2112	9	-133	133	2112	9	-133	133	2112	9	-133	133	2112	9	-133	133	2112	9	-133	133	2112
10	-50	50	2162	10	-50	50	2162	10	-50	50	2162	10	-50	50	2162	10	-50	50	2162	10	-50	50	2162	10	-50	50	2162	10	-50	50	2162
11	-67	67	2229	11	-67	67	2229	11	-67	67	2229	11	-67	67	2229	11	-67	67	2229	11	-67	67	2229	11	-67	67	2229	11	-67	67	2229
12	-353	155	2384	12	-353	155	2384	12	-353	155	2384	12	-353	155	2384	12	-353	155	2384	12	-353	155	2384	12	-353	155	2384	12	-353	155	2384
13	-62	62	2446	13	-62	62	2446	13	-62	62	2446	13	-62	62	2446	13	-62	62	2446	13	-62	62	2446	13	-62	62	2446	13	-62	62	2446
14	-35	35	2481	14	-35	35	2481	14	-35	35	2481	14	-35	35	2481	14	-35	35	2481	14	-35	35	2481	14	-35	35	2481	14	-35	35	2481
15	-37	37	2518	15	-37	37	2518	15	-37	37	2518	15	-37	37	2518	15	-37	37	2518	15	-37	37	2518	15	-37	37	2518	15	-37	37	2518
16	-190	91	2609	16	-190	91	2609	16	-190	91	2609	16	-190	91	2609	16	-190	91	2609	16	-190	91	2609	16	-190	91	2609	16	-190	91	2609
17	-40	40	2649	17	-40	40	2649	17	-40	40	2649	17	-40	40	2649	17	-40	40	2649	17	-40	40	2649	17	-40	40	2649	17	-40	40	2649
18	-56	56	2705	18	-56	56	2705	18	-56	56	2705	18	-56	56	2705	18	-56	56	2705	18	-56	56	2705	18	-56	56	2705	18	-56	56	2705
