Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1862	476	476	0	-1862	476	476	0	-1862	476	476	0	-1862	476	476	0	-1862	476	476	0	-1862	476	476	0	-1862	476	476	0	-1862	476	476	0	-1862	476	476	0	-1862	476	476	0	-1862	476	476
1	-647	350	826	1	-647	350	826	1	-647	350	826	1	-647	350	826	1	-647	350	826	1	-647	350	826	1	-647	350	826	1	-647	350	826	1	-647	350	826	1	-647	350	826	1	-647	350	826
2	-518	221	1047	2	-518	221	1047	2	-518	221	1047	2	-518	221	1047	2	-518	221	1047	2	-518	221	1047	2	-518	221	1047	2	-518	221	1047	2	-518	221	1047	2	-518	221	1047	2	-518	221	1047
3	-230	131	1178	3	-230	131	1178	3	-230	131	1178	3	-230	131	1178	3	-230	131	1178	3	-230	131	1178	3	-230	131	1178	3	-230	131	1178	3	-230	131	1178	3	-230	131	1178	3	-230	131	1178
4	-64	64	1242	4	-64	64	1242	4	-64	64	1242	4	-64	64	1242	4	-64	64	1242	4	-64	64	1242	4	-64	64	1242	4	-64	64	1242	4	-64	64	1242	4	-64	64	1242	4	-64	64	1242
5	-341	143	1385	5	-341	143	1385	5	-341	143	1385	5	-341	143	1385	5	-341	143	1385	5	-341	143	1385	5	-341	143	1385	5	-341	143	1385	5	-341	143	1385	5	-341	143	1385	5	-341	143	1385
6	-91	91	1476	6	-91	91	1476	6	-91	91	1476	6	-91	91	1476	6	-91	91	1476	6	-91	91	1476	6	-91	91	1476	6	-91	91	1476	6	-91	91	1476	6	-91	91	1476	6	-91	91	1476
7	-83	83	1559	7	-83	83	1559	7	-83	83	1559	7	-83	83	1559	7	-83	83	1559	7	-83	83	1559	7	-83	83	1559	7	-83	83	1559	7	-83	83	1559	7	-83	83	1559	7	-83	83	1559
8	-243	144	1703	8	-243	144	1703	8	-243	144	1703	8	-243	144	1703	8	-243	144	1703	8	-243	144	1703	8	-243	144	1703	8	-243	144	1703	8	-243	144	1703	8	-243	144	1703	8	-243	144	1703
9	-90	90	1793	9	-90	90	1793	9	-90	90	1793	9	-90	90	1793	9	-90	90	1793	9	-90	90	1793	9	-90	90	1793	9	-90	90	1793	9	-90	90	1793	9	-90	90	1793	9	-90	90	1793
10	-47	47	1840	10	-47	47	1840	10	-47	47	1840	10	-47	47	1840	10	-47	47	1840	10	-47	47	1840	10	-47	47	1840	10	-47	47	1840	10	-47	47	1840	10	-47	47	1840	10	-47	47	1840
11	-218	119	1959	11	-218	119	1959	11	-218	119	1959	11	-218	119	1959	11	-218	119	1959	11	-218	119	1959	11	-218	119	1959	11	-218	119	1959	11	-218	119	1959	11	-218	119	1959	11	-218	119	1959
12	-94	94	2053	12	-94	94	2053	12	-94	94	2053	12	-94	94	2053	12	-94	94	2053	12	-94	94	2053	12	-94	94	2053	12	-94	94	2053	12	-94	94	2053	12	-94	94	2053	12	-94	94	2053
