Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1192	301	301	0	-1192	301	301	0	-1192	301	301	0	-1192	301	301	0	-1192	301	301	0	-1192	301	301	0	-1192	301	301	0	-1192	301	301	0	-1192	301	301	0	-1192	301	301	0	-1192	301	301	0	-1192	301	301	0	-1192	301	301	0	-1192	301	301
1	-1045	451	752	1	-1045	451	752	1	-1045	451	752	1	-1045	451	752	1	-1045	451	752	1	-1045	451	752	1	-1045	451	752	1	-1045	451	752	1	-1045	451	752	1	-1045	451	752	1	-1045	451	752	1	-1045	451	752	1	-1045	451	752	1	-1045	451	752
2	-175	175	927	2	-175	175	927	2	-175	175	927	2	-175	175	927	2	-175	175	927	2	-175	175	927	2	-175	175	927	2	-175	175	927	2	-175	175	927	2	-175	175	927	2	-175	175	927	2	-175	175	927	2	-175	175	927	2	-175	175	927
3	-232	133	1060	3	-232	133	1060	3	-232	133	1060	3	-232	133	1060	3	-232	133	1060	3	-232	133	1060	3	-232	133	1060	3	-232	133	1060	3	-232	133	1060	3	-232	133	1060	3	-232	133	1060	3	-232	133	1060	3	-232	133	1060	3	-232	133	1060
4	-137	137	1197	4	-137	137	1197	4	-137	137	1197	4	-137	137	1197	4	-137	137	1197	4	-137	137	1197	4	-137	137	1197	4	-137	137	1197	4	-137	137	1197	4	-137	137	1197	4	-137	137	1197	4	-137	137	1197	4	-137	137	1197	4	-137	137	1197
5	-260	161	1358	5	-260	161	1358	5	-260	161	1358	5	-260	161	1358	5	-260	161	1358	5	-260	161	1358	5	-260	161	1358	5	-260	161	1358	5	-260	161	1358	5	-260	161	1358	5	-260	161	1358	5	-260	161	1358	5	-260	161	1358	5	-260	161	1358
6	-381	282	1640	6	-381	282	1640	6	-381	282	1640	6	-381	282	1640	6	-381	282	1640	6	-381	282	1640	6	-381	282	1640	6	-381	282	1640	6	-381	282	1640	6	-381	282	1640	6	-381	282	1640	6	-381	282	1640	6	-381	282	1640	6	-381	282	1640
7	-90	90	1730	7	-90	90	1730	7	-90	90	1730	7	-90	90	1730	7	-90	90	1730	7	-90	90	1730	7	-90	90	1730	7	-90	90	1730	7	-90	90	1730	7	-90	90	1730	7	-90	90	1730	7	-90	90	1730	7	-90	90	1730	7	-90	90	1730
8	-87	87	1817	8	-87	87	1817	8	-87	87	1817	8	-87	87	1817	8	-87	87	1817	8	-87	87	1817	8	-87	87	1817	8	-87	87	1817	8	-87	87	1817	8	-87	87	1817	8	-87	87	1817	8	-87	87	1817	8	-87	87	1817	8	-87	87	1817
9	-74	74	1891	9	-74	74	1891	9	-74	74	1891	9	-74	74	1891	9	-74	74	1891	9	-74	74	1891	9	-74	74	1891	9	-74	74	1891	9	-74	74	1891	9	-74	74	1891	9	-74	74	1891	9	-74	74	1891	9	-74	74	1891	9	-74	74	1891
10	-95	95	1986	10	-95	95	1986	10	-95	95	1986	10	-95	95	1986	10	-95	95	1986	10	-95	95	1986	10	-95	95	1986	10	-95	95	1986	10	-95	95	1986	10	-95	95	1986	10	-95	95	1986	10	-95	95	1986	10	-95	95	1986	10	-95	95	1986
11	-289	91	2077	11	-289	91	2077	11	-289	91	2077	11	-289	91	2077	11	-289	91	2077	11	-289	91	2077	11	-289	91	2077	11	-289	91	2077	11	-289	91	2077	11	-289	91	2077	11	-289	91	2077	11	-289	91	2077	11	-289	91	2077	11	-289	91	2077
12	-169	70	2147	12	-169	70	2147	12	-169	70	2147	12	-169	70	2147	12	-169	70	2147	12	-169	70	2147	12	-169	70	2147	12	-169	70	2147	12	-169	70	2147	12	-169	70	2147	12	-169	70	2147	12	-169	70	2147	12	-169	70	2147	12	-169	70	2147
13	-57	57	2204	13	-57	57	2204	13	-57	57	2204	13	-57	57	2204	13	-57	57	2204	13	-57	57	2204	13	-57	57	2204	13	-57	57	2204	13	-57	57	2204	13	-57	57	2204	13	-57	57	2204	13	-57	57	2204	13	-57	57	2204	13	-57	57	2204
14	-61	61	2265	14	-61	61	2265	14	-61	61	2265	14	-61	61	2265	14	-61	61	2265	14	-61	61	2265	14	-61	61	2265	14	-61	61	2265	14	-61	61	2265	14	-61	61	2265	14	-61	61	2265	14	-61	61	2265	14	-61	61	2265	14	-61	61	2265
15	-62	62	2327	15	-62	62	2327	15	-62	62	2327	15	-62	62	2327	15	-62	62	2327	15	-62	62	2327	15	-62	62	2327	15	-62	62	2327	15	-62	62	2327	15	-62	62	2327	15	-62	62	2327	15	-62	62	2327	15	-62	62	2327	15	-62	62	2327
