Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2222	638	638	0	-2222	638	638	0	-2222	638	638	0	-2222	638	638	0	-2222	638	638	0	-2222	638	638	0	-2222	638	638	0	-2222	638	638	0	-2222	638	638	0	-2222	638	638	0	-2222	638	638	0	-2222	638	638	0	-2222	638	638	0	-2222	638	638	0	-2222	638	638	0	-2222	638	638	0	-2222	638	638
1	-650	353	991	1	-650	353	991	1	-650	353	991	1	-650	353	991	1	-650	353	991	1	-650	353	991	1	-650	353	991	1	-650	353	991	1	-650	353	991	1	-650	353	991	1	-650	353	991	1	-650	353	991	1	-650	353	991	1	-650	353	991	1	-650	353	991	1	-650	353	991	1	-650	353	991
2	-393	195	1186	2	-393	195	1186	2	-393	195	1186	2	-393	195	1186	2	-393	195	1186	2	-393	195	1186	2	-393	195	1186	2	-393	195	1186	2	-393	195	1186	2	-393	195	1186	2	-393	195	1186	2	-393	195	1186	2	-393	195	1186	2	-393	195	1186	2	-393	195	1186	2	-393	195	1186	2	-393	195	1186
3	-92	92	1278	3	-92	92	1278	3	-92	92	1278	3	-92	92	1278	3	-92	92	1278	3	-92	92	1278	3	-92	92	1278	3	-92	92	1278	3	-92	92	1278	3	-92	92	1278	3	-92	92	1278	3	-92	92	1278	3	-92	92	1278	3	-92	92	1278	3	-92	92	1278	3	-92	92	1278	3	-92	92	1278
4	-402	303	1581	4	-402	303	1581	4	-402	303	1581	4	-402	303	1581	4	-402	303	1581	4	-402	303	1581	4	-402	303	1581	4	-402	303	1581	4	-402	303	1581	4	-402	303	1581	4	-402	303	1581	4	-402	303	1581	4	-402	303	1581	4	-402	303	1581	4	-402	303	1581	4	-402	303	1581	4	-402	303	1581
5	-90	90	1671	5	-90	90	1671	5	-90	90	1671	5	-90	90	1671	5	-90	90	1671	5	-90	90	1671	5	-90	90	1671	5	-90	90	1671	5	-90	90	1671	5	-90	90	1671	5	-90	90	1671	5	-90	90	1671	5	-90	90	1671	5	-90	90	1671	5	-90	90	1671	5	-90	90	1671	5	-90	90	1671
6	-104	104	1775	6	-104	104	1775	6	-104	104	1775	6	-104	104	1775	6	-104	104	1775	6	-104	104	1775	6	-104	104	1775	6	-104	104	1775	6	-104	104	1775	6	-104	104	1775	6	-104	104	1775	6	-104	104	1775	6	-104	104	1775	6	-104	104	1775	6	-104	104	1775	6	-104	104	1775	6	-104	104	1775
7	-84	84	1859	7	-84	84	1859	7	-84	84	1859	7	-84	84	1859	7	-84	84	1859	7	-84	84	1859	7	-84	84	1859	7	-84	84	1859	7	-84	84	1859	7	-84	84	1859	7	-84	84	1859	7	-84	84	1859	7	-84	84	1859	7	-84	84	1859	7	-84	84	1859	7	-84	84	1859	7	-84	84	1859
8	-107	107	1966	8	-107	107	1966	8	-107	107	1966	8	-107	107	1966	8	-107	107	1966	8	-107	107	1966	8	-107	107	1966	8	-107	107	1966	8	-107	107	1966	8	-107	107	1966	8	-107	107	1966	8	-107	107	1966	8	-107	107	1966	8	-107	107	1966	8	-107	107	1966	8	-107	107	1966	8	-107	107	1966
9	-689	293	2259	9	-689	293	2259	9	-689	293	2259	9	-689	293	2259	9	-689	293	2259	9	-689	293	2259	9	-689	293	2259	9	-689	293	2259	9	-689	293	2259	9	-689	293	2259	9	-689	293	2259	9	-689	293	2259	9	-689	293	2259	9	-689	293	2259	9	-689	293	2259	9	-689	293	2259	9	-689	293	2259
10	-59	59	2318	10	-59	59	2318	10	-59	59	2318	10	-59	59	2318	10	-59	59	2318	10	-59	59	2318	10	-59	59	2318	10	-59	59	2318	10	-59	59	2318	10	-59	59	2318	10	-59	59	2318	10	-59	59	2318	10	-59	59	2318	10	-59	59	2318	10	-59	59	2318	10	-59	59	2318	10	-59	59	2318
11	-71	71	2389	11	-71	71	2389	11	-71	71	2389	11	-71	71	2389	11	-71	71	2389	11	-71	71	2389	11	-71	71	2389	11	-71	71	2389	11	-71	71	2389	11	-71	71	2389	11	-71	71	2389	11	-71	71	2389	11	-71	71	2389	11	-71	71	2389	11	-71	71	2389	11	-71	71	2389	11	-71	71	2389
12	-145	46	2435	12	-145	46	2435	12	-145	46	2435	12	-145	46	2435	12	-145	46	2435	12	-145	46	2435	12	-145	46	2435	12	-145	46	2435	12	-145	46	2435	12	-145	46	2435	12	-145	46	2435	12	-145	46	2435	12	-145	46	2435	12	-145	46	2435	12	-145	46	2435	12	-145	46	2435	12	-145	46	2435
13	-55	55	2490	13	-55	55	2490	13	-55	55	2490	13	-55	55	2490	13	-55	55	2490	13	-55	55	2490	13	-55	55	2490	13	-55	55	2490	13	-55	55	2490	13	-55	55	2490	13	-55	55	2490	13	-55	55	2490	13	-55	55	2490	13	-55	55	2490	13	-55	55	2490	13	-55	55	2490	13	-55	55	2490
14	-62	62	2552	14	-62	62	2552	14	-62	62	2552	14	-62	62	2552	14	-62	62	2552	14	-62	62	2552	14	-62	62	2552	14	-62	62	2552	14	-62	62	2552	14	-62	62	2552	14	-62	62	2552	14	-62	62	2552	14	-62	62	2552	14	-62	62	2552	14	-62	62	2552	14	-62	62	2552	14	-62	62	2552
15	-43	43	2595	15	-43	43	2595	15	-43	43	2595	15	-43	43	2595	15	-43	43	2595	15	-43	43	2595	15	-43	43	2595	15	-43	43	2595	15	-43	43	2595	15	-43	43	2595	15	-43	43	2595	15	-43	43	2595	15	-43	43	2595	15	-43	43	2595	15	-43	43	2595	15	-43	43	2595	15	-43	43	2595
16	-76	76	2671	16	-76	76	2671	16	-76	76	2671	16	-76	76	2671	16	-76	76	2671	16	-76	76	2671	16	-76	76	2671	16	-76	76	2671	16	-76	76	2671	16	-76	76	2671	16	-76	76	2671	16	-76	76	2671	16	-76	76	2671	16	-76	76	2671	16	-76	76	2671	16	-76	76	2671	16	-76	76	2671
17	-37	37	2708	17	-37	37	2708	17	-37	37	2708	17	-37	37	2708	17	-37	37	2708	17	-37	37	2708	17	-37	37	2708	17	-37	37	2708	17	-37	37	2708	17	-37	37	2708	17	-37	37	2708	17	-37	37	2708	17	-37	37	2708	17	-37	37	2708	17	-37	37	2708	17	-37	37	2708	17	-37	37	2708
18	-59	59	2767	18	-59	59	2767	18	-59	59	2767	18	-59	59	2767	18	-59	59	2767	18	-59	59	2767	18	-59	59	2767	18	-59	59	2767	18	-59	59	2767	18	-59	59	2767	18	-59	59	2767	18	-59	59	2767	18	-59	59	2767	18	-59	59	2767	18	-59	59	2767	18	-59	59	2767	18	-59	59	2767
