Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2226	741	741	0	-2226	741	741	0	-2226	741	741	0	-2226	741	741	0	-2226	741	741	0	-2226	741	741	0	-2226	741	741	0	-2226	741	741	0	-2226	741	741	0	-2226	741	741	0	-2226	741	741	0	-2226	741	741	0	-2226	741	741	0	-2226	741	741	0	-2226	741	741	0	-2226	741	741	0	-2226	741	741	0	-2226	741	741	0	-2226	741	741	0	-2226	741	741
1	-266	167	908	1	-266	167	908	1	-266	167	908	1	-266	167	908	1	-266	167	908	1	-266	167	908	1	-266	167	908	1	-266	167	908	1	-266	167	908	1	-266	167	908	1	-266	167	908	1	-266	167	908	1	-266	167	908	1	-266	167	908	1	-266	167	908	1	-266	167	908	1	-266	167	908	1	-266	167	908	1	-266	167	908	1	-266	167	908
2	-564	267	1175	2	-564	267	1175	2	-564	267	1175	2	-564	267	1175	2	-564	267	1175	2	-564	267	1175	2	-564	267	1175	2	-564	267	1175	2	-564	267	1175	2	-564	267	1175	2	-564	267	1175	2	-564	267	1175	2	-564	267	1175	2	-564	267	1175	2	-564	267	1175	2	-564	267	1175	2	-564	267	1175	2	-564	267	1175	2	-564	267	1175	2	-564	267	1175
3	-108	108	1283	3	-108	108	1283	3	-108	108	1283	3	-108	108	1283	3	-108	108	1283	3	-108	108	1283	3	-108	108	1283	3	-108	108	1283	3	-108	108	1283	3	-108	108	1283	3	-108	108	1283	3	-108	108	1283	3	-108	108	1283	3	-108	108	1283	3	-108	108	1283	3	-108	108	1283	3	-108	108	1283	3	-108	108	1283	3	-108	108	1283	3	-108	108	1283
4	-268	169	1452	4	-268	169	1452	4	-268	169	1452	4	-268	169	1452	4	-268	169	1452	4	-268	169	1452	4	-268	169	1452	4	-268	169	1452	4	-268	169	1452	4	-268	169	1452	4	-268	169	1452	4	-268	169	1452	4	-268	169	1452	4	-268	169	1452	4	-268	169	1452	4	-268	169	1452	4	-268	169	1452	4	-268	169	1452	4	-268	169	1452	4	-268	169	1452
5	-147	48	1500	5	-147	48	1500	5	-147	48	1500	5	-147	48	1500	5	-147	48	1500	5	-147	48	1500	5	-147	48	1500	5	-147	48	1500	5	-147	48	1500	5	-147	48	1500	5	-147	48	1500	5	-147	48	1500	5	-147	48	1500	5	-147	48	1500	5	-147	48	1500	5	-147	48	1500	5	-147	48	1500	5	-147	48	1500	5	-147	48	1500	5	-147	48	1500
6	-51	51	1551	6	-51	51	1551	6	-51	51	1551	6	-51	51	1551	6	-51	51	1551	6	-51	51	1551	6	-51	51	1551	6	-51	51	1551	6	-51	51	1551	6	-51	51	1551	6	-51	51	1551	6	-51	51	1551	6	-51	51	1551	6	-51	51	1551	6	-51	51	1551	6	-51	51	1551	6	-51	51	1551	6	-51	51	1551	6	-51	51	1551	6	-51	51	1551
7	-238	139	1690	7	-238	139	1690	7	-238	139	1690	7	-238	139	1690	7	-238	139	1690	7	-238	139	1690	7	-238	139	1690	7	-238	139	1690	7	-238	139	1690	7	-238	139	1690	7	-238	139	1690	7	-238	139	1690	7	-238	139	1690	7	-238	139	1690	7	-238	139	1690	7	-238	139	1690	7	-238	139	1690	7	-238	139	1690	7	-238	139	1690	7	-238	139	1690
8	-96	96	1786	8	-96	96	1786	8	-96	96	1786	8	-96	96	1786	8	-96	96	1786	8	-96	96	1786	8	-96	96	1786	8	-96	96	1786	8	-96	96	1786	8	-96	96	1786	8	-96	96	1786	8	-96	96	1786	8	-96	96	1786	8	-96	96	1786	8	-96	96	1786	8	-96	96	1786	8	-96	96	1786	8	-96	96	1786	8	-96	96	1786	8	-96	96	1786
9	-334	136	1922	9	-334	136	1922	9	-334	136	1922	9	-334	136	1922	9	-334	136	1922	9	-334	136	1922	9	-334	136	1922	9	-334	136	1922	9	-334	136	1922	9	-334	136	1922	9	-334	136	1922	9	-334	136	1922	9	-334	136	1922	9	-334	136	1922	9	-334	136	1922	9	-334	136	1922	9	-334	136	1922	9	-334	136	1922	9	-334	136	1922	9	-334	136	1922
10	-50	50	1972	10	-50	50	1972	10	-50	50	1972	10	-50	50	1972	10	-50	50	1972	10	-50	50	1972	10	-50	50	1972	10	-50	50	1972	10	-50	50	1972	10	-50	50	1972	10	-50	50	1972	10	-50	50	1972	10	-50	50	1972	10	-50	50	1972	10	-50	50	1972	10	-50	50	1972	10	-50	50	1972	10	-50	50	1972	10	-50	50	1972	10	-50	50	1972
11	-228	129	2101	11	-228	129	2101	11	-228	129	2101	11	-228	129	2101	11	-228	129	2101	11	-228	129	2101	11	-228	129	2101	11	-228	129	2101	11	-228	129	2101	11	-228	129	2101	11	-228	129	2101	11	-228	129	2101	11	-228	129	2101	11	-228	129	2101	11	-228	129	2101	11	-228	129	2101	11	-228	129	2101	11	-228	129	2101	11	-228	129	2101	11	-228	129	2101
12	-216	117	2218	12	-216	117	2218	12	-216	117	2218	12	-216	117	2218	12	-216	117	2218	12	-216	117	2218	12	-216	117	2218	12	-216	117	2218	12	-216	117	2218	12	-216	117	2218	12	-216	117	2218	12	-216	117	2218	12	-216	117	2218	12	-216	117	2218	12	-216	117	2218	12	-216	117	2218	12	-216	117	2218	12	-216	117	2218	12	-216	117	2218	12	-216	117	2218
13	-219	120	2338	13	-219	120	2338	13	-219	120	2338	13	-219	120	2338	13	-219	120	2338	13	-219	120	2338	13	-219	120	2338	13	-219	120	2338	13	-219	120	2338	13	-219	120	2338	13	-219	120	2338	13	-219	120	2338	13	-219	120	2338	13	-219	120	2338	13	-219	120	2338	13	-219	120	2338	13	-219	120	2338	13	-219	120	2338	13	-219	120	2338	13	-219	120	2338
14	-65	65	2403	14	-65	65	2403	14	-65	65	2403	14	-65	65	2403	14	-65	65	2403	14	-65	65	2403	14	-65	65	2403	14	-65	65	2403	14	-65	65	2403	14	-65	65	2403	14	-65	65	2403	14	-65	65	2403	14	-65	65	2403	14	-65	65	2403	14	-65	65	2403	14	-65	65	2403	14	-65	65	2403	14	-65	65	2403	14	-65	65	2403	14	-65	65	2403
15	-72	72	2475	15	-72	72	2475	15	-72	72	2475	15	-72	72	2475	15	-72	72	2475	15	-72	72	2475	15	-72	72	2475	15	-72	72	2475	15	-72	72	2475	15	-72	72	2475	15	-72	72	2475	15	-72	72	2475	15	-72	72	2475	15	-72	72	2475	15	-72	72	2475	15	-72	72	2475	15	-72	72	2475	15	-72	72	2475	15	-72	72	2475	15	-72	72	2475
16	-49	49	2524	16	-49	49	2524	16	-49	49	2524	16	-49	49	2524	16	-49	49	2524	16	-49	49	2524	16	-49	49	2524	16	-49	49	2524	16	-49	49	2524	16	-49	49	2524	16	-49	49	2524	16	-49	49	2524	16	-49	49	2524	16	-49	49	2524	16	-49	49	2524	16	-49	49	2524	16	-49	49	2524	16	-49	49	2524	16	-49	49	2524	16	-49	49	2524
17	-163	64	2588	17	-163	64	2588	17	-163	64	2588	17	-163	64	2588	17	-163	64	2588	17	-163	64	2588	17	-163	64	2588	17	-163	64	2588	17	-163	64	2588	17	-163	64	2588	17	-163	64	2588	17	-163	64	2588	17	-163	64	2588	17	-163	64	2588	17	-163	64	2588	17	-163	64	2588	17	-163	64	2588	17	-163	64	2588	17	-163	64	2588	17	-163	64	2588
18	-112	112	2700	18	-112	112	2700	18	-112	112	2700	18	-112	112	2700	18	-112	112	2700	18	-112	112	2700	18	-112	112	2700	18	-112	112	2700	18	-112	112	2700	18	-112	112	2700	18	-112	112	2700	18	-112	112	2700	18	-112	112	2700	18	-112	112	2700	18	-112	112	2700	18	-112	112	2700	18	-112	112	2700	18	-112	112	2700	18	-112	112	2700	18	-112	112	2700
19	-98	98	2798	19	-98	98	2798	19	-98	98	2798	19	-98	98	2798	19	-98	98	2798	19	-98	98	2798	19	-98	98	2798	19	-98	98	2798	19	-98	98	2798	19	-98	98	2798	19	-98	98	2798	19	-98	98	2798	19	-98	98	2798	19	-98	98	2798	19	-98	98	2798	19	-98	98	2798	19	-98	98	2798	19	-98	98	2798	19	-98	98	2798	19	-98	98	2798
20	-177	78	2876	20	-177	78	2876	20	-177	78	2876	20	-177	78	2876	20	-177	78	2876	20	-177	78	2876	20	-177	78	2876	20	-177	78	2876	20	-177	78	2876	20	-177	78	2876	20	-177	78	2876	20	-177	78	2876	20	-177	78	2876	20	-177	78	2876	20	-177	78	2876	20	-177	78	2876	20	-177	78	2876	20	-177	78	2876	20	-177	78	2876	20	-177	78	2876
21	-80	80	2956	21	-80	80	2956	21	-80	80	2956	21	-80	80	2956	21	-80	80	2956	21	-80	80	2956	21	-80	80	2956	21	-80	80	2956	21	-80	80	2956	21	-80	80	2956	21	-80	80	2956	21	-80	80	2956	21	-80	80	2956	21	-80	80	2956	21	-80	80	2956	21	-80	80	2956	21	-80	80	2956	21	-80	80	2956	21	-80	80	2956	21	-80	80	2956
22	-71	71	3027	22	-71	71	3027	22	-71	71	3027	22	-71	71	3027	22	-71	71	3027	22	-71	71	3027	22	-71	71	3027	22	-71	71	3027	22	-71	71	3027	22	-71	71	3027	22	-71	71	3027	22	-71	71	3027	22	-71	71	3027	22	-71	71	3027	22	-71	71	3027	22	-71	71	3027	22	-71	71	3027	22	-71	71	3027	22	-71	71	3027	22	-71	71	3027
23	-49	49	3076	23	-49	49	3076	23	-49	49	3076	23	-49	49	3076	23	-49	49	3076	23	-49	49	3076	23	-49	49	3076	23	-49	49	3076	23	-49	49	3076	23	-49	49	3076	23	-49	49	3076	23	-49	49	3076	23	-49	49	3076	23	-49	49	3076	23	-49	49	3076	23	-49	49	3076	23	-49	49	3076	23	-49	49	3076	23	-49	49	3076	23	-49	49	3076
24	-171	72	3148	24	-171	72	3148	24	-171	72	3148	24	-171	72	3148	24	-171	72	3148	24	-171	72	3148	24	-171	72	3148	24	-171	72	3148	24	-171	72	3148	24	-171	72	3148	24	-171	72	3148	24	-171	72	3148	24	-171	72	3148	24	-171	72	3148	24	-171	72	3148	24	-171	72	3148	24	-171	72	3148	24	-171	72	3148	24	-171	72	3148	24	-171	72	3148
25	-41	41	3189	25	-41	41	3189	25	-41	41	3189	25	-41	41	3189	25	-41	41	3189	25	-41	41	3189	25	-41	41	3189	25	-41	41	3189	25	-41	41	3189	25	-41	41	3189	25	-41	41	3189	25	-41	41	3189	25	-41	41	3189	25	-41	41	3189	25	-41	41	3189	25	-41	41	3189	25	-41	41	3189	25	-41	41	3189	25	-41	41	3189	25	-41	41	3189
26	-31	31	3220	26	-31	31	3220	26	-31	31	3220	26	-31	31	3220	26	-31	31	3220	26	-31	31	3220	26	-31	31	3220	26	-31	31	3220	26	-31	31	3220	26	-31	31	3220	26	-31	31	3220	26	-31	31	3220	26	-31	31	3220	26	-31	31	3220	26	-31	31	3220	26	-31	31	3220	26	-31	31	3220	26	-31	31	3220	26	-31	31	3220	26	-31	31	3220
27	-37	37	3257	27	-37	37	3257	27	-37	37	3257	27	-37	37	3257	27	-37	37	3257	27	-37	37	3257	27	-37	37	3257	27	-37	37	3257	27	-37	37	3257	27	-37	37	3257	27	-37	37	3257	27	-37	37	3257	27	-37	37	3257	27	-37	37	3257	27	-37	37	3257	27	-37	37	3257	27	-37	37	3257	27	-37	37	3257	27	-37	37	3257	27	-37	37	3257
28	-168	69	3326	28	-168	69	3326	28	-168	69	3326	28	-168	69	3326	28	-168	69	3326	28	-168	69	3326	28	-168	69	3326	28	-168	69	3326	28	-168	69	3326	28	-168	69	3326	28	-168	69	3326	28	-168	69	3326	28	-168	69	3326	28	-168	69	3326	28	-168	69	3326	28	-168	69	3326	28	-168	69	3326	28	-168	69	3326	28	-168	69	3326	28	-168	69	3326
29	-41	41	3367	29	-41	41	3367	29	-41	41	3367	29	-41	41	3367	29	-41	41	3367	29	-41	41	3367	29	-41	41	3367	29	-41	41	3367	29	-41	41	3367	29	-41	41	3367	29	-41	41	3367	29	-41	41	3367	29	-41	41	3367	29	-41	41	3367	29	-41	41	3367	29	-41	41	3367	29	-41	41	3367	29	-41	41	3367	29	-41	41	3367	29	-41	41	3367
30	-33	33	3400	30	-33	33	3400	30	-33	33	3400	30	-33	33	3400	30	-33	33	3400	30	-33	33	3400	30	-33	33	3400	30	-33	33	3400	30	-33	33	3400	30	-33	33	3400	30	-33	33	3400	30	-33	33	3400	30	-33	33	3400	30	-33	33	3400	30	-33	33	3400	30	-33	33	3400	30	-33	33	3400	30	-33	33	3400	30	-33	33	3400	30	-33	33	3400
31	-30	30	3430	31	-30	30	3430	31	-30	30	3430	31	-30	30	3430	31	-30	30	3430	31	-30	30	3430	31	-30	30	3430	31	-30	30	3430	31	-30	30	3430	31	-30	30	3430	31	-30	30	3430	31	-30	30	3430	31	-30	30	3430	31	-30	30	3430	31	-30	30	3430	31	-30	30	3430	31	-30	30	3430	31	-30	30	3430	31	-30	30	3430	31	-30	30	3430
32	-43	43	3473	32	-43	43	3473	32	-43	43	3473	32	-43	43	3473	32	-43	43	3473	32	-43	43	3473	32	-43	43	3473	32	-43	43	3473	32	-43	43	3473	32	-43	43	3473	32	-43	43	3473	32	-43	43	3473	32	-43	43	3473	32	-43	43	3473	32	-43	43	3473	32	-43	43	3473	32	-43	43	3473	32	-43	43	3473	32	-43	43	3473	32	-43	43	3473
33	-31	31	3504	33	-31	31	3504	33	-31	31	3504	33	-31	31	3504	33	-31	31	3504	33	-31	31	3504	33	-31	31	3504	33	-31	31	3504	33	-31	31	3504	33	-31	31	3504	33	-31	31	3504	33	-31	31	3504	33	-31	31	3504	33	-31	31	3504	33	-31	31	3504	33	-31	31	3504	33	-31	31	3504	33	-31	31	3504	33	-31	31	3504	33	-31	31	3504
34	-47	47	3551	34	-47	47	3551	34	-47	47	3551	34	-47	47	3551	34	-47	47	3551	34	-47	47	3551	34	-47	47	3551	34	-47	47	3551	34	-47	47	3551	34	-47	47	3551	34	-47	47	3551	34	-47	47	3551	34	-47	47	3551	34	-47	47	3551	34	-47	47	3551	34	-47	47	3551	34	-47	47	3551	34	-47	47	3551	34	-47	47	3551	34	-47	47	3551
35	-52	52	3603	35	-52	52	3603	35	-52	52	3603	35	-52	52	3603	35	-52	52	3603	35	-52	52	3603	35	-52	52	3603	35	-52	52	3603	35	-52	52	3603	35	-52	52	3603	35	-52	52	3603	35	-52	52	3603	35	-52	52	3603	35	-52	52	3603	35	-52	52	3603	35	-52	52	3603	35	-52	52	3603	35	-52	52	3603	35	-52	52	3603	35	-52	52	3603
36	-26	26	3629	36	-26	26	3629	36	-26	26	3629	36	-26	26	3629	36	-26	26	3629	36	-26	26	3629	36	-26	26	3629	36	-26	26	3629	36	-26	26	3629	36	-26	26	3629	36	-26	26	3629	36	-26	26	3629	36	-26	26	3629	36	-26	26	3629	36	-26	26	3629	36	-26	26	3629	36	-26	26	3629	36	-26	26	3629	36	-26	26	3629	36	-26	26	3629
37	-35	35	3664	37	-35	35	3664	37	-35	35	3664	37	-35	35	3664	37	-35	35	3664	37	-35	35	3664	37	-35	35	3664	37	-35	35	3664	37	-35	35	3664	37	-35	35	3664	37	-35	35	3664	37	-35	35	3664	37	-35	35	3664	37	-35	35	3664	37	-35	35	3664	37	-35	35	3664	37	-35	35	3664	37	-35	35	3664	37	-35	35	3664	37	-35	35	3664
