Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1262	272	272	0	-1262	272	272	0	-1262	272	272	0	-1262	272	272	0	-1262	272	272	0	-1262	272	272	0	-1262	272	272	0	-1262	272	272	0	-1262	272	272	0	-1262	272	272	0	-1262	272	272	0	-1262	272	272	0	-1262	272	272	0	-1262	272	272	0	-1262	272	272	0	-1262	272	272	0	-1262	272	272	0	-1262	272	272	0	-1262	272	272	0	-1262	272	272	0	-1262	272	272	0	-1262	272	272	0	-1262	272	272
1	-1356	564	836	1	-1356	564	836	1	-1356	564	836	1	-1356	564	836	1	-1356	564	836	1	-1356	564	836	1	-1356	564	836	1	-1356	564	836	1	-1356	564	836	1	-1356	564	836	1	-1356	564	836	1	-1356	564	836	1	-1356	564	836	1	-1356	564	836	1	-1356	564	836	1	-1356	564	836	1	-1356	564	836	1	-1356	564	836	1	-1356	564	836	1	-1356	564	836	1	-1356	564	836	1	-1356	564	836	1	-1356	564	836
2	-112	112	948	2	-112	112	948	2	-112	112	948	2	-112	112	948	2	-112	112	948	2	-112	112	948	2	-112	112	948	2	-112	112	948	2	-112	112	948	2	-112	112	948	2	-112	112	948	2	-112	112	948	2	-112	112	948	2	-112	112	948	2	-112	112	948	2	-112	112	948	2	-112	112	948	2	-112	112	948	2	-112	112	948	2	-112	112	948	2	-112	112	948	2	-112	112	948	2	-112	112	948
3	-576	279	1227	3	-576	279	1227	3	-576	279	1227	3	-576	279	1227	3	-576	279	1227	3	-576	279	1227	3	-576	279	1227	3	-576	279	1227	3	-576	279	1227	3	-576	279	1227	3	-576	279	1227	3	-576	279	1227	3	-576	279	1227	3	-576	279	1227	3	-576	279	1227	3	-576	279	1227	3	-576	279	1227	3	-576	279	1227	3	-576	279	1227	3	-576	279	1227	3	-576	279	1227	3	-576	279	1227	3	-576	279	1227
4	-139	139	1366	4	-139	139	1366	4	-139	139	1366	4	-139	139	1366	4	-139	139	1366	4	-139	139	1366	4	-139	139	1366	4	-139	139	1366	4	-139	139	1366	4	-139	139	1366	4	-139	139	1366	4	-139	139	1366	4	-139	139	1366	4	-139	139	1366	4	-139	139	1366	4	-139	139	1366	4	-139	139	1366	4	-139	139	1366	4	-139	139	1366	4	-139	139	1366	4	-139	139	1366	4	-139	139	1366	4	-139	139	1366
5	-271	172	1538	5	-271	172	1538	5	-271	172	1538	5	-271	172	1538	5	-271	172	1538	5	-271	172	1538	5	-271	172	1538	5	-271	172	1538	5	-271	172	1538	5	-271	172	1538	5	-271	172	1538	5	-271	172	1538	5	-271	172	1538	5	-271	172	1538	5	-271	172	1538	5	-271	172	1538	5	-271	172	1538	5	-271	172	1538	5	-271	172	1538	5	-271	172	1538	5	-271	172	1538	5	-271	172	1538	5	-271	172	1538
6	-120	120	1658	6	-120	120	1658	6	-120	120	1658	6	-120	120	1658	6	-120	120	1658	6	-120	120	1658	6	-120	120	1658	6	-120	120	1658	6	-120	120	1658	6	-120	120	1658	6	-120	120	1658	6	-120	120	1658	6	-120	120	1658	6	-120	120	1658	6	-120	120	1658	6	-120	120	1658	6	-120	120	1658	6	-120	120	1658	6	-120	120	1658	6	-120	120	1658	6	-120	120	1658	6	-120	120	1658	6	-120	120	1658
7	-214	115	1773	7	-214	115	1773	7	-214	115	1773	7	-214	115	1773	7	-214	115	1773	7	-214	115	1773	7	-214	115	1773	7	-214	115	1773	7	-214	115	1773	7	-214	115	1773	7	-214	115	1773	7	-214	115	1773	7	-214	115	1773	7	-214	115	1773	7	-214	115	1773	7	-214	115	1773	7	-214	115	1773	7	-214	115	1773	7	-214	115	1773	7	-214	115	1773	7	-214	115	1773	7	-214	115	1773	7	-214	115	1773
8	-60	60	1833	8	-60	60	1833	8	-60	60	1833	8	-60	60	1833	8	-60	60	1833	8	-60	60	1833	8	-60	60	1833	8	-60	60	1833	8	-60	60	1833	8	-60	60	1833	8	-60	60	1833	8	-60	60	1833	8	-60	60	1833	8	-60	60	1833	8	-60	60	1833	8	-60	60	1833	8	-60	60	1833	8	-60	60	1833	8	-60	60	1833	8	-60	60	1833	8	-60	60	1833	8	-60	60	1833	8	-60	60	1833
9	-95	95	1928	9	-95	95	1928	9	-95	95	1928	9	-95	95	1928	9	-95	95	1928	9	-95	95	1928	9	-95	95	1928	9	-95	95	1928	9	-95	95	1928	9	-95	95	1928	9	-95	95	1928	9	-95	95	1928	9	-95	95	1928	9	-95	95	1928	9	-95	95	1928	9	-95	95	1928	9	-95	95	1928	9	-95	95	1928	9	-95	95	1928	9	-95	95	1928	9	-95	95	1928	9	-95	95	1928	9	-95	95	1928
