Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-398	101	101	0	-398	101	101	0	-398	101	101	0	-398	101	101	0	-398	101	101	0	-398	101	101	0	-398	101	101	0	-398	101	101	0	-398	101	101	0	-398	101	101	0	-398	101	101	0	-398	101	101	0	-398	101	101	0	-398	101	101	0	-398	101	101	0	-398	101	101	0	-398	101	101	0	-398	101	101	0	-398	101	101	0	-398	101	101	0	-398	101	101	0	-398	101	101	0	-398	101	101	0	-398	101	101	0	-398	101	101	0	-398	101	101
1	-2063	776	877	1	-2063	776	877	1	-2063	776	877	1	-2063	776	877	1	-2063	776	877	1	-2063	776	877	1	-2063	776	877	1	-2063	776	877	1	-2063	776	877	1	-2063	776	877	1	-2063	776	877	1	-2063	776	877	1	-2063	776	877	1	-2063	776	877	1	-2063	776	877	1	-2063	776	877	1	-2063	776	877	1	-2063	776	877	1	-2063	776	877	1	-2063	776	877	1	-2063	776	877	1	-2063	776	877	1	-2063	776	877	1	-2063	776	877	1	-2063	776	877	1	-2063	776	877
2	-119	119	996	2	-119	119	996	2	-119	119	996	2	-119	119	996	2	-119	119	996	2	-119	119	996	2	-119	119	996	2	-119	119	996	2	-119	119	996	2	-119	119	996	2	-119	119	996	2	-119	119	996	2	-119	119	996	2	-119	119	996	2	-119	119	996	2	-119	119	996	2	-119	119	996	2	-119	119	996	2	-119	119	996	2	-119	119	996	2	-119	119	996	2	-119	119	996	2	-119	119	996	2	-119	119	996	2	-119	119	996	2	-119	119	996
3	-130	130	1126	3	-130	130	1126	3	-130	130	1126	3	-130	130	1126	3	-130	130	1126	3	-130	130	1126	3	-130	130	1126	3	-130	130	1126	3	-130	130	1126	3	-130	130	1126	3	-130	130	1126	3	-130	130	1126	3	-130	130	1126	3	-130	130	1126	3	-130	130	1126	3	-130	130	1126	3	-130	130	1126	3	-130	130	1126	3	-130	130	1126	3	-130	130	1126	3	-130	130	1126	3	-130	130	1126	3	-130	130	1126	3	-130	130	1126	3	-130	130	1126	3	-130	130	1126
4	-306	108	1234	4	-306	108	1234	4	-306	108	1234	4	-306	108	1234	4	-306	108	1234	4	-306	108	1234	4	-306	108	1234	4	-306	108	1234	4	-306	108	1234	4	-306	108	1234	4	-306	108	1234	4	-306	108	1234	4	-306	108	1234	4	-306	108	1234	4	-306	108	1234	4	-306	108	1234	4	-306	108	1234	4	-306	108	1234	4	-306	108	1234	4	-306	108	1234	4	-306	108	1234	4	-306	108	1234	4	-306	108	1234	4	-306	108	1234	4	-306	108	1234	4	-306	108	1234
5	-49	49	1283	5	-49	49	1283	5	-49	49	1283	5	-49	49	1283	5	-49	49	1283	5	-49	49	1283	5	-49	49	1283	5	-49	49	1283	5	-49	49	1283	5	-49	49	1283	5	-49	49	1283	5	-49	49	1283	5	-49	49	1283	5	-49	49	1283	5	-49	49	1283	5	-49	49	1283	5	-49	49	1283	5	-49	49	1283	5	-49	49	1283	5	-49	49	1283	5	-49	49	1283	5	-49	49	1283	5	-49	49	1283	5	-49	49	1283	5	-49	49	1283	5	-49	49	1283
6	-372	174	1457	6	-372	174	1457	6	-372	174	1457	6	-372	174	1457	6	-372	174	1457	6	-372	174	1457	6	-372	174	1457	6	-372	174	1457	6	-372	174	1457	6	-372	174	1457	6	-372	174	1457	6	-372	174	1457	6	-372	174	1457	6	-372	174	1457	6	-372	174	1457	6	-372	174	1457	6	-372	174	1457	6	-372	174	1457	6	-372	174	1457	6	-372	174	1457	6	-372	174	1457	6	-372	174	1457	6	-372	174	1457	6	-372	174	1457	6	-372	174	1457	6	-372	174	1457
7	-79	79	1536	7	-79	79	1536	7	-79	79	1536	7	-79	79	1536	7	-79	79	1536	7	-79	79	1536	7	-79	79	1536	7	-79	79	1536	7	-79	79	1536	7	-79	79	1536	7	-79	79	1536	7	-79	79	1536	7	-79	79	1536	7	-79	79	1536	7	-79	79	1536	7	-79	79	1536	7	-79	79	1536	7	-79	79	1536	7	-79	79	1536	7	-79	79	1536	7	-79	79	1536	7	-79	79	1536	7	-79	79	1536	7	-79	79	1536	7	-79	79	1536	7	-79	79	1536
8	-123	123	1659	8	-123	123	1659	8	-123	123	1659	8	-123	123	1659	8	-123	123	1659	8	-123	123	1659	8	-123	123	1659	8	-123	123	1659	8	-123	123	1659	8	-123	123	1659	8	-123	123	1659	8	-123	123	1659	8	-123	123	1659	8	-123	123	1659	8	-123	123	1659	8	-123	123	1659	8	-123	123	1659	8	-123	123	1659	8	-123	123	1659	8	-123	123	1659	8	-123	123	1659	8	-123	123	1659	8	-123	123	1659	8	-123	123	1659	8	-123	123	1659	8	-123	123	1659
9	-21	21	1680	9	-21	21	1680	9	-21	21	1680	9	-21	21	1680	9	-21	21	1680	9	-21	21	1680	9	-21	21	1680	9	-21	21	1680	9	-21	21	1680	9	-21	21	1680	9	-21	21	1680	9	-21	21	1680	9	-21	21	1680	9	-21	21	1680	9	-21	21	1680	9	-21	21	1680	9	-21	21	1680	9	-21	21	1680	9	-21	21	1680	9	-21	21	1680	9	-21	21	1680	9	-21	21	1680	9	-21	21	1680	9	-21	21	1680	9	-21	21	1680	9	-21	21	1680
10	-201	102	1782	10	-201	102	1782	10	-201	102	1782	10	-201	102	1782	10	-201	102	1782	10	-201	102	1782	10	-201	102	1782	10	-201	102	1782	10	-201	102	1782	10	-201	102	1782	10	-201	102	1782	10	-201	102	1782	10	-201	102	1782	10	-201	102	1782	10	-201	102	1782	10	-201	102	1782	10	-201	102	1782	10	-201	102	1782	10	-201	102	1782	10	-201	102	1782	10	-201	102	1782	10	-201	102	1782	10	-201	102	1782	10	-201	102	1782	10	-201	102	1782	10	-201	102	1782
11	-172	73	1855	11	-172	73	1855	11	-172	73	1855	11	-172	73	1855	11	-172	73	1855	11	-172	73	1855	11	-172	73	1855	11	-172	73	1855	11	-172	73	1855	11	-172	73	1855	11	-172	73	1855	11	-172	73	1855	11	-172	73	1855	11	-172	73	1855	11	-172	73	1855	11	-172	73	1855	11	-172	73	1855	11	-172	73	1855	11	-172	73	1855	11	-172	73	1855	11	-172	73	1855	11	-172	73	1855	11	-172	73	1855	11	-172	73	1855	11	-172	73	1855	11	-172	73	1855
12	-50	50	1905	12	-50	50	1905	12	-50	50	1905	12	-50	50	1905	12	-50	50	1905	12	-50	50	1905	12	-50	50	1905	12	-50	50	1905	12	-50	50	1905	12	-50	50	1905	12	-50	50	1905	12	-50	50	1905	12	-50	50	1905	12	-50	50	1905	12	-50	50	1905	12	-50	50	1905	12	-50	50	1905	12	-50	50	1905	12	-50	50	1905	12	-50	50	1905	12	-50	50	1905	12	-50	50	1905	12	-50	50	1905	12	-50	50	1905	12	-50	50	1905	12	-50	50	1905
13	-66	66	1971	13	-66	66	1971	13	-66	66	1971	13	-66	66	1971	13	-66	66	1971	13	-66	66	1971	13	-66	66	1971	13	-66	66	1971	13	-66	66	1971	13	-66	66	1971	13	-66	66	1971	13	-66	66	1971	13	-66	66	1971	13	-66	66	1971	13	-66	66	1971	13	-66	66	1971	13	-66	66	1971	13	-66	66	1971	13	-66	66	1971	13	-66	66	1971	13	-66	66	1971	13	-66	66	1971	13	-66	66	1971	13	-66	66	1971	13	-66	66	1971	13	-66	66	1971
14	-100	100	2071	14	-100	100	2071	14	-100	100	2071	14	-100	100	2071	14	-100	100	2071	14	-100	100	2071	14	-100	100	2071	14	-100	100	2071	14	-100	100	2071	14	-100	100	2071	14	-100	100	2071	14	-100	100	2071	14	-100	100	2071	14	-100	100	2071	14	-100	100	2071	14	-100	100	2071	14	-100	100	2071	14	-100	100	2071	14	-100	100	2071	14	-100	100	2071	14	-100	100	2071	14	-100	100	2071	14	-100	100	2071	14	-100	100	2071	14	-100	100	2071	14	-100	100	2071
15	-78	78	2149	15	-78	78	2149	15	-78	78	2149	15	-78	78	2149	15	-78	78	2149	15	-78	78	2149	15	-78	78	2149	15	-78	78	2149	15	-78	78	2149	15	-78	78	2149	15	-78	78	2149	15	-78	78	2149	15	-78	78	2149	15	-78	78	2149	15	-78	78	2149	15	-78	78	2149	15	-78	78	2149	15	-78	78	2149	15	-78	78	2149	15	-78	78	2149	15	-78	78	2149	15	-78	78	2149	15	-78	78	2149	15	-78	78	2149	15	-78	78	2149	15	-78	78	2149
16	-29	29	2178	16	-29	29	2178	16	-29	29	2178	16	-29	29	2178	16	-29	29	2178	16	-29	29	2178	16	-29	29	2178	16	-29	29	2178	16	-29	29	2178	16	-29	29	2178	16	-29	29	2178	16	-29	29	2178	16	-29	29	2178	16	-29	29	2178	16	-29	29	2178	16	-29	29	2178	16	-29	29	2178	16	-29	29	2178	16	-29	29	2178	16	-29	29	2178	16	-29	29	2178	16	-29	29	2178	16	-29	29	2178	16	-29	29	2178	16	-29	29	2178	16	-29	29	2178
17	-102	102	2280	17	-102	102	2280	17	-102	102	2280	17	-102	102	2280	17	-102	102	2280	17	-102	102	2280	17	-102	102	2280	17	-102	102	2280	17	-102	102	2280	17	-102	102	2280	17	-102	102	2280	17	-102	102	2280	17	-102	102	2280	17	-102	102	2280	17	-102	102	2280	17	-102	102	2280	17	-102	102	2280	17	-102	102	2280	17	-102	102	2280	17	-102	102	2280	17	-102	102	2280	17	-102	102	2280	17	-102	102	2280	17	-102	102	2280	17	-102	102	2280	17	-102	102	2280
18	-165	66	2346	18	-165	66	2346	18	-165	66	2346	18	-165	66	2346	18	-165	66	2346	18	-165	66	2346	18	-165	66	2346	18	-165	66	2346	18	-165	66	2346	18	-165	66	2346	18	-165	66	2346	18	-165	66	2346	18	-165	66	2346	18	-165	66	2346	18	-165	66	2346	18	-165	66	2346	18	-165	66	2346	18	-165	66	2346	18	-165	66	2346	18	-165	66	2346	18	-165	66	2346	18	-165	66	2346	18	-165	66	2346	18	-165	66	2346	18	-165	66	2346	18	-165	66	2346
19	-51	51	2397	19	-51	51	2397	19	-51	51	2397	19	-51	51	2397	19	-51	51	2397	19	-51	51	2397	19	-51	51	2397	19	-51	51	2397	19	-51	51	2397	19	-51	51	2397	19	-51	51	2397	19	-51	51	2397	19	-51	51	2397	19	-51	51	2397	19	-51	51	2397	19	-51	51	2397	19	-51	51	2397	19	-51	51	2397	19	-51	51	2397	19	-51	51	2397	19	-51	51	2397	19	-51	51	2397	19	-51	51	2397	19	-51	51	2397	19	-51	51	2397	19	-51	51	2397
20	-90	90	2487	20	-90	90	2487	20	-90	90	2487	20	-90	90	2487	20	-90	90	2487	20	-90	90	2487	20	-90	90	2487	20	-90	90	2487	20	-90	90	2487	20	-90	90	2487	20	-90	90	2487	20	-90	90	2487	20	-90	90	2487	20	-90	90	2487	20	-90	90	2487	20	-90	90	2487	20	-90	90	2487	20	-90	90	2487	20	-90	90	2487	20	-90	90	2487	20	-90	90	2487	20	-90	90	2487	20	-90	90	2487	20	-90	90	2487	20	-90	90	2487	20	-90	90	2487
21	-43	43	2530	21	-43	43	2530	21	-43	43	2530	21	-43	43	2530	21	-43	43	2530	21	-43	43	2530	21	-43	43	2530	21	-43	43	2530	21	-43	43	2530	21	-43	43	2530	21	-43	43	2530	21	-43	43	2530	21	-43	43	2530	21	-43	43	2530	21	-43	43	2530	21	-43	43	2530	21	-43	43	2530	21	-43	43	2530	21	-43	43	2530	21	-43	43	2530	21	-43	43	2530	21	-43	43	2530	21	-43	43	2530	21	-43	43	2530	21	-43	43	2530	21	-43	43	2530
22	-84	84	2614	22	-84	84	2614	22	-84	84	2614	22	-84	84	2614	22	-84	84	2614	22	-84	84	2614	22	-84	84	2614	22	-84	84	2614	22	-84	84	2614	22	-84	84	2614	22	-84	84	2614	22	-84	84	2614	22	-84	84	2614	22	-84	84	2614	22	-84	84	2614	22	-84	84	2614	22	-84	84	2614	22	-84	84	2614	22	-84	84	2614	22	-84	84	2614	22	-84	84	2614	22	-84	84	2614	22	-84	84	2614	22	-84	84	2614	22	-84	84	2614	22	-84	84	2614
23	-52	52	2666	23	-52	52	2666	23	-52	52	2666	23	-52	52	2666	23	-52	52	2666	23	-52	52	2666	23	-52	52	2666	23	-52	52	2666	23	-52	52	2666	23	-52	52	2666	23	-52	52	2666	23	-52	52	2666	23	-52	52	2666	23	-52	52	2666	23	-52	52	2666	23	-52	52	2666	23	-52	52	2666	23	-52	52	2666	23	-52	52	2666	23	-52	52	2666	23	-52	52	2666	23	-52	52	2666	23	-52	52	2666	23	-52	52	2666	23	-52	52	2666	23	-52	52	2666
24	-35	35	2701	24	-35	35	2701	24	-35	35	2701	24	-35	35	2701	24	-35	35	2701	24	-35	35	2701	24	-35	35	2701	24	-35	35	2701	24	-35	35	2701	24	-35	35	2701	24	-35	35	2701	24	-35	35	2701	24	-35	35	2701	24	-35	35	2701	24	-35	35	2701	24	-35	35	2701	24	-35	35	2701	24	-35	35	2701	24	-35	35	2701	24	-35	35	2701	24	-35	35	2701	24	-35	35	2701	24	-35	35	2701	24	-35	35	2701	24	-35	35	2701	24	-35	35	2701
25	-36	36	2737	25	-36	36	2737	25	-36	36	2737	25	-36	36	2737	25	-36	36	2737	25	-36	36	2737	25	-36	36	2737	25	-36	36	2737	25	-36	36	2737	25	-36	36	2737	25	-36	36	2737	25	-36	36	2737	25	-36	36	2737	25	-36	36	2737	25	-36	36	2737	25	-36	36	2737	25	-36	36	2737	25	-36	36	2737	25	-36	36	2737	25	-36	36	2737	25	-36	36	2737	25	-36	36	2737	25	-36	36	2737	25	-36	36	2737	25	-36	36	2737	25	-36	36	2737
26	-286	88	2825	26	-286	88	2825	26	-286	88	2825	26	-286	88	2825	26	-286	88	2825	26	-286	88	2825	26	-286	88	2825	26	-286	88	2825	26	-286	88	2825	26	-286	88	2825	26	-286	88	2825	26	-286	88	2825	26	-286	88	2825	26	-286	88	2825	26	-286	88	2825	26	-286	88	2825	26	-286	88	2825	26	-286	88	2825	26	-286	88	2825	26	-286	88	2825	26	-286	88	2825	26	-286	88	2825	26	-286	88	2825	26	-286	88	2825	26	-286	88	2825	26	-286	88	2825
27	-37	37	2862	27	-37	37	2862	27	-37	37	2862	27	-37	37	2862	27	-37	37	2862	27	-37	37	2862	27	-37	37	2862	27	-37	37	2862	27	-37	37	2862	27	-37	37	2862	27	-37	37	2862	27	-37	37	2862	27	-37	37	2862	27	-37	37	2862	27	-37	37	2862	27	-37	37	2862	27	-37	37	2862	27	-37	37	2862	27	-37	37	2862	27	-37	37	2862	27	-37	37	2862	27	-37	37	2862	27	-37	37	2862	27	-37	37	2862	27	-37	37	2862	27	-37	37	2862
28	-265	67	2929	28	-265	67	2929	28	-265	67	2929	28	-265	67	2929	28	-265	67	2929	28	-265	67	2929	28	-265	67	2929	28	-265	67	2929	28	-265	67	2929	28	-265	67	2929	28	-265	67	2929	28	-265	67	2929	28	-265	67	2929	28	-265	67	2929	28	-265	67	2929	28	-265	67	2929	28	-265	67	2929	28	-265	67	2929	28	-265	67	2929	28	-265	67	2929	28	-265	67	2929	28	-265	67	2929	28	-265	67	2929	28	-265	67	2929	28	-265	67	2929	28	-265	67	2929
29	-178	79	3008	29	-178	79	3008	29	-178	79	3008	29	-178	79	3008	29	-178	79	3008	29	-178	79	3008	29	-178	79	3008	29	-178	79	3008	29	-178	79	3008	29	-178	79	3008	29	-178	79	3008	29	-178	79	3008	29	-178	79	3008	29	-178	79	3008	29	-178	79	3008	29	-178	79	3008	29	-178	79	3008	29	-178	79	3008	29	-178	79	3008	29	-178	79	3008	29	-178	79	3008	29	-178	79	3008	29	-178	79	3008	29	-178	79	3008	29	-178	79	3008	29	-178	79	3008
30	-45	45	3053	30	-45	45	3053	30	-45	45	3053	30	-45	45	3053	30	-45	45	3053	30	-45	45	3053	30	-45	45	3053	30	-45	45	3053	30	-45	45	3053	30	-45	45	3053	30	-45	45	3053	30	-45	45	3053	30	-45	45	3053	30	-45	45	3053	30	-45	45	3053	30	-45	45	3053	30	-45	45	3053	30	-45	45	3053	30	-45	45	3053	30	-45	45	3053	30	-45	45	3053	30	-45	45	3053	30	-45	45	3053	30	-45	45	3053	30	-45	45	3053	30	-45	45	3053
31	-41	41	3094	31	-41	41	3094	31	-41	41	3094	31	-41	41	3094	31	-41	41	3094	31	-41	41	3094	31	-41	41	3094	31	-41	41	3094	31	-41	41	3094	31	-41	41	3094	31	-41	41	3094	31	-41	41	3094	31	-41	41	3094	31	-41	41	3094	31	-41	41	3094	31	-41	41	3094	31	-41	41	3094	31	-41	41	3094	31	-41	41	3094	31	-41	41	3094	31	-41	41	3094	31	-41	41	3094	31	-41	41	3094	31	-41	41	3094	31	-41	41	3094	31	-41	41	3094
32	-169	70	3164	32	-169	70	3164	32	-169	70	3164	32	-169	70	3164	32	-169	70	3164	32	-169	70	3164	32	-169	70	3164	32	-169	70	3164	32	-169	70	3164	32	-169	70	3164	32	-169	70	3164	32	-169	70	3164	32	-169	70	3164	32	-169	70	3164	32	-169	70	3164	32	-169	70	3164	32	-169	70	3164	32	-169	70	3164	32	-169	70	3164	32	-169	70	3164	32	-169	70	3164	32	-169	70	3164	32	-169	70	3164	32	-169	70	3164	32	-169	70	3164	32	-169	70	3164
33	-31	31	3195	33	-31	31	3195	33	-31	31	3195	33	-31	31	3195	33	-31	31	3195	33	-31	31	3195	33	-31	31	3195	33	-31	31	3195	33	-31	31	3195	33	-31	31	3195	33	-31	31	3195	33	-31	31	3195	33	-31	31	3195	33	-31	31	3195	33	-31	31	3195	33	-31	31	3195	33	-31	31	3195	33	-31	31	3195	33	-31	31	3195	33	-31	31	3195	33	-31	31	3195	33	-31	31	3195	33	-31	31	3195	33	-31	31	3195	33	-31	31	3195	33	-31	31	3195
34	-51	51	3246	34	-51	51	3246	34	-51	51	3246	34	-51	51	3246	34	-51	51	3246	34	-51	51	3246	34	-51	51	3246	34	-51	51	3246	34	-51	51	3246	34	-51	51	3246	34	-51	51	3246	34	-51	51	3246	34	-51	51	3246	34	-51	51	3246	34	-51	51	3246	34	-51	51	3246	34	-51	51	3246	34	-51	51	3246	34	-51	51	3246	34	-51	51	3246	34	-51	51	3246	34	-51	51	3246	34	-51	51	3246	34	-51	51	3246	34	-51	51	3246	34	-51	51	3246
35	-41	41	3287	35	-41	41	3287	35	-41	41	3287	35	-41	41	3287	35	-41	41	3287	35	-41	41	3287	35	-41	41	3287	35	-41	41	3287	35	-41	41	3287	35	-41	41	3287	35	-41	41	3287	35	-41	41	3287	35	-41	41	3287	35	-41	41	3287	35	-41	41	3287	35	-41	41	3287	35	-41	41	3287	35	-41	41	3287	35	-41	41	3287	35	-41	41	3287	35	-41	41	3287	35	-41	41	3287	35	-41	41	3287	35	-41	41	3287	35	-41	41	3287	35	-41	41	3287
36	-37	37	3324	36	-37	37	3324	36	-37	37	3324	36	-37	37	3324	36	-37	37	3324	36	-37	37	3324	36	-37	37	3324	36	-37	37	3324	36	-37	37	3324	36	-37	37	3324	36	-37	37	3324	36	-37	37	3324	36	-37	37	3324	36	-37	37	3324	36	-37	37	3324	36	-37	37	3324	36	-37	37	3324	36	-37	37	3324	36	-37	37	3324	36	-37	37	3324	36	-37	37	3324	36	-37	37	3324	36	-37	37	3324	36	-37	37	3324	36	-37	37	3324	36	-37	37	3324
37	-37	37	3361	37	-37	37	3361	37	-37	37	3361	37	-37	37	3361	37	-37	37	3361	37	-37	37	3361	37	-37	37	3361	37	-37	37	3361	37	-37	37	3361	37	-37	37	3361	37	-37	37	3361	37	-37	37	3361	37	-37	37	3361	37	-37	37	3361	37	-37	37	3361	37	-37	37	3361	37	-37	37	3361	37	-37	37	3361	37	-37	37	3361	37	-37	37	3361	37	-37	37	3361	37	-37	37	3361	37	-37	37	3361	37	-37	37	3361	37	-37	37	3361	37	-37	37	3361
38	-159	60	3421	38	-159	60	3421	38	-159	60	3421	38	-159	60	3421	38	-159	60	3421	38	-159	60	3421	38	-159	60	3421	38	-159	60	3421	38	-159	60	3421	38	-159	60	3421	38	-159	60	3421	38	-159	60	3421	38	-159	60	3421	38	-159	60	3421	38	-159	60	3421	38	-159	60	3421	38	-159	60	3421	38	-159	60	3421	38	-159	60	3421	38	-159	60	3421	38	-159	60	3421	38	-159	60	3421	38	-159	60	3421	38	-159	60	3421	38	-159	60	3421	38	-159	60	3421
39	-25	25	3446	39	-25	25	3446	39	-25	25	3446	39	-25	25	3446	39	-25	25	3446	39	-25	25	3446	39	-25	25	3446	39	-25	25	3446	39	-25	25	3446	39	-25	25	3446	39	-25	25	3446	39	-25	25	3446	39	-25	25	3446	39	-25	25	3446	39	-25	25	3446	39	-25	25	3446	39	-25	25	3446	39	-25	25	3446	39	-25	25	3446	39	-25	25	3446	39	-25	25	3446	39	-25	25	3446	39	-25	25	3446	39	-25	25	3446	39	-25	25	3446	39	-25	25	3446
40	-43	43	3489	40	-43	43	3489	40	-43	43	3489	40	-43	43	3489	40	-43	43	3489	40	-43	43	3489	40	-43	43	3489	40	-43	43	3489	40	-43	43	3489	40	-43	43	3489	40	-43	43	3489	40	-43	43	3489	40	-43	43	3489	40	-43	43	3489	40	-43	43	3489	40	-43	43	3489	40	-43	43	3489	40	-43	43	3489	40	-43	43	3489	40	-43	43	3489	40	-43	43	3489	40	-43	43	3489	40	-43	43	3489	40	-43	43	3489	40	-43	43	3489	40	-43	43	3489
41	-38	38	3527	41	-38	38	3527	41	-38	38	3527	41	-38	38	3527	41	-38	38	3527	41	-38	38	3527	41	-38	38	3527	41	-38	38	3527	41	-38	38	3527	41	-38	38	3527	41	-38	38	3527	41	-38	38	3527	41	-38	38	3527	41	-38	38	3527	41	-38	38	3527	41	-38	38	3527	41	-38	38	3527	41	-38	38	3527	41	-38	38	3527	41	-38	38	3527	41	-38	38	3527	41	-38	38	3527	41	-38	38	3527	41	-38	38	3527	41	-38	38	3527	41	-38	38	3527
42	-29	29	3556	42	-29	29	3556	42	-29	29	3556	42	-29	29	3556	42	-29	29	3556	42	-29	29	3556	42	-29	29	3556	42	-29	29	3556	42	-29	29	3556	42	-29	29	3556	42	-29	29	3556	42	-29	29	3556	42	-29	29	3556	42	-29	29	3556	42	-29	29	3556	42	-29	29	3556	42	-29	29	3556	42	-29	29	3556	42	-29	29	3556	42	-29	29	3556	42	-29	29	3556	42	-29	29	3556	42	-29	29	3556	42	-29	29	3556	42	-29	29	3556	42	-29	29	3556
43	-259	61	3617	43	-259	61	3617	43	-259	61	3617	43	-259	61	3617	43	-259	61	3617	43	-259	61	3617	43	-259	61	3617	43	-259	61	3617	43	-259	61	3617	43	-259	61	3617	43	-259	61	3617	43	-259	61	3617	43	-259	61	3617	43	-259	61	3617	43	-259	61	3617	43	-259	61	3617	43	-259	61	3617	43	-259	61	3617	43	-259	61	3617	43	-259	61	3617	43	-259	61	3617	43	-259	61	3617	43	-259	61	3617	43	-259	61	3617	43	-259	61	3617	43	-259	61	3617
44	-27	27	3644	44	-27	27	3644	44	-27	27	3644	44	-27	27	3644	44	-27	27	3644	44	-27	27	3644	44	-27	27	3644	44	-27	27	3644	44	-27	27	3644	44	-27	27	3644	44	-27	27	3644	44	-27	27	3644	44	-27	27	3644	44	-27	27	3644	44	-27	27	3644	44	-27	27	3644	44	-27	27	3644	44	-27	27	3644	44	-27	27	3644	44	-27	27	3644	44	-27	27	3644	44	-27	27	3644	44	-27	27	3644	44	-27	27	3644	44	-27	27	3644	44	-27	27	3644
45	-147	48	3692	45	-147	48	3692	45	-147	48	3692	45	-147	48	3692	45	-147	48	3692	45	-147	48	3692	45	-147	48	3692	45	-147	48	3692	45	-147	48	3692	45	-147	48	3692	45	-147	48	3692	45	-147	48	3692	45	-147	48	3692	45	-147	48	3692	45	-147	48	3692	45	-147	48	3692	45	-147	48	3692	45	-147	48	3692	45	-147	48	3692	45	-147	48	3692	45	-147	48	3692	45	-147	48	3692	45	-147	48	3692	45	-147	48	3692	45	-147	48	3692	45	-147	48	3692
46	-31	31	3723	46	-31	31	3723	46	-31	31	3723	46	-31	31	3723	46	-31	31	3723	46	-31	31	3723	46	-31	31	3723	46	-31	31	3723	46	-31	31	3723	46	-31	31	3723	46	-31	31	3723	46	-31	31	3723	46	-31	31	3723	46	-31	31	3723	46	-31	31	3723	46	-31	31	3723	46	-31	31	3723	46	-31	31	3723	46	-31	31	3723	46	-31	31	3723	46	-31	31	3723	46	-31	31	3723	46	-31	31	3723	46	-31	31	3723	46	-31	31	3723	46	-31	31	3723
47	-32	32	3755	47	-32	32	3755	47	-32	32	3755	47	-32	32	3755	47	-32	32	3755	47	-32	32	3755	47	-32	32	3755	47	-32	32	3755	47	-32	32	3755	47	-32	32	3755	47	-32	32	3755	47	-32	32	3755	47	-32	32	3755	47	-32	32	3755	47	-32	32	3755	47	-32	32	3755	47	-32	32	3755	47	-32	32	3755	47	-32	32	3755	47	-32	32	3755	47	-32	32	3755	47	-32	32	3755	47	-32	32	3755	47	-32	32	3755	47	-32	32	3755	47	-32	32	3755
48	-144	45	3800	48	-144	45	3800	48	-144	45	3800	48	-144	45	3800	48	-144	45	3800	48	-144	45	3800	48	-144	45	3800	48	-144	45	3800	48	-144	45	3800	48	-144	45	3800	48	-144	45	3800	48	-144	45	3800	48	-144	45	3800	48	-144	45	3800	48	-144	45	3800	48	-144	45	3800	48	-144	45	3800	48	-144	45	3800	48	-144	45	3800	48	-144	45	3800	48	-144	45	3800	48	-144	45	3800	48	-144	45	3800	48	-144	45	3800	48	-144	45	3800	48	-144	45	3800
49	-33	33	3833	49	-33	33	3833	49	-33	33	3833	49	-33	33	3833	49	-33	33	3833	49	-33	33	3833	49	-33	33	3833	49	-33	33	3833	49	-33	33	3833	49	-33	33	3833	49	-33	33	3833	49	-33	33	3833	49	-33	33	3833	49	-33	33	3833	49	-33	33	3833	49	-33	33	3833	49	-33	33	3833	49	-33	33	3833	49	-33	33	3833	49	-33	33	3833	49	-33	33	3833	49	-33	33	3833	49	-33	33	3833	49	-33	33	3833	49	-33	33	3833	49	-33	33	3833
50	-21	21	3854	50	-21	21	3854	50	-21	21	3854	50	-21	21	3854	50	-21	21	3854	50	-21	21	3854	50	-21	21	3854	50	-21	21	3854	50	-21	21	3854	50	-21	21	3854	50	-21	21	3854	50	-21	21	3854	50	-21	21	3854	50	-21	21	3854	50	-21	21	3854	50	-21	21	3854	50	-21	21	3854	50	-21	21	3854	50	-21	21	3854	50	-21	21	3854	50	-21	21	3854	50	-21	21	3854	50	-21	21	3854	50	-21	21	3854	50	-21	21	3854	50	-21	21	3854
