Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92	0	-488	92	92
1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615	1	-1315	523	615
2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040	2	-1019	425	1040
3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332	3	-490	292	1332
4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422	4	-90	90	1422
5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539	5	-117	117	1539
6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615	6	-76	76	1615
7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731	7	-116	116	1731
8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838	8	-107	107	1838
9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950	9	-211	112	1950
