Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715	0	-2200	715	715
1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804	1	-89	89	804
2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927	2	-123	123	927
3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038	3	-111	111	1038
4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173	4	-135	135	1173
5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311	5	-237	138	1311
6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468	6	-256	157	1468
7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552	7	-84	84	1552
8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673	8	-220	121	1673
9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784	9	-111	111	1784
