Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783	0	-2169	783	783
1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898	1	-115	115	898
2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993	2	-95	95	993
3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152	3	-159	159	1152
4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243	4	-91	91	1243
5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315	5	-72	72	1315
6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404	6	-89	89	1404
7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532	7	-128	128	1532
8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660	8	-227	128	1660
9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775	9	-313	115	1775
