Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388	0	-1279	388	388
1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733	1	-840	345	733
2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864	2	-131	131	864
3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001	3	-137	137	1001
4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208	4	-504	207	1208
5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293	5	-184	85	1293
6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542	6	-546	249	1542
7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671	7	-228	129	1671
8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702	8	-31	31	1702
9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813	9	-111	111	1813
