Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645	0	-2229	645	645
1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737	1	-92	92	737
2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876	2	-337	139	876
3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003	3	-127	127	1003
4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138	4	-135	135	1138
5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186	5	-147	48	1186
6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285	6	-198	99	1285
7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387	7	-102	102	1387
8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507	8	-318	120	1507
9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605	9	-197	98	1605
