Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521	0	-1808	521	521
1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769	1	-446	248	769
2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949	2	-279	180	949
3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010	3	-61	61	1010
4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148	4	-138	138	1148
5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270	5	-320	122	1270
6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357	6	-87	87	1357
7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395	7	-38	38	1395
8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572	8	-276	177	1572
9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688	9	-116	116	1688
