Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568	0	-2251	568	568
1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652	1	-183	84	652
2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878	2	-226	226	878
3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946	3	-68	68	946
4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134	4	-287	188	1134
5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263	5	-129	129	1263
6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329	6	-165	66	1329
7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438	7	-109	109	1438
8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596	8	-257	158	1596
9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666	9	-70	70	1666
