Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1485	495	495	0	-1485	495	495	0	-1485	495	495
1	-559	361	856	1	-559	361	856	1	-559	361	856
2	-141	141	997	2	-141	141	997	2	-141	141	997
3	-123	123	1120	3	-123	123	1120	3	-123	123	1120
4	-93	93	1213	4	-93	93	1213	4	-93	93	1213
5	-92	92	1305	5	-92	92	1305	5	-92	92	1305
6	-158	158	1463	6	-158	158	1463	6	-158	158	1463
7	-281	182	1645	7	-281	182	1645	7	-281	182	1645
8	-137	137	1782	8	-137	137	1782	8	-137	137	1782
9	-87	87	1869	9	-87	87	1869	9	-87	87	1869
10	-122	122	1991	10	-122	122	1991	10	-122	122	1991
11	-163	64	2055	11	-163	64	2055	11	-163	64	2055
12	-93	93	2148	12	-93	93	2148	12	-93	93	2148
13	-86	86	2234	13	-86	86	2234	13	-86	86	2234
14	-128	128	2362	14	-128	128	2362	14	-128	128	2362
15	-77	77	2439	15	-77	77	2439	15	-77	77	2439
16	-106	106	2545	16	-106	106	2545	16	-106	106	2545
17	-215	116	2661	17	-215	116	2661	17	-215	116	2661
18	-87	87	2748	18	-87	87	2748	18	-87	87	2748
19	-82	82	2830	19	-82	82	2830	19	-82	82	2830
20	-62	62	2892	20	-62	62	2892	20	-62	62	2892
21	-70	70	2962	21	-70	70	2962	21	-70	70	2962
22	-73	73	3035	22	-73	73	3035	22	-73	73	3035
23	-70	70	3105	23	-70	70	3105	23	-70	70	3105
24	-109	109	3214	24	-109	109	3214	24	-109	109	3214
25	-58	58	3272	25	-58	58	3272	25	-58	58	3272
26	-73	73	3345	26	-73	73	3345	26	-73	73	3345
27	-105	105	3450	27	-105	105	3450	27	-105	105	3450
28	-160	61	3511	28	-160	61	3511	28	-160	61	3511
29	-66	66	3577	29	-66	66	3577	29	-66	66	3577
30	-73	73	3650	30	-73	73	3650	30	-73	73	3650
31	-103	103	3753	31	-103	103	3753	31	-103	103	3753
32	-63	63	3816	32	-63	63	3816	32	-63	63	3816
33	-51	51	3867	33	-51	51	3867	33	-51	51	3867
34	-55	55	3922	34	-55	55	3922	34	-55	55	3922
35	-85	85	4007	35	-85	85	4007	35	-85	85	4007
36	-26	26	4033	36	-26	26	4033	36	-26	26	4033
37	-43	43	4076	37	-43	43	4076	37	-43	43	4076
38	-78	78	4154	38	-78	78	4154	38	-78	78	4154
39	-59	59	4213	39	-59	59	4213	39	-59	59	4213
40	-68	68	4281	40	-68	68	4281	40	-68	68	4281
41	-56	56	4337	41	-56	56	4337	41	-56	56	4337
42	-74	74	4411	42	-74	74	4411	42	-74	74	4411
43	-42	42	4453	43	-42	42	4453	43	-42	42	4453
44	-186	87	4540	44	-186	87	4540	44	-186	87	4540
45	-232	133	4673	45	-232	133	4673	45	-232	133	4673
46	-47	47	4720	46	-47	47	4720	46	-47	47	4720
