Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1295	404	404	0	-1295	404	404	0	-1295	404	404	0	-1295	404	404	0	-1295	404	404	0	-1295	404	404
1	-753	555	959	1	-753	555	959	1	-753	555	959	1	-753	555	959	1	-753	555	959	1	-753	555	959
2	-204	204	1163	2	-204	204	1163	2	-204	204	1163	2	-204	204	1163	2	-204	204	1163	2	-204	204	1163
3	-168	168	1331	3	-168	168	1331	3	-168	168	1331	3	-168	168	1331	3	-168	168	1331	3	-168	168	1331
4	-104	104	1435	4	-104	104	1435	4	-104	104	1435	4	-104	104	1435	4	-104	104	1435	4	-104	104	1435
5	-286	286	1721	5	-286	286	1721	5	-286	286	1721	5	-286	286	1721	5	-286	286	1721	5	-286	286	1721
6	-107	107	1828	6	-107	107	1828	6	-107	107	1828	6	-107	107	1828	6	-107	107	1828	6	-107	107	1828
7	-208	208	2036	7	-208	208	2036	7	-208	208	2036	7	-208	208	2036	7	-208	208	2036	7	-208	208	2036
8	-63	63	2099	8	-63	63	2099	8	-63	63	2099	8	-63	63	2099	8	-63	63	2099	8	-63	63	2099
9	-314	215	2314	9	-314	215	2314	9	-314	215	2314	9	-314	215	2314	9	-314	215	2314	9	-314	215	2314
10	-92	92	2406	10	-92	92	2406	10	-92	92	2406	10	-92	92	2406	10	-92	92	2406	10	-92	92	2406
11	-93	93	2499	11	-93	93	2499	11	-93	93	2499	11	-93	93	2499	11	-93	93	2499	11	-93	93	2499
12	-97	97	2596	12	-97	97	2596	12	-97	97	2596	12	-97	97	2596	12	-97	97	2596	12	-97	97	2596
13	-192	93	2689	13	-192	93	2689	13	-192	93	2689	13	-192	93	2689	13	-192	93	2689	13	-192	93	2689
14	-215	215	2904	14	-215	215	2904	14	-215	215	2904	14	-215	215	2904	14	-215	215	2904	14	-215	215	2904
15	-94	94	2998	15	-94	94	2998	15	-94	94	2998	15	-94	94	2998	15	-94	94	2998	15	-94	94	2998
16	-221	122	3120	16	-221	122	3120	16	-221	122	3120	16	-221	122	3120	16	-221	122	3120	16	-221	122	3120
17	-152	152	3272	17	-152	152	3272	17	-152	152	3272	17	-152	152	3272	17	-152	152	3272	17	-152	152	3272
18	-104	104	3376	18	-104	104	3376	18	-104	104	3376	18	-104	104	3376	18	-104	104	3376	18	-104	104	3376
19	-62	62	3438	19	-62	62	3438	19	-62	62	3438	19	-62	62	3438	19	-62	62	3438	19	-62	62	3438
20	-317	218	3656	20	-317	218	3656	20	-317	218	3656	20	-317	218	3656	20	-317	218	3656	20	-317	218	3656
21	-78	78	3734	21	-78	78	3734	21	-78	78	3734	21	-78	78	3734	21	-78	78	3734	21	-78	78	3734
22	-108	108	3842	22	-108	108	3842	22	-108	108	3842	22	-108	108	3842	22	-108	108	3842	22	-108	108	3842
23	-103	103	3945	23	-103	103	3945	23	-103	103	3945	23	-103	103	3945	23	-103	103	3945	23	-103	103	3945
24	-40	40	3985	24	-40	40	3985	24	-40	40	3985	24	-40	40	3985	24	-40	40	3985	24	-40	40	3985
25	-190	91	4076	25	-190	91	4076	25	-190	91	4076	25	-190	91	4076	25	-190	91	4076	25	-190	91	4076
26	-115	115	4191	26	-115	115	4191	26	-115	115	4191	26	-115	115	4191	26	-115	115	4191	26	-115	115	4191
27	-279	180	4371	27	-279	180	4371	27	-279	180	4371	27	-279	180	4371	27	-279	180	4371	27	-279	180	4371
28	-55	55	4426	28	-55	55	4426	28	-55	55	4426	28	-55	55	4426	28	-55	55	4426	28	-55	55	4426
29	-32	32	4458	29	-32	32	4458	29	-32	32	4458	29	-32	32	4458	29	-32	32	4458	29	-32	32	4458
30	-79	79	4537	30	-79	79	4537	30	-79	79	4537	30	-79	79	4537	30	-79	79	4537	30	-79	79	4537
31	-69	69	4606	31	-69	69	4606	31	-69	69	4606	31	-69	69	4606	31	-69	69	4606	31	-69	69	4606
32	-62	62	4668	32	-62	62	4668	32	-62	62	4668	32	-62	62	4668	32	-62	62	4668	32	-62	62	4668
33	-368	170	4838	33	-368	170	4838	33	-368	170	4838	33	-368	170	4838	33	-368	170	4838	33	-368	170	4838
34	-94	94	4932	34	-94	94	4932	34	-94	94	4932	34	-94	94	4932	34	-94	94	4932	34	-94	94	4932
35	-59	59	4991	35	-59	59	4991	35	-59	59	4991	35	-59	59	4991	35	-59	59	4991	35	-59	59	4991
36	-379	181	5172	36	-379	181	5172	36	-379	181	5172	36	-379	181	5172	36	-379	181	5172	36	-379	181	5172
37	-353	155	5327	37	-353	155	5327	37	-353	155	5327	37	-353	155	5327	37	-353	155	5327	37	-353	155	5327
