Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1912	724	724	0	-1912	724	724	0	-1912	724	724	0	-1912	724	724	0	-1912	724	724	0	-1912	724	724	0	-1912	724	724	0	-1912	724	724	0	-1912	724	724
1	-70	70	794	1	-70	70	794	1	-70	70	794	1	-70	70	794	1	-70	70	794	1	-70	70	794	1	-70	70	794	1	-70	70	794	1	-70	70	794
2	-110	110	904	2	-110	110	904	2	-110	110	904	2	-110	110	904	2	-110	110	904	2	-110	110	904	2	-110	110	904	2	-110	110	904	2	-110	110	904
3	-142	142	1046	3	-142	142	1046	3	-142	142	1046	3	-142	142	1046	3	-142	142	1046	3	-142	142	1046	3	-142	142	1046	3	-142	142	1046	3	-142	142	1046
4	-104	104	1150	4	-104	104	1150	4	-104	104	1150	4	-104	104	1150	4	-104	104	1150	4	-104	104	1150	4	-104	104	1150	4	-104	104	1150	4	-104	104	1150
5	-111	111	1261	5	-111	111	1261	5	-111	111	1261	5	-111	111	1261	5	-111	111	1261	5	-111	111	1261	5	-111	111	1261	5	-111	111	1261	5	-111	111	1261
6	-126	126	1387	6	-126	126	1387	6	-126	126	1387	6	-126	126	1387	6	-126	126	1387	6	-126	126	1387	6	-126	126	1387	6	-126	126	1387	6	-126	126	1387
7	-91	91	1478	7	-91	91	1478	7	-91	91	1478	7	-91	91	1478	7	-91	91	1478	7	-91	91	1478	7	-91	91	1478	7	-91	91	1478	7	-91	91	1478
8	-243	144	1622	8	-243	144	1622	8	-243	144	1622	8	-243	144	1622	8	-243	144	1622	8	-243	144	1622	8	-243	144	1622	8	-243	144	1622	8	-243	144	1622
9	-178	178	1800	9	-178	178	1800	9	-178	178	1800	9	-178	178	1800	9	-178	178	1800	9	-178	178	1800	9	-178	178	1800	9	-178	178	1800	9	-178	178	1800
10	-93	93	1893	10	-93	93	1893	10	-93	93	1893	10	-93	93	1893	10	-93	93	1893	10	-93	93	1893	10	-93	93	1893	10	-93	93	1893	10	-93	93	1893
11	-68	68	1961	11	-68	68	1961	11	-68	68	1961	11	-68	68	1961	11	-68	68	1961	11	-68	68	1961	11	-68	68	1961	11	-68	68	1961	11	-68	68	1961
12	-115	115	2076	12	-115	115	2076	12	-115	115	2076	12	-115	115	2076	12	-115	115	2076	12	-115	115	2076	12	-115	115	2076	12	-115	115	2076	12	-115	115	2076
13	-92	92	2168	13	-92	92	2168	13	-92	92	2168	13	-92	92	2168	13	-92	92	2168	13	-92	92	2168	13	-92	92	2168	13	-92	92	2168	13	-92	92	2168
14	-107	107	2275	14	-107	107	2275	14	-107	107	2275	14	-107	107	2275	14	-107	107	2275	14	-107	107	2275	14	-107	107	2275	14	-107	107	2275	14	-107	107	2275
15	-59	59	2334	15	-59	59	2334	15	-59	59	2334	15	-59	59	2334	15	-59	59	2334	15	-59	59	2334	15	-59	59	2334	15	-59	59	2334	15	-59	59	2334
16	-130	130	2464	16	-130	130	2464	16	-130	130	2464	16	-130	130	2464	16	-130	130	2464	16	-130	130	2464	16	-130	130	2464	16	-130	130	2464	16	-130	130	2464
17	-94	94	2558	17	-94	94	2558	17	-94	94	2558	17	-94	94	2558	17	-94	94	2558	17	-94	94	2558	17	-94	94	2558	17	-94	94	2558	17	-94	94	2558
18	-183	84	2642	18	-183	84	2642	18	-183	84	2642	18	-183	84	2642	18	-183	84	2642	18	-183	84	2642	18	-183	84	2642	18	-183	84	2642	18	-183	84	2642
19	-80	80	2722	19	-80	80	2722	19	-80	80	2722	19	-80	80	2722	19	-80	80	2722	19	-80	80	2722	19	-80	80	2722	19	-80	80	2722	19	-80	80	2722
20	-92	92	2814	20	-92	92	2814	20	-92	92	2814	20	-92	92	2814	20	-92	92	2814	20	-92	92	2814	20	-92	92	2814	20	-92	92	2814	20	-92	92	2814
21	-60	60	2874	21	-60	60	2874	21	-60	60	2874	21	-60	60	2874	21	-60	60	2874	21	-60	60	2874	21	-60	60	2874	21	-60	60	2874	21	-60	60	2874
22	-78	78	2952	22	-78	78	2952	22	-78	78	2952	22	-78	78	2952	22	-78	78	2952	22	-78	78	2952	22	-78	78	2952	22	-78	78	2952	22	-78	78	2952
23	-65	65	3017	23	-65	65	3017	23	-65	65	3017	23	-65	65	3017	23	-65	65	3017	23	-65	65	3017	23	-65	65	3017	23	-65	65	3017	23	-65	65	3017
24	-51	51	3068	24	-51	51	3068	24	-51	51	3068	24	-51	51	3068	24	-51	51	3068	24	-51	51	3068	24	-51	51	3068	24	-51	51	3068	24	-51	51	3068
25	-145	145	3213	25	-145	145	3213	25	-145	145	3213	25	-145	145	3213	25	-145	145	3213	25	-145	145	3213	25	-145	145	3213	25	-145	145	3213	25	-145	145	3213
26	-54	54	3267	26	-54	54	3267	26	-54	54	3267	26	-54	54	3267	26	-54	54	3267	26	-54	54	3267	26	-54	54	3267	26	-54	54	3267	26	-54	54	3267
27	-113	113	3380	27	-113	113	3380	27	-113	113	3380	27	-113	113	3380	27	-113	113	3380	27	-113	113	3380	27	-113	113	3380	27	-113	113	3380	27	-113	113	3380
