Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1676	587	587	0	-1676	587	587	0	-1676	587	587	0	-1676	587	587	0	-1676	587	587	0	-1676	587	587	0	-1676	587	587	0	-1676	587	587	0	-1676	587	587	0	-1676	587	587	0	-1676	587	587	0	-1676	587	587
1	-241	142	729	1	-241	142	729	1	-241	142	729	1	-241	142	729	1	-241	142	729	1	-241	142	729	1	-241	142	729	1	-241	142	729	1	-241	142	729	1	-241	142	729	1	-241	142	729	1	-241	142	729
2	-237	138	867	2	-237	138	867	2	-237	138	867	2	-237	138	867	2	-237	138	867	2	-237	138	867	2	-237	138	867	2	-237	138	867	2	-237	138	867	2	-237	138	867	2	-237	138	867	2	-237	138	867
3	-149	149	1016	3	-149	149	1016	3	-149	149	1016	3	-149	149	1016	3	-149	149	1016	3	-149	149	1016	3	-149	149	1016	3	-149	149	1016	3	-149	149	1016	3	-149	149	1016	3	-149	149	1016	3	-149	149	1016
4	-330	231	1247	4	-330	231	1247	4	-330	231	1247	4	-330	231	1247	4	-330	231	1247	4	-330	231	1247	4	-330	231	1247	4	-330	231	1247	4	-330	231	1247	4	-330	231	1247	4	-330	231	1247	4	-330	231	1247
5	-116	116	1363	5	-116	116	1363	5	-116	116	1363	5	-116	116	1363	5	-116	116	1363	5	-116	116	1363	5	-116	116	1363	5	-116	116	1363	5	-116	116	1363	5	-116	116	1363	5	-116	116	1363	5	-116	116	1363
6	-84	84	1447	6	-84	84	1447	6	-84	84	1447	6	-84	84	1447	6	-84	84	1447	6	-84	84	1447	6	-84	84	1447	6	-84	84	1447	6	-84	84	1447	6	-84	84	1447	6	-84	84	1447	6	-84	84	1447
7	-144	144	1591	7	-144	144	1591	7	-144	144	1591	7	-144	144	1591	7	-144	144	1591	7	-144	144	1591	7	-144	144	1591	7	-144	144	1591	7	-144	144	1591	7	-144	144	1591	7	-144	144	1591	7	-144	144	1591
8	-91	91	1682	8	-91	91	1682	8	-91	91	1682	8	-91	91	1682	8	-91	91	1682	8	-91	91	1682	8	-91	91	1682	8	-91	91	1682	8	-91	91	1682	8	-91	91	1682	8	-91	91	1682	8	-91	91	1682
9	-112	112	1794	9	-112	112	1794	9	-112	112	1794	9	-112	112	1794	9	-112	112	1794	9	-112	112	1794	9	-112	112	1794	9	-112	112	1794	9	-112	112	1794	9	-112	112	1794	9	-112	112	1794	9	-112	112	1794
10	-119	119	1913	10	-119	119	1913	10	-119	119	1913	10	-119	119	1913	10	-119	119	1913	10	-119	119	1913	10	-119	119	1913	10	-119	119	1913	10	-119	119	1913	10	-119	119	1913	10	-119	119	1913	10	-119	119	1913
11	-279	180	2093	11	-279	180	2093	11	-279	180	2093	11	-279	180	2093	11	-279	180	2093	11	-279	180	2093	11	-279	180	2093	11	-279	180	2093	11	-279	180	2093	11	-279	180	2093	11	-279	180	2093	11	-279	180	2093
12	-82	82	2175	12	-82	82	2175	12	-82	82	2175	12	-82	82	2175	12	-82	82	2175	12	-82	82	2175	12	-82	82	2175	12	-82	82	2175	12	-82	82	2175	12	-82	82	2175	12	-82	82	2175	12	-82	82	2175
13	-95	95	2270	13	-95	95	2270	13	-95	95	2270	13	-95	95	2270	13	-95	95	2270	13	-95	95	2270	13	-95	95	2270	13	-95	95	2270	13	-95	95	2270	13	-95	95	2270	13	-95	95	2270	13	-95	95	2270
14	-104	104	2374	14	-104	104	2374	14	-104	104	2374	14	-104	104	2374	14	-104	104	2374	14	-104	104	2374	14	-104	104	2374	14	-104	104	2374	14	-104	104	2374	14	-104	104	2374	14	-104	104	2374	14	-104	104	2374
15	-95	95	2469	15	-95	95	2469	15	-95	95	2469	15	-95	95	2469	15	-95	95	2469	15	-95	95	2469	15	-95	95	2469	15	-95	95	2469	15	-95	95	2469	15	-95	95	2469	15	-95	95	2469	15	-95	95	2469
16	-58	58	2527	16	-58	58	2527	16	-58	58	2527	16	-58	58	2527	16	-58	58	2527	16	-58	58	2527	16	-58	58	2527	16	-58	58	2527	16	-58	58	2527	16	-58	58	2527	16	-58	58	2527	16	-58	58	2527
17	-89	89	2616	17	-89	89	2616	17	-89	89	2616	17	-89	89	2616	17	-89	89	2616	17	-89	89	2616	17	-89	89	2616	17	-89	89	2616	17	-89	89	2616	17	-89	89	2616	17	-89	89	2616	17	-89	89	2616
18	-97	97	2713	18	-97	97	2713	18	-97	97	2713	18	-97	97	2713	18	-97	97	2713	18	-97	97	2713	18	-97	97	2713	18	-97	97	2713	18	-97	97	2713	18	-97	97	2713	18	-97	97	2713	18	-97	97	2713
19	-103	103	2816	19	-103	103	2816	19	-103	103	2816	19	-103	103	2816	19	-103	103	2816	19	-103	103	2816	19	-103	103	2816	19	-103	103	2816	19	-103	103	2816	19	-103	103	2816	19	-103	103	2816	19	-103	103	2816
20	-184	85	2901	20	-184	85	2901	20	-184	85	2901	20	-184	85	2901	20	-184	85	2901	20	-184	85	2901	20	-184	85	2901	20	-184	85	2901	20	-184	85	2901	20	-184	85	2901	20	-184	85	2901	20	-184	85	2901
21	-102	102	3003	21	-102	102	3003	21	-102	102	3003	21	-102	102	3003	21	-102	102	3003	21	-102	102	3003	21	-102	102	3003	21	-102	102	3003	21	-102	102	3003	21	-102	102	3003	21	-102	102	3003	21	-102	102	3003
22	-329	131	3134	22	-329	131	3134	22	-329	131	3134	22	-329	131	3134	22	-329	131	3134	22	-329	131	3134	22	-329	131	3134	22	-329	131	3134	22	-329	131	3134	22	-329	131	3134	22	-329	131	3134	22	-329	131	3134
23	-210	111	3245	23	-210	111	3245	23	-210	111	3245	23	-210	111	3245	23	-210	111	3245	23	-210	111	3245	23	-210	111	3245	23	-210	111	3245	23	-210	111	3245	23	-210	111	3245	23	-210	111	3245	23	-210	111	3245
24	-195	96	3341	24	-195	96	3341	24	-195	96	3341	24	-195	96	3341	24	-195	96	3341	24	-195	96	3341	24	-195	96	3341	24	-195	96	3341	24	-195	96	3341	24	-195	96	3341	24	-195	96	3341	24	-195	96	3341
25	-98	98	3439	25	-98	98	3439	25	-98	98	3439	25	-98	98	3439	25	-98	98	3439	25	-98	98	3439	25	-98	98	3439	25	-98	98	3439	25	-98	98	3439	25	-98	98	3439	25	-98	98	3439	25	-98	98	3439
26	-55	55	3494	26	-55	55	3494	26	-55	55	3494	26	-55	55	3494	26	-55	55	3494	26	-55	55	3494	26	-55	55	3494	26	-55	55	3494	26	-55	55	3494	26	-55	55	3494	26	-55	55	3494	26	-55	55	3494
27	-156	57	3551	27	-156	57	3551	27	-156	57	3551	27	-156	57	3551	27	-156	57	3551	27	-156	57	3551	27	-156	57	3551	27	-156	57	3551	27	-156	57	3551	27	-156	57	3551	27	-156	57	3551	27	-156	57	3551
28	-45	45	3596	28	-45	45	3596	28	-45	45	3596	28	-45	45	3596	28	-45	45	3596	28	-45	45	3596	28	-45	45	3596	28	-45	45	3596	28	-45	45	3596	28	-45	45	3596	28	-45	45	3596	28	-45	45	3596
29	-45	45	3641	29	-45	45	3641	29	-45	45	3641	29	-45	45	3641	29	-45	45	3641	29	-45	45	3641	29	-45	45	3641	29	-45	45	3641	29	-45	45	3641	29	-45	45	3641	29	-45	45	3641	29	-45	45	3641
