Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2016	729	729	0	-2016	729	729	0	-2016	729	729	0	-2016	729	729	0	-2016	729	729	0	-2016	729	729	0	-2016	729	729	0	-2016	729	729	0	-2016	729	729	0	-2016	729	729	0	-2016	729	729	0	-2016	729	729	0	-2016	729	729	0	-2016	729	729	0	-2016	729	729
1	-319	220	949	1	-319	220	949	1	-319	220	949	1	-319	220	949	1	-319	220	949	1	-319	220	949	1	-319	220	949	1	-319	220	949	1	-319	220	949	1	-319	220	949	1	-319	220	949	1	-319	220	949	1	-319	220	949	1	-319	220	949	1	-319	220	949
2	-120	120	1069	2	-120	120	1069	2	-120	120	1069	2	-120	120	1069	2	-120	120	1069	2	-120	120	1069	2	-120	120	1069	2	-120	120	1069	2	-120	120	1069	2	-120	120	1069	2	-120	120	1069	2	-120	120	1069	2	-120	120	1069	2	-120	120	1069	2	-120	120	1069
3	-127	127	1196	3	-127	127	1196	3	-127	127	1196	3	-127	127	1196	3	-127	127	1196	3	-127	127	1196	3	-127	127	1196	3	-127	127	1196	3	-127	127	1196	3	-127	127	1196	3	-127	127	1196	3	-127	127	1196	3	-127	127	1196	3	-127	127	1196	3	-127	127	1196
4	-108	108	1304	4	-108	108	1304	4	-108	108	1304	4	-108	108	1304	4	-108	108	1304	4	-108	108	1304	4	-108	108	1304	4	-108	108	1304	4	-108	108	1304	4	-108	108	1304	4	-108	108	1304	4	-108	108	1304	4	-108	108	1304	4	-108	108	1304	4	-108	108	1304
5	-88	88	1392	5	-88	88	1392	5	-88	88	1392	5	-88	88	1392	5	-88	88	1392	5	-88	88	1392	5	-88	88	1392	5	-88	88	1392	5	-88	88	1392	5	-88	88	1392	5	-88	88	1392	5	-88	88	1392	5	-88	88	1392	5	-88	88	1392	5	-88	88	1392
6	-175	175	1567	6	-175	175	1567	6	-175	175	1567	6	-175	175	1567	6	-175	175	1567	6	-175	175	1567	6	-175	175	1567	6	-175	175	1567	6	-175	175	1567	6	-175	175	1567	6	-175	175	1567	6	-175	175	1567	6	-175	175	1567	6	-175	175	1567	6	-175	175	1567
7	-199	199	1766	7	-199	199	1766	7	-199	199	1766	7	-199	199	1766	7	-199	199	1766	7	-199	199	1766	7	-199	199	1766	7	-199	199	1766	7	-199	199	1766	7	-199	199	1766	7	-199	199	1766	7	-199	199	1766	7	-199	199	1766	7	-199	199	1766	7	-199	199	1766
8	-140	140	1906	8	-140	140	1906	8	-140	140	1906	8	-140	140	1906	8	-140	140	1906	8	-140	140	1906	8	-140	140	1906	8	-140	140	1906	8	-140	140	1906	8	-140	140	1906	8	-140	140	1906	8	-140	140	1906	8	-140	140	1906	8	-140	140	1906	8	-140	140	1906
9	-137	137	2043	9	-137	137	2043	9	-137	137	2043	9	-137	137	2043	9	-137	137	2043	9	-137	137	2043	9	-137	137	2043	9	-137	137	2043	9	-137	137	2043	9	-137	137	2043	9	-137	137	2043	9	-137	137	2043	9	-137	137	2043	9	-137	137	2043	9	-137	137	2043
