Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1803	516	516	0	-1803	516	516	0	-1803	516	516	0	-1803	516	516	0	-1803	516	516	0	-1803	516	516	0	-1803	516	516	0	-1803	516	516	0	-1803	516	516	0	-1803	516	516	0	-1803	516	516	0	-1803	516	516	0	-1803	516	516	0	-1803	516	516	0	-1803	516	516	0	-1803	516	516	0	-1803	516	516	0	-1803	516	516
1	-462	264	780	1	-462	264	780	1	-462	264	780	1	-462	264	780	1	-462	264	780	1	-462	264	780	1	-462	264	780	1	-462	264	780	1	-462	264	780	1	-462	264	780	1	-462	264	780	1	-462	264	780	1	-462	264	780	1	-462	264	780	1	-462	264	780	1	-462	264	780	1	-462	264	780	1	-462	264	780
2	-527	527	1307	2	-527	527	1307	2	-527	527	1307	2	-527	527	1307	2	-527	527	1307	2	-527	527	1307	2	-527	527	1307	2	-527	527	1307	2	-527	527	1307	2	-527	527	1307	2	-527	527	1307	2	-527	527	1307	2	-527	527	1307	2	-527	527	1307	2	-527	527	1307	2	-527	527	1307	2	-527	527	1307	2	-527	527	1307
3	-264	264	1571	3	-264	264	1571	3	-264	264	1571	3	-264	264	1571	3	-264	264	1571	3	-264	264	1571	3	-264	264	1571	3	-264	264	1571	3	-264	264	1571	3	-264	264	1571	3	-264	264	1571	3	-264	264	1571	3	-264	264	1571	3	-264	264	1571	3	-264	264	1571	3	-264	264	1571	3	-264	264	1571	3	-264	264	1571
4	-206	107	1678	4	-206	107	1678	4	-206	107	1678	4	-206	107	1678	4	-206	107	1678	4	-206	107	1678	4	-206	107	1678	4	-206	107	1678	4	-206	107	1678	4	-206	107	1678	4	-206	107	1678	4	-206	107	1678	4	-206	107	1678	4	-206	107	1678	4	-206	107	1678	4	-206	107	1678	4	-206	107	1678	4	-206	107	1678
5	-440	341	2019	5	-440	341	2019	5	-440	341	2019	5	-440	341	2019	5	-440	341	2019	5	-440	341	2019	5	-440	341	2019	5	-440	341	2019	5	-440	341	2019	5	-440	341	2019	5	-440	341	2019	5	-440	341	2019	5	-440	341	2019	5	-440	341	2019	5	-440	341	2019	5	-440	341	2019	5	-440	341	2019	5	-440	341	2019
6	-80	80	2099	6	-80	80	2099	6	-80	80	2099	6	-80	80	2099	6	-80	80	2099	6	-80	80	2099	6	-80	80	2099	6	-80	80	2099	6	-80	80	2099	6	-80	80	2099	6	-80	80	2099	6	-80	80	2099	6	-80	80	2099	6	-80	80	2099	6	-80	80	2099	6	-80	80	2099	6	-80	80	2099	6	-80	80	2099
7	-75	75	2174	7	-75	75	2174	7	-75	75	2174	7	-75	75	2174	7	-75	75	2174	7	-75	75	2174	7	-75	75	2174	7	-75	75	2174	7	-75	75	2174	7	-75	75	2174	7	-75	75	2174	7	-75	75	2174	7	-75	75	2174	7	-75	75	2174	7	-75	75	2174	7	-75	75	2174	7	-75	75	2174	7	-75	75	2174
8	-250	250	2424	8	-250	250	2424	8	-250	250	2424	8	-250	250	2424	8	-250	250	2424	8	-250	250	2424	8	-250	250	2424	8	-250	250	2424	8	-250	250	2424	8	-250	250	2424	8	-250	250	2424	8	-250	250	2424	8	-250	250	2424	8	-250	250	2424	8	-250	250	2424	8	-250	250	2424	8	-250	250	2424	8	-250	250	2424
9	-130	130	2554	9	-130	130	2554	9	-130	130	2554	9	-130	130	2554	9	-130	130	2554	9	-130	130	2554	9	-130	130	2554	9	-130	130	2554	9	-130	130	2554	9	-130	130	2554	9	-130	130	2554	9	-130	130	2554	9	-130	130	2554	9	-130	130	2554	9	-130	130	2554	9	-130	130	2554	9	-130	130	2554	9	-130	130	2554
10	-150	150	2704	10	-150	150	2704	10	-150	150	2704	10	-150	150	2704	10	-150	150	2704	10	-150	150	2704	10	-150	150	2704	10	-150	150	2704	10	-150	150	2704	10	-150	150	2704	10	-150	150	2704	10	-150	150	2704	10	-150	150	2704	10	-150	150	2704	10	-150	150	2704	10	-150	150	2704	10	-150	150	2704	10	-150	150	2704
11	-397	298	3002	11	-397	298	3002	11	-397	298	3002	11	-397	298	3002	11	-397	298	3002	11	-397	298	3002	11	-397	298	3002	11	-397	298	3002	11	-397	298	3002	11	-397	298	3002	11	-397	298	3002	11	-397	298	3002	11	-397	298	3002	11	-397	298	3002	11	-397	298	3002	11	-397	298	3002	11	-397	298	3002	11	-397	298	3002
12	-132	132	3134	12	-132	132	3134	12	-132	132	3134	12	-132	132	3134	12	-132	132	3134	12	-132	132	3134	12	-132	132	3134	12	-132	132	3134	12	-132	132	3134	12	-132	132	3134	12	-132	132	3134	12	-132	132	3134	12	-132	132	3134	12	-132	132	3134	12	-132	132	3134	12	-132	132	3134	12	-132	132	3134	12	-132	132	3134
13	-116	116	3250	13	-116	116	3250	13	-116	116	3250	13	-116	116	3250	13	-116	116	3250	13	-116	116	3250	13	-116	116	3250	13	-116	116	3250	13	-116	116	3250	13	-116	116	3250	13	-116	116	3250	13	-116	116	3250	13	-116	116	3250	13	-116	116	3250	13	-116	116	3250	13	-116	116	3250	13	-116	116	3250	13	-116	116	3250
14	-63	63	3313	14	-63	63	3313	14	-63	63	3313	14	-63	63	3313	14	-63	63	3313	14	-63	63	3313	14	-63	63	3313	14	-63	63	3313	14	-63	63	3313	14	-63	63	3313	14	-63	63	3313	14	-63	63	3313	14	-63	63	3313	14	-63	63	3313	14	-63	63	3313	14	-63	63	3313	14	-63	63	3313	14	-63	63	3313
15	-229	130	3443	15	-229	130	3443	15	-229	130	3443	15	-229	130	3443	15	-229	130	3443	15	-229	130	3443	15	-229	130	3443	15	-229	130	3443	15	-229	130	3443	15	-229	130	3443	15	-229	130	3443	15	-229	130	3443	15	-229	130	3443	15	-229	130	3443	15	-229	130	3443	15	-229	130	3443	15	-229	130	3443	15	-229	130	3443
16	-86	86	3529	16	-86	86	3529	16	-86	86	3529	16	-86	86	3529	16	-86	86	3529	16	-86	86	3529	16	-86	86	3529	16	-86	86	3529	16	-86	86	3529	16	-86	86	3529	16	-86	86	3529	16	-86	86	3529	16	-86	86	3529	16	-86	86	3529	16	-86	86	3529	16	-86	86	3529	16	-86	86	3529	16	-86	86	3529
17	-110	110	3639	17	-110	110	3639	17	-110	110	3639	17	-110	110	3639	17	-110	110	3639	17	-110	110	3639	17	-110	110	3639	17	-110	110	3639	17	-110	110	3639	17	-110	110	3639	17	-110	110	3639	17	-110	110	3639	17	-110	110	3639	17	-110	110	3639	17	-110	110	3639	17	-110	110	3639	17	-110	110	3639	17	-110	110	3639
18	-196	97	3736	18	-196	97	3736	18	-196	97	3736	18	-196	97	3736	18	-196	97	3736	18	-196	97	3736	18	-196	97	3736	18	-196	97	3736	18	-196	97	3736	18	-196	97	3736	18	-196	97	3736	18	-196	97	3736	18	-196	97	3736	18	-196	97	3736	18	-196	97	3736	18	-196	97	3736	18	-196	97	3736	18	-196	97	3736
19	-154	154	3890	19	-154	154	3890	19	-154	154	3890	19	-154	154	3890	19	-154	154	3890	19	-154	154	3890	19	-154	154	3890	19	-154	154	3890	19	-154	154	3890	19	-154	154	3890	19	-154	154	3890	19	-154	154	3890	19	-154	154	3890	19	-154	154	3890	19	-154	154	3890	19	-154	154	3890	19	-154	154	3890	19	-154	154	3890
20	-52	52	3942	20	-52	52	3942	20	-52	52	3942	20	-52	52	3942	20	-52	52	3942	20	-52	52	3942	20	-52	52	3942	20	-52	52	3942	20	-52	52	3942	20	-52	52	3942	20	-52	52	3942	20	-52	52	3942	20	-52	52	3942	20	-52	52	3942	20	-52	52	3942	20	-52	52	3942	20	-52	52	3942	20	-52	52	3942
21	-76	76	4018	21	-76	76	4018	21	-76	76	4018	21	-76	76	4018	21	-76	76	4018	21	-76	76	4018	21	-76	76	4018	21	-76	76	4018	21	-76	76	4018	21	-76	76	4018	21	-76	76	4018	21	-76	76	4018	21	-76	76	4018	21	-76	76	4018	21	-76	76	4018	21	-76	76	4018	21	-76	76	4018	21	-76	76	4018
