Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2302	718	718	0	-2302	718	718	0	-2302	718	718	0	-2302	718	718	0	-2302	718	718	0	-2302	718	718	0	-2302	718	718	0	-2302	718	718	0	-2302	718	718	0	-2302	718	718	0	-2302	718	718	0	-2302	718	718	0	-2302	718	718	0	-2302	718	718	0	-2302	718	718	0	-2302	718	718	0	-2302	718	718	0	-2302	718	718	0	-2302	718	718	0	-2302	718	718	0	-2302	718	718
1	-198	99	817	1	-198	99	817	1	-198	99	817	1	-198	99	817	1	-198	99	817	1	-198	99	817	1	-198	99	817	1	-198	99	817	1	-198	99	817	1	-198	99	817	1	-198	99	817	1	-198	99	817	1	-198	99	817	1	-198	99	817	1	-198	99	817	1	-198	99	817	1	-198	99	817	1	-198	99	817	1	-198	99	817	1	-198	99	817	1	-198	99	817
2	-182	182	999	2	-182	182	999	2	-182	182	999	2	-182	182	999	2	-182	182	999	2	-182	182	999	2	-182	182	999	2	-182	182	999	2	-182	182	999	2	-182	182	999	2	-182	182	999	2	-182	182	999	2	-182	182	999	2	-182	182	999	2	-182	182	999	2	-182	182	999	2	-182	182	999	2	-182	182	999	2	-182	182	999	2	-182	182	999	2	-182	182	999
3	-188	188	1187	3	-188	188	1187	3	-188	188	1187	3	-188	188	1187	3	-188	188	1187	3	-188	188	1187	3	-188	188	1187	3	-188	188	1187	3	-188	188	1187	3	-188	188	1187	3	-188	188	1187	3	-188	188	1187	3	-188	188	1187	3	-188	188	1187	3	-188	188	1187	3	-188	188	1187	3	-188	188	1187	3	-188	188	1187	3	-188	188	1187	3	-188	188	1187	3	-188	188	1187
4	-353	353	1540	4	-353	353	1540	4	-353	353	1540	4	-353	353	1540	4	-353	353	1540	4	-353	353	1540	4	-353	353	1540	4	-353	353	1540	4	-353	353	1540	4	-353	353	1540	4	-353	353	1540	4	-353	353	1540	4	-353	353	1540	4	-353	353	1540	4	-353	353	1540	4	-353	353	1540	4	-353	353	1540	4	-353	353	1540	4	-353	353	1540	4	-353	353	1540	4	-353	353	1540
5	-203	203	1743	5	-203	203	1743	5	-203	203	1743	5	-203	203	1743	5	-203	203	1743	5	-203	203	1743	5	-203	203	1743	5	-203	203	1743	5	-203	203	1743	5	-203	203	1743	5	-203	203	1743	5	-203	203	1743	5	-203	203	1743	5	-203	203	1743	5	-203	203	1743	5	-203	203	1743	5	-203	203	1743	5	-203	203	1743	5	-203	203	1743	5	-203	203	1743	5	-203	203	1743
6	-680	482	2225	6	-680	482	2225	6	-680	482	2225	6	-680	482	2225	6	-680	482	2225	6	-680	482	2225	6	-680	482	2225	6	-680	482	2225	6	-680	482	2225	6	-680	482	2225	6	-680	482	2225	6	-680	482	2225	6	-680	482	2225	6	-680	482	2225	6	-680	482	2225	6	-680	482	2225	6	-680	482	2225	6	-680	482	2225	6	-680	482	2225	6	-680	482	2225	6	-680	482	2225
7	-404	305	2530	7	-404	305	2530	7	-404	305	2530	7	-404	305	2530	7	-404	305	2530	7	-404	305	2530	7	-404	305	2530	7	-404	305	2530	7	-404	305	2530	7	-404	305	2530	7	-404	305	2530	7	-404	305	2530	7	-404	305	2530	7	-404	305	2530	7	-404	305	2530	7	-404	305	2530	7	-404	305	2530	7	-404	305	2530	7	-404	305	2530	7	-404	305	2530	7	-404	305	2530
8	-158	158	2688	8	-158	158	2688	8	-158	158	2688	8	-158	158	2688	8	-158	158	2688	8	-158	158	2688	8	-158	158	2688	8	-158	158	2688	8	-158	158	2688	8	-158	158	2688	8	-158	158	2688	8	-158	158	2688	8	-158	158	2688	8	-158	158	2688	8	-158	158	2688	8	-158	158	2688	8	-158	158	2688	8	-158	158	2688	8	-158	158	2688	8	-158	158	2688	8	-158	158	2688
9	-338	140	2828	9	-338	140	2828	9	-338	140	2828	9	-338	140	2828	9	-338	140	2828	9	-338	140	2828	9	-338	140	2828	9	-338	140	2828	9	-338	140	2828	9	-338	140	2828	9	-338	140	2828	9	-338	140	2828	9	-338	140	2828	9	-338	140	2828	9	-338	140	2828	9	-338	140	2828	9	-338	140	2828	9	-338	140	2828	9	-338	140	2828	9	-338	140	2828	9	-338	140	2828
