Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1887	600	600	0	-1887	600	600	0	-1887	600	600	0	-1887	600	600	0	-1887	600	600	0	-1887	600	600	0	-1887	600	600	0	-1887	600	600	0	-1887	600	600	0	-1887	600	600	0	-1887	600	600	0	-1887	600	600	0	-1887	600	600	0	-1887	600	600	0	-1887	600	600	0	-1887	600	600	0	-1887	600	600	0	-1887	600	600	0	-1887	600	600	0	-1887	600	600	0	-1887	600	600	0	-1887	600	600	0	-1887	600	600	0	-1887	600	600
1	-186	186	786	1	-186	186	786	1	-186	186	786	1	-186	186	786	1	-186	186	786	1	-186	186	786	1	-186	186	786	1	-186	186	786	1	-186	186	786	1	-186	186	786	1	-186	186	786	1	-186	186	786	1	-186	186	786	1	-186	186	786	1	-186	186	786	1	-186	186	786	1	-186	186	786	1	-186	186	786	1	-186	186	786	1	-186	186	786	1	-186	186	786	1	-186	186	786	1	-186	186	786	1	-186	186	786
2	-191	191	977	2	-191	191	977	2	-191	191	977	2	-191	191	977	2	-191	191	977	2	-191	191	977	2	-191	191	977	2	-191	191	977	2	-191	191	977	2	-191	191	977	2	-191	191	977	2	-191	191	977	2	-191	191	977	2	-191	191	977	2	-191	191	977	2	-191	191	977	2	-191	191	977	2	-191	191	977	2	-191	191	977	2	-191	191	977	2	-191	191	977	2	-191	191	977	2	-191	191	977	2	-191	191	977
3	-84	84	1061	3	-84	84	1061	3	-84	84	1061	3	-84	84	1061	3	-84	84	1061	3	-84	84	1061	3	-84	84	1061	3	-84	84	1061	3	-84	84	1061	3	-84	84	1061	3	-84	84	1061	3	-84	84	1061	3	-84	84	1061	3	-84	84	1061	3	-84	84	1061	3	-84	84	1061	3	-84	84	1061	3	-84	84	1061	3	-84	84	1061	3	-84	84	1061	3	-84	84	1061	3	-84	84	1061	3	-84	84	1061	3	-84	84	1061
4	-259	259	1320	4	-259	259	1320	4	-259	259	1320	4	-259	259	1320	4	-259	259	1320	4	-259	259	1320	4	-259	259	1320	4	-259	259	1320	4	-259	259	1320	4	-259	259	1320	4	-259	259	1320	4	-259	259	1320	4	-259	259	1320	4	-259	259	1320	4	-259	259	1320	4	-259	259	1320	4	-259	259	1320	4	-259	259	1320	4	-259	259	1320	4	-259	259	1320	4	-259	259	1320	4	-259	259	1320	4	-259	259	1320	4	-259	259	1320
5	-342	243	1563	5	-342	243	1563	5	-342	243	1563	5	-342	243	1563	5	-342	243	1563	5	-342	243	1563	5	-342	243	1563	5	-342	243	1563	5	-342	243	1563	5	-342	243	1563	5	-342	243	1563	5	-342	243	1563	5	-342	243	1563	5	-342	243	1563	5	-342	243	1563	5	-342	243	1563	5	-342	243	1563	5	-342	243	1563	5	-342	243	1563	5	-342	243	1563	5	-342	243	1563	5	-342	243	1563	5	-342	243	1563	5	-342	243	1563
6	-99	99	1662	6	-99	99	1662	6	-99	99	1662	6	-99	99	1662	6	-99	99	1662	6	-99	99	1662	6	-99	99	1662	6	-99	99	1662	6	-99	99	1662	6	-99	99	1662	6	-99	99	1662	6	-99	99	1662	6	-99	99	1662	6	-99	99	1662	6	-99	99	1662	6	-99	99	1662	6	-99	99	1662	6	-99	99	1662	6	-99	99	1662	6	-99	99	1662	6	-99	99	1662	6	-99	99	1662	6	-99	99	1662	6	-99	99	1662
7	-168	168	1830	7	-168	168	1830	7	-168	168	1830	7	-168	168	1830	7	-168	168	1830	7	-168	168	1830	7	-168	168	1830	7	-168	168	1830	7	-168	168	1830	7	-168	168	1830	7	-168	168	1830	7	-168	168	1830	7	-168	168	1830	7	-168	168	1830	7	-168	168	1830	7	-168	168	1830	7	-168	168	1830	7	-168	168	1830	7	-168	168	1830	7	-168	168	1830	7	-168	168	1830	7	-168	168	1830	7	-168	168	1830	7	-168	168	1830
8	-596	398	2228	8	-596	398	2228	8	-596	398	2228	8	-596	398	2228	8	-596	398	2228	8	-596	398	2228	8	-596	398	2228	8	-596	398	2228	8	-596	398	2228	8	-596	398	2228	8	-596	398	2228	8	-596	398	2228	8	-596	398	2228	8	-596	398	2228	8	-596	398	2228	8	-596	398	2228	8	-596	398	2228	8	-596	398	2228	8	-596	398	2228	8	-596	398	2228	8	-596	398	2228	8	-596	398	2228	8	-596	398	2228	8	-596	398	2228
9	-147	147	2375	9	-147	147	2375	9	-147	147	2375	9	-147	147	2375	9	-147	147	2375	9	-147	147	2375	9	-147	147	2375	9	-147	147	2375	9	-147	147	2375	9	-147	147	2375	9	-147	147	2375	9	-147	147	2375	9	-147	147	2375	9	-147	147	2375	9	-147	147	2375	9	-147	147	2375	9	-147	147	2375	9	-147	147	2375	9	-147	147	2375	9	-147	147	2375	9	-147	147	2375	9	-147	147	2375	9	-147	147	2375	9	-147	147	2375
