Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1334	443	443	0	-1334	443	443	0	-1334	443	443	0	-1334	443	443	0	-1334	443	443	0	-1334	443	443	0	-1334	443	443	0	-1334	443	443	0	-1334	443	443	0	-1334	443	443	0	-1334	443	443	0	-1334	443	443	0	-1334	443	443	0	-1334	443	443	0	-1334	443	443	0	-1334	443	443	0	-1334	443	443	0	-1334	443	443	0	-1334	443	443	0	-1334	443	443	0	-1334	443	443	0	-1334	443	443	0	-1334	443	443	0	-1334	443	443	0	-1334	443	443	0	-1334	443	443	0	-1334	443	443
1	-434	236	679	1	-434	236	679	1	-434	236	679	1	-434	236	679	1	-434	236	679	1	-434	236	679	1	-434	236	679	1	-434	236	679	1	-434	236	679	1	-434	236	679	1	-434	236	679	1	-434	236	679	1	-434	236	679	1	-434	236	679	1	-434	236	679	1	-434	236	679	1	-434	236	679	1	-434	236	679	1	-434	236	679	1	-434	236	679	1	-434	236	679	1	-434	236	679	1	-434	236	679	1	-434	236	679	1	-434	236	679	1	-434	236	679	1	-434	236	679
2	-211	211	890	2	-211	211	890	2	-211	211	890	2	-211	211	890	2	-211	211	890	2	-211	211	890	2	-211	211	890	2	-211	211	890	2	-211	211	890	2	-211	211	890	2	-211	211	890	2	-211	211	890	2	-211	211	890	2	-211	211	890	2	-211	211	890	2	-211	211	890	2	-211	211	890	2	-211	211	890	2	-211	211	890	2	-211	211	890	2	-211	211	890	2	-211	211	890	2	-211	211	890	2	-211	211	890	2	-211	211	890	2	-211	211	890	2	-211	211	890
3	-157	157	1047	3	-157	157	1047	3	-157	157	1047	3	-157	157	1047	3	-157	157	1047	3	-157	157	1047	3	-157	157	1047	3	-157	157	1047	3	-157	157	1047	3	-157	157	1047	3	-157	157	1047	3	-157	157	1047	3	-157	157	1047	3	-157	157	1047	3	-157	157	1047	3	-157	157	1047	3	-157	157	1047	3	-157	157	1047	3	-157	157	1047	3	-157	157	1047	3	-157	157	1047	3	-157	157	1047	3	-157	157	1047	3	-157	157	1047	3	-157	157	1047	3	-157	157	1047	3	-157	157	1047
4	-227	227	1274	4	-227	227	1274	4	-227	227	1274	4	-227	227	1274	4	-227	227	1274	4	-227	227	1274	4	-227	227	1274	4	-227	227	1274	4	-227	227	1274	4	-227	227	1274	4	-227	227	1274	4	-227	227	1274	4	-227	227	1274	4	-227	227	1274	4	-227	227	1274	4	-227	227	1274	4	-227	227	1274	4	-227	227	1274	4	-227	227	1274	4	-227	227	1274	4	-227	227	1274	4	-227	227	1274	4	-227	227	1274	4	-227	227	1274	4	-227	227	1274	4	-227	227	1274	4	-227	227	1274
5	-72	72	1346	5	-72	72	1346	5	-72	72	1346	5	-72	72	1346	5	-72	72	1346	5	-72	72	1346	5	-72	72	1346	5	-72	72	1346	5	-72	72	1346	5	-72	72	1346	5	-72	72	1346	5	-72	72	1346	5	-72	72	1346	5	-72	72	1346	5	-72	72	1346	5	-72	72	1346	5	-72	72	1346	5	-72	72	1346	5	-72	72	1346	5	-72	72	1346	5	-72	72	1346	5	-72	72	1346	5	-72	72	1346	5	-72	72	1346	5	-72	72	1346	5	-72	72	1346	5	-72	72	1346
6	-152	152	1498	6	-152	152	1498	6	-152	152	1498	6	-152	152	1498	6	-152	152	1498	6	-152	152	1498	6	-152	152	1498	6	-152	152	1498	6	-152	152	1498	6	-152	152	1498	6	-152	152	1498	6	-152	152	1498	6	-152	152	1498	6	-152	152	1498	6	-152	152	1498	6	-152	152	1498	6	-152	152	1498	6	-152	152	1498	6	-152	152	1498	6	-152	152	1498	6	-152	152	1498	6	-152	152	1498	6	-152	152	1498	6	-152	152	1498	6	-152	152	1498	6	-152	152	1498	6	-152	152	1498
7	-183	183	1681	7	-183	183	1681	7	-183	183	1681	7	-183	183	1681	7	-183	183	1681	7	-183	183	1681	7	-183	183	1681	7	-183	183	1681	7	-183	183	1681	7	-183	183	1681	7	-183	183	1681	7	-183	183	1681	7	-183	183	1681	7	-183	183	1681	7	-183	183	1681	7	-183	183	1681	7	-183	183	1681	7	-183	183	1681	7	-183	183	1681	7	-183	183	1681	7	-183	183	1681	7	-183	183	1681	7	-183	183	1681	7	-183	183	1681	7	-183	183	1681	7	-183	183	1681	7	-183	183	1681
8	-188	188	1869	8	-188	188	1869	8	-188	188	1869	8	-188	188	1869	8	-188	188	1869	8	-188	188	1869	8	-188	188	1869	8	-188	188	1869	8	-188	188	1869	8	-188	188	1869	8	-188	188	1869	8	-188	188	1869	8	-188	188	1869	8	-188	188	1869	8	-188	188	1869	8	-188	188	1869	8	-188	188	1869	8	-188	188	1869	8	-188	188	1869	8	-188	188	1869	8	-188	188	1869	8	-188	188	1869	8	-188	188	1869	8	-188	188	1869	8	-188	188	1869	8	-188	188	1869	8	-188	188	1869
9	-271	172	2041	9	-271	172	2041	9	-271	172	2041	9	-271	172	2041	9	-271	172	2041	9	-271	172	2041	9	-271	172	2041	9	-271	172	2041	9	-271	172	2041	9	-271	172	2041	9	-271	172	2041	9	-271	172	2041	9	-271	172	2041	9	-271	172	2041	9	-271	172	2041	9	-271	172	2041	9	-271	172	2041	9	-271	172	2041	9	-271	172	2041	9	-271	172	2041	9	-271	172	2041	9	-271	172	2041	9	-271	172	2041	9	-271	172	2041	9	-271	172	2041	9	-271	172	2041	9	-271	172	2041
10	-138	138	2179	10	-138	138	2179	10	-138	138	2179	10	-138	138	2179	10	-138	138	2179	10	-138	138	2179	10	-138	138	2179	10	-138	138	2179	10	-138	138	2179	10	-138	138	2179	10	-138	138	2179	10	-138	138	2179	10	-138	138	2179	10	-138	138	2179	10	-138	138	2179	10	-138	138	2179	10	-138	138	2179	10	-138	138	2179	10	-138	138	2179	10	-138	138	2179	10	-138	138	2179	10	-138	138	2179	10	-138	138	2179	10	-138	138	2179	10	-138	138	2179	10	-138	138	2179	10	-138	138	2179
11	-85	85	2264	11	-85	85	2264	11	-85	85	2264	11	-85	85	2264	11	-85	85	2264	11	-85	85	2264	11	-85	85	2264	11	-85	85	2264	11	-85	85	2264	11	-85	85	2264	11	-85	85	2264	11	-85	85	2264	11	-85	85	2264	11	-85	85	2264	11	-85	85	2264	11	-85	85	2264	11	-85	85	2264	11	-85	85	2264	11	-85	85	2264	11	-85	85	2264	11	-85	85	2264	11	-85	85	2264	11	-85	85	2264	11	-85	85	2264	11	-85	85	2264	11	-85	85	2264	11	-85	85	2264
