Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493	0	-1483	493	493
1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903	1	-806	410	903
2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029	2	-126	126	1029
3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228	3	-298	199	1228
4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339	4	-111	111	1339
5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411	5	-72	72	1411
6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483	6	-72	72	1483
7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595	7	-310	112	1595
8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731	8	-136	136	1731
9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803	9	-72	72	1803
