Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692	0	-2078	692	692
1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917	1	-324	225	917
2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102	2	-185	185	1102
3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197	3	-95	95	1197
4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292	4	-95	95	1292
5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419	5	-226	127	1419
6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495	6	-76	76	1495
7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769	7	-274	274	1769
8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117	8	-348	348	2117
9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434	9	-416	317	2434
10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666	10	-232	232	2666
11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775	11	-109	109	2775
12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001	12	-424	226	3001
13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223	13	-321	222	3223
14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433	14	-210	210	3433
15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494	15	-61	61	3494
16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584	16	-189	90	3584
17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681	17	-196	97	3681
18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879	18	-198	198	3879
19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975	19	-195	96	3975
20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249	20	-472	274	4249
21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403	21	-154	154	4403
22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662	22	-457	259	4662
