Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824	0	-2210	824	824
1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959	1	-135	135	959
2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089	2	-130	130	1089
3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143	3	-54	54	1143
4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293	4	-150	150	1293
5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436	5	-242	143	1436
6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530	6	-94	94	1530
7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675	7	-244	145	1675
8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851	8	-176	176	1851
9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949	9	-98	98	1949
