Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797	0	-2084	797	797
1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852	1	-154	55	852
2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962	2	-110	110	962
3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135	3	-173	173	1135
4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251	4	-116	116	1251
5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384	5	-133	133	1384
6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578	6	-194	194	1578
7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704	7	-126	126	1704
8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778	8	-74	74	1778
9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851	9	-73	73	1851
10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019	10	-168	168	2019
11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151	11	-231	132	2151
