Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447	0	-1437	447	447
1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917	1	-866	470	917
2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083	2	-166	166	1083
3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283	3	-200	200	1283
4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462	4	-179	179	1462
5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602	5	-239	140	1602
6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662	6	-60	60	1662
7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795	7	-331	133	1795
8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874	8	-79	79	1874
9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965	9	-91	91	1965
