Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592	0	-1879	592	592
1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754	1	-162	162	754
2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852	2	-98	98	852
3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054	3	-202	202	1054
4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318	4	-462	264	1318
5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442	5	-124	124	1442
6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495	6	-53	53	1495
7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607	7	-112	112	1607
8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742	8	-234	135	1742
9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814	9	-72	72	1814
