Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411	0	-1401	411	411
1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827	1	-713	416	827
2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928	2	-101	101	928
3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057	3	-129	129	1057
4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147	4	-90	90	1147
5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273	5	-126	126	1273
6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349	6	-76	76	1349
7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607	7	-258	258	1607
8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683	8	-76	76	1683
9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791	9	-108	108	1791
