Episode	Accumulated Reward	Length	Steps
0	-4	6	6
1	-17	19	25
2	-10	12	37
3	-22	24	61
4	-8	10	71
5	-138	140	211
6	-2	4	215
7	-2	4	219
8	-4	6	225
9	-2	4	229
10	-2	4	233
11	-2	4	237
12	-2	4	241
13	-2	4	245
14	-4	6	251
15	-2	4	255
16	-2	4	259
17	-2	4	263
18	-2	4	267
19	-2	4	271
20	-2	4	275
21	-10	12	287
22	-2	4	291
23	-2	4	295
24	-2	4	299
25	-2	4	303
26	-2	4	307
27	-2	4	311
28	-2	4	315
29	-2	4	319
30	-2	4	323
31	-2	4	327
32	-2	4	331
33	-4	6	337
34	-2	4	341
35	-2	4	345
36	-2	4	349
37	-2	4	353
38	-2	4	357
39	-2	4	361
40	-2	4	365
41	-2	4	369
42	-2	4	373
43	-2	4	377
44	-4	6	383
45	-2	4	387
46	-2	4	391
47	-2	4	395
48	-2	4	399
49	-2	4	403
50	-2	4	407
51	-2	4	411
52	-2	4	415
53	-2	4	419
54	-2	4	423
55	-2	4	427
56	-2	4	431
57	-2	4	435
58	-2	4	439
59	-2	4	443
60	-2	4	447
61	-2	4	451
62	-2	4	455
63	-2	4	459
64	-15	17	476
65	-2	4	480
66	-2	4	484
67	-2	4	488
68	-2	4	492
69	-2	4	496
70	-2	4	500
71	-2	4	504
72	-2	4	508
73	-2	4	512
74	-2	4	516
75	-2	4	520
76	-2	4	524
77	-2	4	528
78	-4	6	534
79	-2	4	538
80	-2	4	542
81	-2	4	546
82	-2	4	550
83	-2	4	554
84	-2	4	558
85	-4	6	564
86	-48	50	614
87	-2	4	618
88	-2	4	622
89	-2	4	626
90	-2	4	630
91	-2	4	634
92	-2	4	638
93	-2	4	642
94	-2	4	646
95	-2	4	650
96	-2	4	654
97	-2	4	658
98	-2	4	662
99	-2	4	666
100	-2	4	670
101	-2	4	674
102	-2	4	678
103	-2	4	682
104	-2	4	686
105	-2	4	690
106	-2	4	694
107	-2	4	698
108	-2	4	702
109	-2	4	706
110	-2	4	710
111	-4	6	716
112	-2	4	720
113	-2	4	724
114	-2	4	728
115	-4	6	734
116	-2	4	738
117	-2	4	742
118	-2	4	746
119	-2	4	750
120	-2	4	754
121	-2	4	758
122	-2	4	762
123	-2	4	766
124	-2	4	770
125	-2	4	774
126	-2	4	778
127	-2	4	782
128	-2	4	786
129	-2	4	790
130	-2	4	794
131	-2	4	798
132	-2	4	802
133	-2	4	806
134	-2	4	810
135	-2	4	814
136	-2	4	818
137	-2	4	822
138	-2	4	826
139	-2	4	830
140	-2	4	834
141	-2	4	838
142	-3	5	843
143	-4	6	849
144	-2	4	853
145	-2	4	857
146	-2	4	861
147	-2	4	865
148	-2	4	869
149	-2	4	873
150	-2	4	877
151	-2	4	881
152	-2	4	885
153	-2	4	889
154	-2	4	893
155	-2	4	897
156	-2	4	901
157	-2	4	905
158	-2	4	909
159	-2	4	913
160	-2	4	917
161	-2	4	921
162	-2	4	925
163	-2	4	929
164	-2	4	933
165	-2	4	937
166	-2	4	941
167	-2	4	945
168	-2	4	949
169	-2	4	953
170	-2	4	957
171	-4	6	963
172	-2	4	967
173	-2	4	971
174	-4	6	977
175	-2	4	981
176	-2	4	985
177	-2	4	989
178	-2	4	993
179	-2	4	997
180	-2	4	1001
181	-2	4	1005
182	-2	4	1009
183	-4	6	1015
184	-2	4	1019
185	-2	4	1023
186	-2	4	1027
187	-2	4	1031
188	-2	4	1035
189	-2	4	1039
190	-2	4	1043
191	-2	4	1047
192	-2	4	1051
193	-2	4	1055
194	-2	4	1059
195	-2	4	1063
196	-2	4	1067
197	-2	4	1071
198	-2	4	1075
199	-2	4	1079
200	-2	4	1083
201	-2	4	1087
202	-2	4	1091
203	-2	4	1095
204	-2	4	1099
205	-2	4	1103
206	-2	4	1107
207	-2	4	1111
208	-2	4	1115
209	-2	4	1119
210	-2	4	1123
211	-2	4	1127
212	-2	4	1131
213	-2	4	1135
214	-2	4	1139
215	-2	4	1143
216	-2	4	1147
217	-2	4	1151
218	-2	4	1155
219	-2	4	1159
220	-2	4	1163
221	-2	4	1167
222	-2	4	1171
223	-2	4	1175
224	-2	4	1179
225	-2	4	1183
226	-2	4	1187
227	-2	4	1191
228	-2	4	1195
229	-2	4	1199
230	-2	4	1203
231	-2	4	1207
232	-2	4	1211
233	-2	4	1215
234	-2	4	1219
235	-2	4	1223
236	-2	4	1227
237	-2	4	1231
238	-3	5	1236
239	-2	4	1240
240	-2	4	1244
241	-2	4	1248
242	-2	4	1252
243	-2	4	1256
244	-2	4	1260
245	-2	4	1264
246	-2	4	1268
247	-2	4	1272
248	-2	4	1276
249	-2	4	1280
250	-2	4	1284
251	-26	28	1312
252	-4	6	1318
253	-2	4	1322
254	-2	4	1326
255	-2	4	1330
256	-2	4	1334
257	-2	4	1338
258	-2	4	1342
259	-2	4	1346
260	-2	4	1350
261	-2	4	1354
262	-2	4	1358
263	-2	4	1362
264	-2	4	1366
265	-2	4	1370
266	-4	6	1376
267	-2	4	1380
268	-2	4	1384
269	-2	4	1388
270	-2	4	1392
271	-2	4	1396
272	-2	4	1400
273	-2	4	1404
274	-2	4	1408
275	-2	4	1412
276	-4	6	1418
277	-2	4	1422
278	-4	6	1428
279	-2	4	1432
280	-2	4	1436
281	-2	4	1440
282	-2	4	1444
283	-2	4	1448
284	-2	4	1452
285	-2	4	1456
286	-2	4	1460
287	-2	4	1464
288	-2	4	1468
289	-2	4	1472
290	-2	4	1476
291	-2	4	1480
292	-2	4	1484
293	-2	4	1488
294	-2	4	1492
295	-2	4	1496
296	-2	4	1500
297	-2	4	1504
298	-2	4	1508
299	-2	4	1512
300	-2	4	1516
301	-2	4	1520
302	-2	4	1524
303	-2	4	1528
304	-2	4	1532
305	-2	4	1536
306	-2	4	1540
307	-2	4	1544
308	-2	4	1548
309	-2	4	1552
310	-2	4	1556
311	-2	4	1560
312	-2	4	1564
313	-2	4	1568
314	-2	4	1572
315	-3	5	1577
316	-2	4	1581
317	-2	4	1585
318	-2	4	1589
319	-2	4	1593
320	-2	4	1597
321	-2	4	1601
322	-2	4	1605
323	-2	4	1609
324	-2	4	1613
325	-2	4	1617
326	-2	4	1621
327	-2	4	1625
328	-4	6	1631
329	-2	4	1635
330	-2	4	1639
331	-2	4	1643
332	-2	4	1647
333	-2	4	1651
334	-2	4	1655
335	-2	4	1659
336	-2	4	1663
337	-2	4	1667
338	-2	4	1671
339	-2	4	1675
340	-3	5	1680
341	-2	4	1684
342	-2	4	1688
343	-2	4	1692
344	-2	4	1696
345	-2	4	1700
346	-2	4	1704
347	-2	4	1708
348	-2	4	1712
349	-2	4	1716
350	-2	4	1720
351	-2	4	1724
352	-2	4	1728
353	-2	4	1732
354	-2	4	1736
355	-2	4	1740
356	-2	4	1744
357	-2	4	1748
358	-2	4	1752
359	-2	4	1756
360	-2	4	1760
361	-4	6	1766
362	-43	45	1811
363	-2	4	1815
364	-2	4	1819
365	-2	4	1823
366	-2	4	1827
367	-2	4	1831
368	-2	4	1835
369	-2	4	1839
370	-2	4	1843
371	-2	4	1847
372	-2	4	1851
373	-2	4	1855
374	-2	4	1859
375	-2	4	1863
376	-2	4	1867
377	-2	4	1871
378	-2	4	1875
379	-2	4	1879
380	-2	4	1883
381	-2	4	1887
382	-2	4	1891
383	-2	4	1895
384	-2	4	1899
385	-4	6	1905
386	-2	4	1909
387	-2	4	1913
388	-2	4	1917
389	-2	4	1921
390	-2	4	1925
391	-2	4	1929
392	-2	4	1933
393	-2	4	1937
394	-2	4	1941
395	-2	4	1945
396	-2	4	1949
397	-2	4	1953
398	-2	4	1957
399	-2	4	1961
400	-2	4	1965
401	-2	4	1969
402	-2	4	1973
403	-2	4	1977
404	-2	4	1981
405	-4	6	1987
406	-2	4	1991
407	-2	4	1995
408	-4	6	2001
409	-2	4	2005
410	-2	4	2009
411	-2	4	2013
412	-2	4	2017
413	-2	4	2021
414	-2	4	2025
415	-2	4	2029
416	-2	4	2033
417	-2	4	2037
418	-2	4	2041
419	-2	4	2045
420	-2	4	2049
421	-2	4	2053
422	-2	4	2057
423	-2	4	2061
424	-2	4	2065
425	-2	4	2069
426	-2	4	2073
427	-4	6	2079
428	-2	4	2083
429	-2	4	2087
430	-2	4	2091
431	-2	4	2095
432	-2	4	2099
433	-2	4	2103
434	-2	4	2107
435	-2	4	2111
436	-6	8	2119
437	-2	4	2123
438	-2	4	2127
439	-4	6	2133
440	-2	4	2137
441	-2	4	2141
442	-2	4	2145
443	-3	5	2150
444	-2	4	2154
445	-2	4	2158
446	-2	4	2162
447	-2	4	2166
448	-2	4	2170
449	-2	4	2174
450	-2	4	2178
451	-4	6	2184
452	-2	4	2188
453	-2	4	2192
454	-2	4	2196
455	-2	4	2200
456	-2	4	2204
457	-2	4	2208
458	-2	4	2212
459	-2	4	2216
460	-2	4	2220
461	-2	4	2224
462	-2	4	2228
463	-2	4	2232
464	-2	4	2236
465	-4	6	2242
466	-2	4	2246
467	-2	4	2250
468	-2	4	2254
469	-2	4	2258
470	-2	4	2262
471	-4	6	2268
472	-2	4	2272
473	-2	4	2276
474	-2	4	2280
475	-2	4	2284
476	-2	4	2288
477	-2	4	2292
478	-2	4	2296
479	-2	4	2300
480	-2	4	2304
481	-2	4	2308
482	-2	4	2312
483	-2	4	2316
484	-2	4	2320
485	-2	4	2324
486	-2	4	2328
487	-2	4	2332
488	-4	6	2338
489	-2	4	2342
490	-2	4	2346
491	-4	6	2352
492	-2	4	2356
493	-2	4	2360
494	-2	4	2364
495	-2	4	2368
496	-2	4	2372
497	-2	4	2376
498	-2	4	2380
499	-2	4	2384
500	-2	4	2388
501	-2	4	2392
502	-2	4	2396
503	-2	4	2400
504	-2	4	2404
505	-4	6	2410
506	-2	4	2414
507	-2	4	2418
508	-2	4	2422
509	-2	4	2426
510	-2	4	2430
511	-2	4	2434
512	-2	4	2438
513	-2	4	2442
514	-2	4	2446
515	-2	4	2450
516	-2	4	2454
517	-2	4	2458
518	-2	4	2462
519	-2	4	2466
520	-3	5	2471
521	-2	4	2475
522	-2	4	2479
523	-2	4	2483
524	-2	4	2487
525	-2	4	2491
526	-2	4	2495
527	-4	6	2501
528	-2	4	2505
529	-2	4	2509
530	-2	4	2513
531	-2	4	2517
532	-2	4	2521
533	-2	4	2525
534	-6	8	2533
535	-2	4	2537
536	-2	4	2541
537	-2	4	2545
538	-2	4	2549
539	-2	4	2553
540	-2	4	2557
541	-2	4	2561
542	-2	4	2565
543	-2	4	2569
544	-2	4	2573
545	-2	4	2577
546	-4	6	2583
547	-2	4	2587
548	-2	4	2591
549	-2	4	2595
550	-2	4	2599
551	-2	4	2603
552	-2	4	2607
553	-2	4	2611
554	-2	4	2615
555	-2	4	2619
556	-2	4	2623
557	-2	4	2627
558	-2	4	2631
559	-2	4	2635
