Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500
1	-500.0	500	1000
2	-454.0	454	1454
3	-452.0	452	1906
4	-353.0	353	2259
5	-249.0	249	2508
6	-279.0	279	2787
7	-284.0	284	3071
8	-247.0	247	3318
9	-274.0	274	3592
10	-282.0	282	3874
11	-236.0	236	4110
12	-238.0	238	4348
13	-210.0	210	4558
14	-218.0	218	4776
15	-237.0	237	5013
16	-191.0	191	5204
17	-244.0	244	5448
18	-227.0	227	5675
19	-160.0	160	5835
20	-149.0	149	5984
21	-209.0	209	6193
22	-204.0	204	6397
23	-233.0	233	6630
24	-187.0	187	6817
25	-156.0	156	6973
26	-128.0	128	7101
27	-154.0	154	7255
28	-151.0	151	7406
29	-146.0	146	7552
30	-176.0	176	7728
31	-214.0	214	7942
32	-192.0	192	8134
33	-187.0	187	8321
34	-159.0	159	8480
35	-181.0	181	8661
36	-155.0	155	8816
37	-124.0	124	8940
38	-151.0	151	9091
39	-150.0	150	9241
40	-148.0	148	9389
41	-220.0	220	9609
42	-243.0	243	9852
43	-135.0	135	9987
44	-146.0	146	10133
45	-153.0	153	10286
46	-151.0	151	10437
47	-172.0	172	10609
48	-150.0	150	10759
49	-139.0	139	10898
50	-142.0	142	11040
51	-144.0	144	11184
52	-165.0	165	11349
53	-149.0	149	11498
54	-131.0	131	11629
55	-150.0	150	11779
56	-150.0	150	11929
57	-108.0	108	12037
58	-155.0	155	12192
59	-183.0	183	12375
60	-179.0	179	12554
61	-150.0	150	12704
62	-154.0	154	12858
63	-148.0	148	13006
64	-148.0	148	13154
65	-145.0	145	13299
66	-175.0	175	13474
67	-181.0	181	13655
68	-137.0	137	13792
69	-138.0	138	13930
70	-182.0	182	14112
71	-145.0	145	14257
72	-240.0	240	14497
73	-136.0	136	14633
74	-141.0	141	14774
75	-137.0	137	14911
76	-90.0	90	15001
77	-112.0	112	15113
78	-152.0	152	15265
79	-153.0	153	15418
80	-150.0	150	15568
81	-148.0	148	15716
82	-147.0	147	15863
83	-135.0	135	15998
84	-125.0	125	16123
85	-110.0	110	16233
86	-107.0	107	16340
87	-119.0	119	16459
88	-146.0	146	16605
89	-146.0	146	16751
90	-142.0	142	16893
91	-140.0	140	17033
92	-186.0	186	17219
93	-174.0	174	17393
94	-137.0	137	17530
95	-169.0	169	17699
96	-185.0	185	17884
97	-131.0	131	18015
98	-201.0	201	18216
99	-147.0	147	18363
100	-204.0	204	18567
101	-173.0	173	18740
102	-141.0	141	18881
103	-156.0	156	19037
104	-154.0	154	19191
105	-111.0	111	19302
106	-167.0	167	19469
107	-151.0	151	19620
108	-152.0	152	19772
109	-159.0	159	19931
110	-137.0	137	20068
111	-134.0	134	20202
112	-150.0	150	20352
113	-139.0	139	20491
114	-173.0	173	20664
115	-137.0	137	20801
116	-138.0	138	20939
117	-118.0	118	21057
118	-124.0	124	21181
119	-177.0	177	21358
120	-180.0	180	21538
121	-168.0	168	21706
