Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500
3	-424.0	424	1924	3	-424.0	424	1924
4	-276.0	276	2200	4	-276.0	276	2200
5	-249.0	249	2449	5	-249.0	249	2449
6	-275.0	275	2724	6	-275.0	275	2724
7	-236.0	236	2960	7	-236.0	236	2960
8	-288.0	288	3248	8	-288.0	288	3248
9	-306.0	306	3554	9	-306.0	306	3554
10	-265.0	265	3819	10	-265.0	265	3819
11	-190.0	190	4009	11	-190.0	190	4009
12	-193.0	193	4202	12	-193.0	193	4202
13	-272.0	272	4474	13	-272.0	272	4474
14	-248.0	248	4722	14	-248.0	248	4722
15	-209.0	209	4931	15	-209.0	209	4931
16	-160.0	160	5091	16	-160.0	160	5091
17	-223.0	223	5314	17	-223.0	223	5314
18	-150.0	150	5464	18	-150.0	150	5464
19	-166.0	166	5630	19	-166.0	166	5630
20	-163.0	163	5793	20	-163.0	163	5793
21	-231.0	231	6024	21	-231.0	231	6024
22	-151.0	151	6175	22	-151.0	151	6175
23	-162.0	162	6337	23	-162.0	162	6337
24	-152.0	152	6489	24	-152.0	152	6489
25	-140.0	140	6629	25	-140.0	140	6629
26	-191.0	191	6820	26	-191.0	191	6820
27	-148.0	148	6968	27	-148.0	148	6968
28	-176.0	176	7144	28	-176.0	176	7144
29	-183.0	183	7327	29	-183.0	183	7327
30	-112.0	112	7439	30	-112.0	112	7439
31	-165.0	165	7604	31	-165.0	165	7604
32	-148.0	148	7752	32	-148.0	148	7752
33	-172.0	172	7924	33	-172.0	172	7924
34	-229.0	229	8153	34	-229.0	229	8153
35	-117.0	117	8270	35	-117.0	117	8270
36	-134.0	134	8404	36	-134.0	134	8404
37	-173.0	173	8577	37	-173.0	173	8577
38	-221.0	221	8798	38	-221.0	221	8798
39	-142.0	142	8940	39	-142.0	142	8940
40	-113.0	113	9053	40	-113.0	113	9053
41	-139.0	139	9192	41	-139.0	139	9192
42	-110.0	110	9302	42	-110.0	110	9302
43	-110.0	110	9412	43	-110.0	110	9412
44	-191.0	191	9603	44	-191.0	191	9603
45	-157.0	157	9760	45	-157.0	157	9760
46	-160.0	160	9920	46	-160.0	160	9920
47	-110.0	110	10030	47	-110.0	110	10030
