Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-497.0	497	1497	2	-497.0	497	1497	2	-497.0	497	1497
3	-500.0	500	1997	3	-500.0	500	1997	3	-500.0	500	1997
4	-427.0	427	2424	4	-427.0	427	2424	4	-427.0	427	2424
5	-372.0	372	2796	5	-372.0	372	2796	5	-372.0	372	2796
6	-444.0	444	3240	6	-444.0	444	3240	6	-444.0	444	3240
7	-289.0	289	3529	7	-289.0	289	3529	7	-289.0	289	3529
8	-330.0	330	3859	8	-330.0	330	3859	8	-330.0	330	3859
9	-295.0	295	4154	9	-295.0	295	4154	9	-295.0	295	4154
10	-313.0	313	4467	10	-313.0	313	4467	10	-313.0	313	4467
11	-238.0	238	4705	11	-238.0	238	4705	11	-238.0	238	4705
12	-234.0	234	4939	12	-234.0	234	4939	12	-234.0	234	4939
13	-158.0	158	5097	13	-158.0	158	5097	13	-158.0	158	5097
14	-261.0	261	5358	14	-261.0	261	5358	14	-261.0	261	5358
15	-155.0	155	5513	15	-155.0	155	5513	15	-155.0	155	5513
16	-158.0	158	5671	16	-158.0	158	5671	16	-158.0	158	5671
17	-233.0	233	5904	17	-233.0	233	5904	17	-233.0	233	5904
18	-165.0	165	6069	18	-165.0	165	6069	18	-165.0	165	6069
19	-204.0	204	6273	19	-204.0	204	6273	19	-204.0	204	6273
20	-183.0	183	6456	20	-183.0	183	6456	20	-183.0	183	6456
21	-156.0	156	6612	21	-156.0	156	6612	21	-156.0	156	6612
22	-148.0	148	6760	22	-148.0	148	6760	22	-148.0	148	6760
23	-147.0	147	6907	23	-147.0	147	6907	23	-147.0	147	6907
24	-236.0	236	7143	24	-236.0	236	7143	24	-236.0	236	7143
25	-190.0	190	7333	25	-190.0	190	7333	25	-190.0	190	7333
26	-181.0	181	7514	26	-181.0	181	7514	26	-181.0	181	7514
27	-217.0	217	7731	27	-217.0	217	7731	27	-217.0	217	7731
28	-224.0	224	7955	28	-224.0	224	7955	28	-224.0	224	7955
29	-150.0	150	8105	29	-150.0	150	8105	29	-150.0	150	8105
30	-176.0	176	8281	30	-176.0	176	8281	30	-176.0	176	8281
31	-151.0	151	8432	31	-151.0	151	8432	31	-151.0	151	8432
32	-141.0	141	8573	32	-141.0	141	8573	32	-141.0	141	8573
33	-152.0	152	8725	33	-152.0	152	8725	33	-152.0	152	8725
34	-154.0	154	8879	34	-154.0	154	8879	34	-154.0	154	8879
35	-118.0	118	8997	35	-118.0	118	8997	35	-118.0	118	8997
36	-145.0	145	9142	36	-145.0	145	9142	36	-145.0	145	9142
37	-146.0	146	9288	37	-146.0	146	9288	37	-146.0	146	9288
38	-142.0	142	9430	38	-142.0	142	9430	38	-142.0	142	9430
39	-126.0	126	9556	39	-126.0	126	9556	39	-126.0	126	9556
40	-144.0	144	9700	40	-144.0	144	9700	40	-144.0	144	9700
41	-168.0	168	9868	41	-168.0	168	9868	41	-168.0	168	9868
42	-122.0	122	9990	42	-122.0	122	9990	42	-122.0	122	9990
43	-140.0	140	10130	43	-140.0	140	10130	43	-140.0	140	10130
44	-110.0	110	10240	44	-110.0	110	10240	44	-110.0	110	10240
45	-147.0	147	10387	45	-147.0	147	10387	45	-147.0	147	10387
