Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-454.0	454	1454	2	-454.0	454	1454	2	-454.0	454	1454	2	-454.0	454	1454	2	-454.0	454	1454
3	-458.0	458	1912	3	-458.0	458	1912	3	-458.0	458	1912	3	-458.0	458	1912	3	-458.0	458	1912
4	-304.0	304	2216	4	-304.0	304	2216	4	-304.0	304	2216	4	-304.0	304	2216	4	-304.0	304	2216
5	-284.0	284	2500	5	-284.0	284	2500	5	-284.0	284	2500	5	-284.0	284	2500	5	-284.0	284	2500
6	-241.0	241	2741	6	-241.0	241	2741	6	-241.0	241	2741	6	-241.0	241	2741	6	-241.0	241	2741
7	-292.0	292	3033	7	-292.0	292	3033	7	-292.0	292	3033	7	-292.0	292	3033	7	-292.0	292	3033
8	-232.0	232	3265	8	-232.0	232	3265	8	-232.0	232	3265	8	-232.0	232	3265	8	-232.0	232	3265
9	-335.0	335	3600	9	-335.0	335	3600	9	-335.0	335	3600	9	-335.0	335	3600	9	-335.0	335	3600
10	-223.0	223	3823	10	-223.0	223	3823	10	-223.0	223	3823	10	-223.0	223	3823	10	-223.0	223	3823
11	-362.0	362	4185	11	-362.0	362	4185	11	-362.0	362	4185	11	-362.0	362	4185	11	-362.0	362	4185
12	-271.0	271	4456	12	-271.0	271	4456	12	-271.0	271	4456	12	-271.0	271	4456	12	-271.0	271	4456
13	-277.0	277	4733	13	-277.0	277	4733	13	-277.0	277	4733	13	-277.0	277	4733	13	-277.0	277	4733
14	-198.0	198	4931	14	-198.0	198	4931	14	-198.0	198	4931	14	-198.0	198	4931	14	-198.0	198	4931
15	-206.0	206	5137	15	-206.0	206	5137	15	-206.0	206	5137	15	-206.0	206	5137	15	-206.0	206	5137
16	-239.0	239	5376	16	-239.0	239	5376	16	-239.0	239	5376	16	-239.0	239	5376	16	-239.0	239	5376
17	-157.0	157	5533	17	-157.0	157	5533	17	-157.0	157	5533	17	-157.0	157	5533	17	-157.0	157	5533
18	-151.0	151	5684	18	-151.0	151	5684	18	-151.0	151	5684	18	-151.0	151	5684	18	-151.0	151	5684
19	-189.0	189	5873	19	-189.0	189	5873	19	-189.0	189	5873	19	-189.0	189	5873	19	-189.0	189	5873
20	-153.0	153	6026	20	-153.0	153	6026	20	-153.0	153	6026	20	-153.0	153	6026	20	-153.0	153	6026
21	-159.0	159	6185	21	-159.0	159	6185	21	-159.0	159	6185	21	-159.0	159	6185	21	-159.0	159	6185
22	-192.0	192	6377	22	-192.0	192	6377	22	-192.0	192	6377	22	-192.0	192	6377	22	-192.0	192	6377
23	-119.0	119	6496	23	-119.0	119	6496	23	-119.0	119	6496	23	-119.0	119	6496	23	-119.0	119	6496
